"Skier","Nation","Price","ID","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race1_Prob","Race2_Prob","Race3_Prob","Race4_Prob"
"Darcie Morton","Australia",0,1603,1075.95213975822,1146.60080176783,1086.22054171693,1250.49211580609,1279.65099615653,1,1,0,0
"Lisa Theresa Hauser","Austria",0,1006,1591.29314307016,1529.685711172,1512.65566971019,1458.83674969709,1361.59519879086,1,1,1,1
"Anna Gandler","Austria",0,2264,1466.79677446682,1431.61307579804,1424.82148520108,1375.03921682551,1311.36731503625,0.747081712062257,0.947005468561263,0.913435398483331,1
"Tamara Steiner","Austria",0,1587,1371.09217818747,1455.96415695673,1352.76912047921,1297.04273840283,1275.08232109083,0.513618677042802,0.424307645004722,0.432679925597367,0.339222614840989
"Lea Rothschopf","Austria",0,2556,1328.19436370373,1372.3372695623,1277.16215644269,1249.1520505542,1279.65099615653,0.684824902723735,0.726037525896968,0.608956932322221,0
"Anna Andexer","Austria",0,2690,1341.38638205191,1280.32748739816,1289.84336436934,1246.25762726606,1279.65099615653,1,0.889025541914655,0.782944627271427,0
"Lotte Lie","Belgium",0,1237,1537.95317369048,1508.30714741249,1503.65843271729,1341.25878498622,1282.3517170163,1,1,1,1
"Maya Cloetens","Belgium",0,2588,1426.97995092194,1407.56880641399,1390.18824174253,1305.63671473498,1295.30881440013,1,1,1,1
"Marisa Emonts","Belgium",0,NA,1202.54287890935,1205.88399218579,1221.30002371585,1250.49211580609,1279.65099615653,0,0,0,0
"Rieke de Maeyer","Belgium",0,2161,1189.29571641297,1150.72031110718,1212.53602602282,1250.49211580609,1279.65099615653,0.262686567164179,0.163636363636364,0,0
"Gaia Brunello","Brazil",0,2870,1228.63852752622,1300,1230.04764027971,1250.49211580609,1279.65099615653,1,1,0,0
"Milena Todorova","Bulgaria",0,1598,1516.35792534689,1336.30005687958,1523.97654087462,1338.58231605803,1293.80238275572,1,1,1,1
"Lora Hristova","Bulgaria",0,2569,1355.71038968579,1392.41320372909,1278.58829789793,1239.65004829282,1300,1,1,0.923256628898493,0.684210526315789
"Valentina Dimitrova","Bulgaria",0,2573,1256.15783904734,1232.39239434738,1262.35366504824,1283.51774982034,1279.65099615653,1,1,0.798972082700619,0
"Stefani Yolova","Bulgaria",0,2563,1222.26871929906,1205.88399218579,1209.7248883022,1250.49211580609,1279.65099615653,0,0.63020583663805,0,0
"Emma Lunder","Canada",0,501,1322.24978934073,1384.77959683952,1337.48014402405,1238.59217186755,1306.23880975578,1,1,1,1
"Nadia Moser","Canada",0,1786,1274.51815476872,1268.42442820222,1273.81872526616,1212.56367465748,1279.65099615653,1,0.933852140077821,0.959686632936184,0
"Pascale Paradis","Canada",0,2454,1252.55975773826,1264.08197116473,1243.63260493004,1247.09579608379,1279.65099615653,1,1,1,0
"Benita Peiffer","Canada",0,2216,1208.6181493427,1282.18434350458,1190.35735291786,1259.01033493795,1279.65099615653,0.655290102389078,0.684824902723735,0.347315162395952,0
"Fanqi Meng","China",0,1681,1240.1797052689,1378.74884718319,1216.42841719464,1246.75153306471,1279.65099615653,1,1,1,0
"Jialin Tang","China",0,76,1155.78339786916,1327.31620453314,1163.82708746263,1182.04798021716,1300,1,1,1,0
"Anika Kozica","Croatia",0,1607,1112.56473808018,1102.89240723913,1140.70344021098,1300,1279.65099615653,1,1,1,0
"Marketa Davidova","Czechia",0,1394,1578.74236446978,1558.61790773809,1522.4845384688,1459.46813834838,1320.48230732807,0.9375,1,1,1
"Tereza Vobornikova","Czechia",0,2442,1542.16309043503,1502.054225999,1465.32150966919,1376.12193700199,1295.96975719904,0.9375,0.753246753246753,0.730769230769231,0.818181818181818
"Jessica Jislova","Czechia",0,958,1451.78301612418,1537.93371863523,1401.72782349492,1309.51421251145,1252.29249793566,1,1,1,1
"Katerina Pavlu","Czechia",0,NA,1202.54287890935,1205.88399218579,1221.30002371585,1250.49211580609,1279.65099615653,0,0,0,0
"Lucie Charvatova","Czechia",0,1083,1369.33814168048,1247.75639162096,1380.04961425574,1185.5893965835,1243.0199574323,1,1,0.961538461538462,0.181818181818182
"Tuuli Tomingas","Estonia",0,1245,1399.20286709332,1325.11644980073,1317.82014252452,1268.50203522194,1294.54986145171,1,1,1,1
"Susan Külm","Estonia",0,1043,1351.96022946497,1483.07303399992,1260.58556756282,1206.16598695141,1300,1,0.93939393939394,1,0.333333333333333
"Regina Ermits","Estonia",0,1314,1360.13434265272,1411.07673559409,1381.75163946545,1177.97650841284,1294.74552266785,1,1,1,0.666666666666667
"Violetta Konopljova","Estonia",0,2853,1253.22732617645,1205.88399218579,1245.04124952749,1250.49211580609,1279.65099615653,0,0.666666666666667,0,0
"Suvi Minkkinen","Finland",0,1233,1662.66203951227,1612.80897032865,1548.10118345656,1393.90313377901,1294.81968227523,1,1,1,1
"Venla Lehtonen","Finland",0,2309,1389.28257557235,1213.67059264353,1352.50352733169,1265.86032498043,1300,0.513761467889908,0.599873976055451,0.411899313501144,0.333333333333333
"Sonja Leinamo","Finland",0,2793,1240.77701876395,1301.05272022461,1220.07403246761,1262.74669114242,1279.65099615653,0.990825688073395,1,0.521739130434783,0
"Inka Hämäläinen","Finland",0,2794,1209.76426600309,1152.49204400348,1273.76915807999,1266.14118018439,1279.65099615653,0.660550458715596,0.471329552614997,0.521739130434783,0
"Noora Kaisa Keränen","Finland",0,2469,1199.57086208831,1320.51419086586,1192.41100436438,1286.97736538222,1279.65099615653,0.660550458715596,0.665406427221172,0.347826086956522,0
"Lou Jeanmonnot","France",0,1769,1830.03788601253,1735.14563942212,1675.28455853445,1560.11677782728,1404.13839424153,0.6993322348452,0.609666497926352,0.65817961375249,0.745608794360139
"Julia Simon","France",0,1300,1751.17835178067,1654.29995078734,1679.8031175336,1606.62305679593,1389.3293895855,0.825600555025583,0.835468904565741,0.845934008833463,1
"Oceane Michelon","France",0,2736,1669.09435665193,1555.70287044574,1542.08023524831,1425.03871260368,1341.00024824443,0.499523024889428,0.642668388127493,0.651597817614965,0.615127255347114
"Justine Braisaz-Bouchet","France",0,1217,1685.25653732892,1562.74247107695,1706.62961520343,1542.59629109973,1355.8465597523,0.679906339432833,0.68356546737197,0.6858924395947,0.828055920659577
"Jeanne Richard","France",0,2680,1663.3245730789,1532.44591881609,1556.34084500184,1428.3871329675,1348.56477907387,0.749284537334143,0.835468904565741,0.868797090153287,0.615127255347114
"Gilonne Guigonnat","France",0,1805,1512.66979314044,1425.2667623126,1414.50625636913,1358.24687056725,1324.46088770233,0.546353308472812,0.393161837442702,0.289599030051096,0.170868682040865
"Franziska Preuss","Germany",0,926,1803.99971993302,1705.15254827939,1670.27055089503,1548.09020958059,1432.00423572592,0.751247805243741,0.72048108434885,0.788979336255479,1
"Selina Grotian","Germany",0,2783,1565.6141321202,1410.20945390413,1578.99441815584,1408.86501532993,1297.93656280099,0.98601274438241,0.847624805116294,0.856606136505949,0.958766342608113
"Vanessa Voigt","Germany",0,2165,1545.7557519782,1539.97816598712,1544.7165477354,1457.6877198308,1329.94305378573,0.90149736629249,0.830825034204079,0.843627255649798,1
"Julia Tannheimer","Germany",0,2896,1455.01170337414,1348.22864244399,1466.26655183676,1342.44694096577,1311.24918446874,0.482945017656691,0.640427630532311,0.584049638526783,0.32871988889421
"Sophia Schneider","Germany",0,1592,1462.81898590472,1387.92891136663,1486.07050025781,1315.18180669278,1270.32412939927,0.596579139458265,0.480320722899233,0.450845335003131,0.442507542742206
"Julia Kink","Germany",0,2917,1351.07621773143,1300,1337.00310085544,1283.23272426962,1279.65099615653,0.281717926966403,0.480320722899233,0.47589229805886,0
"Dorothea Wierer","Italy",0,54,1574.45951754159,1520.49894702908,1630.69275742055,1485.99947277415,1334.70612537579,1,1,1,1
"Michela Carrara","Italy",0,1596,1498.56893768005,1327.23665759849,1483.18806591098,1298.93957418896,1303.07398550336,0.837696335078534,0.656117329216519,0.516923076923077,0.233451237998989
"Samuela Comola","Italy",0,1803,1510.80140378664,1553.21096827814,1453.58128689049,1311.64369901737,1290.57933341702,1,1,1,0.578069732187974
"Hannah Auchentaller","Italy",0,2552,1396.14145275053,1352.35186147712,1398.71815532444,1235.36947230943,1286.71411168964,0.6282722513089,0.629872636047858,0.608,0.578069732187974
"Beatrice Trabucchi","Italy",0,2455,1332.12237543919,1244.96883084965,1324.30991667421,1262.02448021694,1303.62566256419,0.31413612565445,0.577383249710536,0.561230769230769,0.275896917635169
"Milana Geneva","Kazakhstan",0,2755,1258.26008094271,1205.88399218579,1251.15016091402,1250.49211580609,1279.65099615653,0,1,0,0
"Baiba Bendika","Latvia",0,531,1332.07456170997,1319.04721675308,1348.70713829518,1203.64834648184,1279.09775313113,1,1,1,1
"Estere Volfa","Latvia",0,2865,1277.26571804518,1303.93195650376,1309.45189684548,1267.03786288071,1279.65099615653,0.941176470588235,1,1,0
"Elza Bleidele","Latvia",0,2866,1166.82491360286,1224.78109641162,1186.18102036315,1250.49211580609,1279.65099615653,0.941176470588235,0.878681977034448,0,0
"Sanita Bulina","Latvia",0,2459,1161.9157477298,1139.5901936461,1192.01871766665,1261.97871862477,1279.65099615653,0.941176470588235,0.928607089365951,0.452488687782805,0
