Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,1,Anna Sprung,Austria,215,1997,38,1975-05-16T00:00:00.000000,21.83436002737851,19,0,1300.0,1360.0,1300.0,1360.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,2,Svetlana Paramyguina,Belarus,259,1997,38,1965-04-05T00:00:00.000000,31.94524298425736,106,0,1300.0,1355.0,1300.0,1355.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,3,Magdalena Forsberg,Sweden,237,1997,38,1967-07-25T00:00:00.000000,29.642710472279262,53,0,1300.0,1350.0,1300.0,1350.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,4,Uschi Disl,Germany,186,1997,38,1970-11-15T00:00:00.000000,26.33264887063655,143,0,1300.0,1345.0,1300.0,1345.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,5,Ekaterina Dafovska,Bulgaria,184,1997,38,1975-11-28T00:00:00.000000,21.297741273100616,62,0,1300.0,1340.0,1300.0,1340.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,6,Annette Sikveland,Norway,278,1997,38,1972-04-25T00:00:00.000000,24.889801505817932,101,0,1300.0,1335.0,1300.0,1335.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,7,Eva Hakova,Czechia,243,1997,38,1969-07-08T00:00:00.000000,27.68788501026694,110,0,1300.0,1330.0,1300.0,1330.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,8,Nadejda Talanova,Russia,279,1997,38,1967-04-17T00:00:00.000000,29.913757700205338,76,0,1300.0,1325.0,1300.0,1325.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,9,Corinne Niogret,France,217,1997,38,1972-11-20T00:00:00.000000,24.317590691307323,134,0,1300.0,1320.0,1300.0,1320.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,10,Andreja Koblar,Slovenia,202,1997,38,1971-09-02T00:00:00.000000,25.535934291581107,61,0,1300.0,1315.0,1300.0,1315.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,11,Emmanuelle Claret,France,271,1997,38,1968-10-30T00:00:00.000000,28.375085557837096,80,0,1300.0,1310.0,1300.0,1310.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,12,Annukka Mallat,Finland,267,1997,38,1974-05-19T00:00:00.000000,22.82546201232033,41,0,1300.0,1305.0,1300.0,1305.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,13,Martina Zellner,Germany,239,1997,38,1974-02-26T00:00:00.000000,23.04996577686516,48,0,1300.0,1300.0,1300.0,1300.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,14,Kathi Schwaab,Germany,287,1997,38,1972-11-26T00:00:00.000000,24.30116358658453,49,0,1300.0,1295.0,1300.0,1295.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,15,Olga Romasko,Russia,272,1997,38,1968-04-18T00:00:00.000000,28.908966461327857,35,0,1300.0,1290.0,1300.0,1290.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,16,Simone Greiner-Petter-Memm,Germany,270,1997,38,1967-09-15T00:00:00.000000,29.50034223134839,90,0,1300.0,1285.0,1300.0,1285.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,17,Delphyne Burlet,France,238,1997,38,1966-11-24T00:00:00.000000,30.308008213552363,71,0,1300.0,1280.0,1300.0,1280.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,18,Petra Behle,Germany,299,1997,38,1969-01-05T00:00:00.000000,28.191649555099247,170,0,1300.0,1275.0,1300.0,1275.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,19,Katrin Apel,Germany,163,1997,38,1973-05-04T00:00:00.000000,23.865845311430526,43,0,1300.0,1270.0,1300.0,1270.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,20,Nathalie Santer,Italy,169,1997,38,1972-03-28T00:00:00.000000,24.96646132785763,102,0,1300.0,1265.0,1300.0,1265.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,21,Kristina Brouneus,Sweden,235,1997,38,1974-11-25T00:00:00.000000,22.305270362765228,32,0,1300.0,1260.0,1300.0,1260.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,22,Veronique Claudel,France,305,1997,38,1966-11-22T00:00:00.000000,30.313483915126625,162,0,1300.0,1255.0,1300.0,1255.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,23,Christelle Gros,France,178,1997,38,1975-05-19T00:00:00.000000,21.82614647501711,24,0,1300.0,1250.0,1300.0,1250.0
