IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
HOFER Lukas,Lukas Hofer,9,ITA,13,13,False,True,1706.8533859187278,1571.743105578712,1641.0545739089723,1440.2775255733304,1280.4232459903264,1280.4232459903264,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
ROMANIN Nicola,Nicola Romanin,1294,ITA,34,,False,True,1441.6640101547268,1359.7676767604332,1411.42118273691,1311.1466818449214,1274.9387052188858,1274.9387052188858,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
SHAMAEV Dmitrii,Dmitrii Shamaev,1312,ROU,26,26,False,True,1357.7649464137237,1427.2806427703322,1237.141606780399,1226.3472241014408,1271.3606129559194,1271.3606129559194,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
SEPPALA Tero,Tero Seppälä,1427,FIN,21,21,False,True,1595.9502969300456,1490.4857963936863,1615.1571872019565,1393.830005074859,1269.2005007077628,1269.2005007077628,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
VIDMAR Anton,Anton Vidmar,1692,SLO,32,,False,True,1416.0312777642407,1397.1096759608326,1379.92792977485,1214.1810426699085,1267.0164119612348,1267.0164119612348,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
NELIN Jesper,Jesper Nelin,1266,SWE,16,16,False,True,1566.5111006001166,1582.3249335327523,1554.612273115368,1383.0180773622674,1261.8826578610865,1261.8826578610865,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
PIDRUCHNYI Dmytro,Dmytro Pidruchnyi,471,UKR,27,27,False,True,1546.8142667992042,1462.247865742746,1466.6419983593928,1378.984416550887,1245.7644167641051,1245.7644167641051,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
CLAUDE Florent,Florent Claude,494,BEL,28,28,False,True,1408.4129135774683,1499.7820378374156,1372.267956741756,1248.1153497471948,1236.90478693351,1236.90478693351,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
Johan-Olav Botn,Johan-Olav Botn,4479,Norway,999,999,False,False,1787.2149005658116,1542.4912170786804,1649.0036854445543,1468.3433409546433,1352.6555407471574,1352.6555407471574,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tommaso Giacomel,Tommaso Giacomel,4387,Italy,999,999,False,False,1835.0759666900972,1657.3273945510548,1744.2629587670665,1584.4109390793308,1348.2893711634829,1348.2893711634829,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Sivert Guttorm Bakken,Sivert Guttorm Bakken,1868,Norway,999,999,False,False,1682.9757659576987,1520.7192332320872,1590.6371217788746,1405.9833146545434,1333.190948876835,1333.190948876835,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Justus Strelow,Justus Strelow,1389,Germany,999,999,False,False,1565.6902142304946,1546.2642870147242,1568.3133669693705,1382.2325687370237,1329.6176348267738,1329.6176348267738,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Sverre Dahlen Aspenes,Sverre Dahlen Aspenes,2779,Norway,999,999,False,False,1498.1464443825437,1395.2951118063536,1407.8089467134364,1306.383383086482,1325.9673545289531,1325.9673545289531,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Endre Strømsheim,Endre Strømsheim,1764,Norway,999,999,False,False,1451.7050526686426,1404.759106631206,1535.4865277507577,1398.15914983959,1323.0104812688046,1323.0104812688046,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Ole Suhrke,Ole Suhrke,4899,Norway,999,999,False,False,1499.8040361260269,1355.1166850632628,1439.1996816658552,1326.5115830638467,1310.7061819298865,1310.7061819298865,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Otto Invenius,Otto Invenius,3486,Finland,999,999,True,False,1457.2313978217562,1411.817290061396,1416.7026748583216,1231.551814624025,1307.1264471277873,1307.1264471277873,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Vetle Paulsen,Vetle Paulsen,4536,Norway,999,999,False,False,1336.0840107647418,1344.8080651742291,1424.2867874753606,1341.7258863539273,1303.0824180714606,1303.0824180714606,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Mats Øverby,Mats Øverby,4660,Norway,999,999,False,False,1488.2461429222246,1428.1167845451353,1484.1947738475626,1321.9902922924923,1302.253495527939,1302.253495527939,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Leonhard Pfund,Leonhard Pfund,5003,Germany,999,999,False,False,1408.1101926249105,1418.8695620058802,1434.5522691880135,1332.8703367457954,1301.6976916076048,1301.6976916076048,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Roman Rees,Roman Rees,890,Germany,999,999,False,False,1571.0624166759883,1573.4944397031309,1488.652303452026,1372.6029429012444,1301.5259901319594,1301.5259901319594,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Leo Carlier,Leo Carlier,5341,France,999,999,False,False,1411.5877107501867,1384.9845555792988,1369.495160513012,1298.7082057797363,1300.8709826220174,1300.8709826220174,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Xuezhi Li,Xuezhi Li,990,China,999,999,False,False,1178.4564619139262,1194.828984006068,1189.3878676663048,1283.1030125691293,1300.560847449638,1300.560847449638,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Nikita Cigak,Nikita Cigak,4951,Lithuania,999,999,False,False,1145.843647153804,1194.126908440119,1157.7592331894891,1294.4274716828988,1300.0086688571234,1300.0086688571234,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tuomas Latvalahti,Tuomas Latvalahti,5346,Finland,999,999,True,False,1292.93610089144,1297.4898237678758,1297.3146452182743,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Justin Konoff,Justin Konoff,5310,Canada,999,999,False,False,1294.2426783742203,1296.4542977517262,1298.4431626540047,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Bjørn-Anders Eriksen,Bjørn-Anders Eriksen,5598,Norway,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Simon Hechenberger,Simon Hechenberger,5303,Austria,999,999,False,False,1295.2767298937504,1298.1914578847127,1298.4431626540047,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Simon Grasberger,Simon Grasberger,5304,Austria,999,999,False,False,1292.93610089144,1297.4898237678758,1297.3146452182743,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Frantisek Jelinek,Frantisek Jelinek,5306,Czechia,999,999,False,False,1295.2767298937504,1298.1914578847127,1298.4431626540047,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
John Lohuis,John Lohuis,5305,USA,999,999,False,False,1294.2872855455878,1298.1914578847127,1297.851833396807,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Kazimierz Siwa,Kazimierz Siwa,5451,Poland,999,999,False,False,1290.306557080281,1297.4898237678758,1293.3086241015135,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
