Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Is_Present,Race1_Prob,Team_Time,Team_TimeDiff,Team_Points,Total_Elo,Avg_Elo,Total_Individual_Elo,Avg_Individual_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_MassStart_Elo,Avg_MassStart_Elo,Total_IndividualCompact_Elo,Avg_IndividualCompact_Elo,Member_1,Member_1_ID,Member_1_FisCode,Member_1_Sex,Member_1_Year,Member_1_Leg,Member_1_Jump,Member_1_Points,Member_1_Elo,Member_1_Individual_Elo,Member_1_Sprint_Elo,Member_1_MassStart_Elo,Member_1_IndividualCompact_Elo,Member_2,Member_2_ID,Member_2_FisCode,Member_2_Sex,Member_2_Year,Member_2_Leg,Member_2_Jump,Member_2_Points,Member_2_Elo,Member_2_Individual_Elo,Member_2_Sprint_Elo,Member_2_MassStart_Elo,Member_2_IndividualCompact_Elo,Member_3,Member_3_ID,Member_3_FisCode,Member_3_Sex,Member_3_Year,Member_3_Leg,Member_3_Jump,Member_3_Points,Member_3_Elo,Member_3_Individual_Elo,Member_3_Sprint_Elo,Member_3_MassStart_Elo,Member_3_IndividualCompact_Elo,Member_4,Member_4_ID,Member_4_FisCode,Member_4_Sex,Member_4_Year,Member_4_Leg,Member_4_Jump,Member_4_Points,Member_4_Elo,Member_4_Individual_Elo,Member_4_Sprint_Elo,Member_4_MassStart_Elo,Member_4_IndividualCompact_Elo
NORWAY,NOR,1,05/25/2025,Trondheim,Norway,Team,True,1.0,36:37.5,,101861,6723.757984324163,1680.9394960810407,6628.648400289349,1657.1621000723374,,,5593.900831401057,1398.4752078502643,5758.752337721986,1439.6880844304965,Jens Lurås Oftebro,1329,100474,M,2000,1,99.5,117.7,1719.29994281625,1727.8824752916714,1258.4239288171968,1392.925319879375,1466.0732044309254,Gyda Westvold Hansen,4,100845,F,2002,2,102.0,115.6,1591.1302418044982,1525.2172174244267,,1356.38804687506,1400.8866913978784,Ida Marie Hagen,60,100733,F,2000,3,95.0,105.5,1568.5442647352495,1520.4019772069707,,1350.8391692681705,1406.736266671279,Jarl Magnus Riiber,1150,100100,M,1997,4,107.0,133.1,1844.7835349681652,1855.1467303662805,1258.4239288171968,1493.7482953784522,1485.0561752219028
GERMANY,GER,2,05/25/2025,Trondheim,Norway,Team,True,1.0,37:54.3,+1:16.8,101818,6487.421224705714,1621.8553061764285,6357.027645257566,1589.2569113143916,,,5524.609482218649,1381.1523705546622,5658.424482201349,1414.6061205503372,Julian Schmid,1348,100357,M,1999,1,103.5,122.2,1759.262410241454,1751.0312905806654,1258.4239288171968,1450.4948273087848,1464.5803680697331,Jenny Nowak,25,100696,F,2002,2,94.5,105.2,1432.8525221672694,1402.763534556497,,1322.7782452518093,1331.813062586411,Nathalie Armbruster,168,187104,F,2006,3,93.5,95.3,1525.0085003112604,1464.0165704790445,,1340.177254236525,1395.7625408649103,Vinzenz Geiger,1182,100119,M,1997,4,102.5,121.2,1770.2977919857306,1739.2162496413594,1258.4239288171968,1411.1591554215292,1466.2685106802946
AUSTRIA,AUT,3,05/25/2025,Trondheim,Norway,Team,True,1.0,38:32.6,+1:55.1,101784,6267.39835476125,1566.8495886903124,6203.686535794008,1550.921633948502,,,5509.578986293183,1377.3947465732958,5555.102112252167,1388.7755280630417,Stefan Rettenegger,1775,100666,M,2002,1,96.5,111.2,1697.998171266283,1690.0253088752947,1258.4239288171968,1430.883567404074,1458.2919188332971,Claudia Purker,177,187079,F,1999,2,86.5,96.8,1267.5936162783764,1261.1962470672397,,1296.8376625801452,1276.53651086334,Lisa Hirner,52,101144,F,2003,3,96.5,105.0,1483.4847422876212,1464.9148405123194,,1308.7967613693347,1341.8593848272233,Johannes Lamparter,1469,100965,M,2001,4,99.5,113.9,1818.321824928969,1787.5501393391544,1258.4239288171968,1473.0609949396296,1478.414297728306
JAPAN,JPN,4,05/25/2025,Trondheim,Norway,Team,True,1.0,38:32.8,+1:55.3,101836,5994.693617878305,1498.6734044695763,5912.679470448311,1478.1698676120777,,,5397.069928000371,1349.2674820000927,5362.992178183916,1340.748044545979,Akito Watabe,3,1136,M,1988,1,98.5,109.2,1475.836712187508,1491.7869614640408,1304.6476613319169,1336.0638381518615,1303.13422267513,Yuna Kasai,161,101204,F,2004,2,94.5,96.7,1469.6394520783156,1432.6761970112427,,1343.446623408655,1332.4784172855177,Haruka Kasai,88,101203,F,2004,3,100.0,118.5,1516.761424473884,1468.8282476768568,,1339.6148193826189,1383.1751563029816,Ryota Yamamoto,1154,100547,M,1997,4,106.0,133.9,1532.4560291385974,1519.38806429617,1258.4239288171968,1377.944647057236,1344.2043819202863
FINLAND,FIN,5,05/25/2025,Trondheim,Norway,Team,True,1.0,39:26.0,+2:48.5,101814,5830.049849471321,1457.5124623678303,5803.829851689876,1450.957462922469,,,5388.555916882469,1347.1389792206173,5409.304715603078,1352.3261789007695,Eero Hirvonen,1155,100439,M,1996,1,75.5,60.3,1481.0208389878264,1444.8682791440203,1258.4239288171968,1363.8002336638033,1390.979553497191,Minja Korhonen,200,187263,F,2007,2,90.5,96.9,1381.453689324456,1356.7996382736787,,1302.0940226890043,1345.9597248421774,Heta Hirvonen,218,187403,F,2008,3,92.0,86.2,1254.477088602327,1277.5487519273931,,1294.25595597682,1249.636130021859,Ilkka Herola,97,100308,M,1995,4,101.0,115.4,1713.0982325567113,1724.6131823447836,1258.4239288171968,1428.4057045528418,1422.7293072418504
FRANCE,FRA,6,05/25/2025,Trondheim,Norway,Team,True,1.0,39:58.0,+3:20.5,101815,5455.234858333914,1363.8087145834786,5389.456086690106,1347.3640216725264,,,5219.284629142326,1304.8211572855814,5266.250824154871,1316.5627060387178,Gael Blondeau,1485,100820,M,2000,1,87.0,89.7,1262.2288669887066,1222.3301575252408,1258.4239288171968,1254.8982254685477,1300.20764934169,Léna Brocard,53,101072,F,2000,2,87.5,82.7,1388.6208354482765,1357.42129698159,,1325.499827114552,1333.0601305506138,Marion Droz Vincent,229,187218,F,2008,3,82.0,79.1,1265.1662200108117,1278.1798497637697,,1288.25595597682,1300.0,Laurent Muhlethaler,1146,100434,M,1997,4,94.5,108.4,1539.2189358861194,1531.524782419505,1258.4239288171968,1350.630620582406,1332.983044262567
SLOVENIA,SLO,7,05/25/2025,Trondheim,Norway,Team,True,1.0,39:58.6,+3:21.1,101876,5081.985334753433,1270.4963336883582,5077.9747158146,1269.49367895365,,,5119.119744179561,1279.7799360448903,5062.822339023154,1265.7055847557885,Vid Vrhovnik,1196,100395,M,1999,1,90.0,88.7,1263.771724297406,1295.8520557358615,1258.4239288171968,1270.770838176088,1258.1456131858322,Ema Volavsek,49,101146,F,2002,2,90.5,89.4,1420.1497180664355,1389.5444579392392,,1324.3340178966787,1329.5047655132164,Tia Malovrh,221,187282,F,2008,3,93.0,103.3,1305.8760755261735,1308.669484729524,,1300.0,1300.0,Gašper Brecl,1295,100398,M,1999,4,89.0,93.2,1092.1878168634175,1083.9087174099752,1258.4239288171968,1224.0148881067946,1175.1719603241054
ITALY,ITA,8,05/25/2025,Trondheim,Norway,Team,True,1.0,40:09.1,+3:31.6,101832,5079.48852607329,1269.8721315183225,5033.120882015279,1258.2802205038197,,,5141.617051818222,1285.4042629545554,5178.01937235232,1294.50484308808,Aaron Kostner,1193,100460,M,1999,1,91.0,99.3,1353.0385921621817,1337.381564336957,1258.4239288171968,1280.2141383013566,1316.042780475346,Daniela Dejori,37,100683,F,2002,2,78.0,71.1,1241.8561317504175,1242.713627266667,,1284.135313985599,1308.7491090185824,Veronica Gianmoena,29,101198,F,1995,3,81.5,69.0,1245.1835948832113,1262.5003041788696,,1292.1150116953709,1271.0088604659238,Alessandro Pittin,8,1029,M,1990,4,81.0,70.4,1239.41020727748,1190.5253862327852,1288.8158554491372,1285.1525878358952,1282.218622392467
UNITED STATES OF AMERICA,USA,9,05/25/2025,Trondheim,Norway,Team,True,1.0,40:42.3,+4:04.8,101895,5232.331731645908,1308.082932911477,5205.110164130616,1301.277541032654,,,5157.60161942446,1289.400404856115,5208.936529519611,1302.2341323799028,Niklas Malacinski,1429,100908,M,2003,1,89.0,96.0,1326.1016182503704,1305.4357432121872,1258.4239288171968,1304.2547309760007,1306.7185847497904,Alexa Brabec,81,101376,F,2004,2,102.0,106.9,1303.47626903447,1273.1732947908083,,1292.8231186772712,1318.9954369434925,Annika Malacinski,61,101377,F,2001,3,86.0,86.8,1233.5307966799332,1229.0914458604925,,1285.8702961269232,1300.49371123573,Ben Loomis,1179,100423,M,1998,4,95.5,104.1,1369.2230476811344,1397.409680267128,1258.4239288171968,1274.6534736442647,1282.7287965905984
CZECHIA,CZE,10,05/25/2025,Trondheim,Norway,Team,True,1.0,43:57.9,+7:20.4,101803,4771.678067944569,1192.9195169861423,4858.294202484181,1214.5735506210453,,,5093.681184107288,1273.420296026822,5012.137591972497,1253.0343979931242,Jan Vytrval,1239,100269,M,1998,1,86.5,88.9,1264.5892674687166,1249.2494115950676,1258.4239288171968,1277.951617708541,1244.550060579783,Tereza Koldovska,89,101095,F,2004,2,65.0,39.1,1080.4452269342337,1131.2127667180453,,1251.6545705072883,1228.095445120662,Jolana Hradilova,87,101236,F,2004,3,65.0,30.6,1204.1970170784891,1228.241164178614,,1287.0557758100304,1273.7511101448135,Jiri Konvalinka,2037,101122,M,2004,4,86.5,90.1,1222.4465564631305,1249.5908599924546,1258.4239288171968,1277.0192200814283,1265.7409761272386
