FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
NORTHUG Even,Even Northug,NOR,True,2443,NORWAY II,11,5:51.98,2,1581.2563439812425,1216.590754218441,1260.348400205604,1226.3846758660443,1645.933800914952,1621.051902221726,1587.9854408376318,1542.9375581478216,1526.912120177025,3590,01/23/2026,Goms,Switzerland
JOUVE Richard,Richard Jouve,FRA,True,1025,FRANCE II,12,5:53.45,1,1486.7037875956985,1400.3009227327025,1339.248522287422,1385.7332000855004,1543.709490562296,1504.9977534011125,1523.810313109685,1431.9992750299236,1506.8591977096244,2768,01/23/2026,Goms,Switzerland
CHAPPAZ Jules,Jules Chappaz,FRA,True,1375,FRANCE II,12,5:53.45,2,1675.7854700559133,1534.6811441283828,1459.2858285094992,1424.3323475592329,1681.0574781239968,1603.939882765529,1618.9695183638694,1606.3453901044363,1572.4945924404556,12181,01/23/2026,Goms,Switzerland
MCMULLEN Zanden,Zanden McMullen,USA,True,322,UNITED STATES OF AMERICA II,13,5:54.20,1,1391.951226753839,1395.627367016648,1346.340715015122,1394.9701861974695,1353.1277776370268,1343.211135635359,1330.3133361609555,1350.088499434657,1397.2691781737044,12698,01/23/2026,Goms,Switzerland
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,755,UNITED STATES OF AMERICA II,13,5:54.20,2,1514.611421680482,1384.912541427147,1297.8139452389037,1351.3890665409615,1547.9520153601463,1463.7931245137518,1563.8067693592063,1402.6195645899932,1516.3635737719278,9201,01/23/2026,Goms,Switzerland
DANIELSSON Emil,Emil Danielsson,SWE,True,284,SWEDEN II,14,5:54.59,1,1440.082764603209,1190.8914536655022,1223.3822926004395,1245.7388855295385,1494.3049238532874,1470.3254449352196,1461.0942518801212,1397.8509649723353,1419.0400618645265,12801,01/23/2026,Goms,Switzerland
GRAHN Anton,Anton Grahn,SWE,True,446,SWEDEN II,14,5:54.59,2,1452.9923036788134,1300.6330948074403,1336.7167928484416,1255.7440608698969,1533.525734045806,1534.987705052201,1408.256934177642,1489.2442805993044,1312.2706299085537,18667,01/23/2026,Goms,Switzerland
CYR Antoine,Antoine Cyr,CAN,True,937,CANADA I,15,5:55.01,1,1631.6886101862954,1615.4259227744512,1544.873949059251,1482.4958561049586,1408.8557474961362,1436.9549285491637,1302.861647261526,1559.087850649184,1495.6164021813197,9225,01/23/2026,Goms,Switzerland
MCKEEVER Xavier,Xavier McKeever,CAN,True,220,CANADA I,15,5:55.01,2,1510.376837924854,1423.2927080896534,1360.4218197056575,1313.0859373303688,1427.528582619041,1365.5389991884124,1420.6012489943655,1397.941667325059,1455.0535520816093,12676,01/23/2026,Goms,Switzerland
LIEKARI Emil,Emil Liekari,FIN,True,228,FINLAND II,16,5:57.58,1,1490.8839525274966,1350.7420138326163,1311.4978820668084,1321.684343044907,1530.7939631411705,1468.411457449885,1484.2122984466712,1430.9343799324668,1446.937685147127,12440,01/23/2026,Goms,Switzerland
RANTALA Eero,Eero Rantala,FIN,True,213,FINLAND II,16,5:57.58,2,1392.6926848163023,1356.1959645587035,1344.1556941806978,1312.108712018386,1373.1480569901414,1362.2943062402371,1315.264663560979,1373.4073120464989,1323.3887082687572,17230,01/23/2026,Goms,Switzerland
STEPHEN Thomas,Thomas Stephen,CAN,True,222,CANADA II,17,5:57.95,1,1417.981422660491,1373.4087579630043,1373.5135782872344,1279.8396550103869,1318.25933572981,1301.560722794297,1329.392091977772,1381.561037658974,1320.5942924555832,12678,01/23/2026,Goms,Switzerland
RITCHIE Graham,Graham Ritchie,CAN,True,228,CANADA II,17,5:57.95,2,1345.228970240634,1235.4934724685083,1225.0715515823888,1236.9099816054552,1398.4468162345988,1362.854660752561,1386.5155728045506,1314.0223218892163,1314.1190274538,9217,01/23/2026,Goms,Switzerland
SAVARY Antonin,Antonin Savary,SUI,True,222,SWITZERLAND II,18,5:59.15,1,1296.0880489753797,1286.4274777774854,1283.867782583766,1289.6759479509133,1336.0957775821632,1304.8628899025873,1338.826510752622,1287.7295103508477,1292.838100803322,12775,01/23/2026,Goms,Switzerland
HAUSER Silvan,Silvan Hauser,SUI,True,229,SWITZERLAND II,18,5:59.15,2,1309.1494954035193,1288.003502284411,1289.9755237730558,1297.2959539522185,1315.6075783312665,1320.5022935145555,1317.7618727070933,1308.1795955016355,1309.3817280422472,20505,01/23/2026,Goms,Switzerland
VERMEULEN Mika,Mika Vermeulen,AUT,True,4902,AUSTRIA I,19,6:01.09,1,1669.1056335208657,1680.657359028501,1569.2178473717229,1576.0603600463958,1327.8980234164876,1281.194251466272,1321.5297921459564,1574.175072227217,1564.6254519443178,12673,01/23/2026,Goms,Switzerland
MRKONJIC Lukas,Lukas Mrkonjic,AUT,True,229,AUSTRIA I,19,6:01.09,2,1444.2674175271477,1263.9468281974644,1266.1982385807044,1212.8029770028115,1467.7910680170894,1330.2431014195297,1510.794970082107,1294.98689293062,1463.265913341695,9689,01/23/2026,Goms,Switzerland
SELLER Ludek,Ludek Seller,CZE,True,233,CZECH REPUBLIC I,20,6:01.51,1,1340.28645588436,1211.0006436897768,1214.031745854759,1272.6773545518402,1384.2493624573358,1396.6203508165668,1343.6949587397376,1341.933956004979,1319.545119424373,3525,01/23/2026,Goms,Switzerland
CERNY Ondrej,Ondrej Cerny,CZE,True,226,CZECH REPUBLIC I,20,6:01.51,2,1561.0285694662496,1224.9457908487718,1268.5035980404791,1250.2296132140336,1574.9889992112194,1525.3190780152006,1523.5361655012434,1486.952360668062,1494.262531162463,8094,01/23/2026,Goms,Switzerland
KAPARKALEJS Lauris,Lauris Kaparkalejs,LAT,True,214,LATVIA I,22,6:06.43,1,1184.1668523198673,1053.7033796580238,1158.7954615772846,1087.015769610116,1300.5308189494983,1172.8101567994474,1349.4727778531906,1113.362333612005,1219.968692969673,14054,01/23/2026,Goms,Switzerland
VIGANTS Raimo,Raimo Vigants,LAT,True,224,LATVIA I,22,6:06.43,2,1250.1884201905118,1168.3688324629577,1174.9170267252464,1189.3728466538232,1308.0544370711204,1177.1988597879033,1337.9068967662304,1145.191652999255,1276.0874004218738,4153,01/23/2026,Goms,Switzerland
LI Minglin,Minglin Li,CHN,True,0,PEOPLES REPUBLIC OF CHINA I,23,6:09.53,1,1093.9210836065608,1154.1268210846993,1271.906263443091,1158.9566481766867,1181.7355246881932,1200.4890392736263,1211.0882367414204,1202.769667226254,1115.10974362914,18931,01/23/2026,Goms,Switzerland
WANG Qiang,Qiang Wang,CHN,True,231,PEOPLES REPUBLIC OF CHINA I,23,6:09.53,2,1350.4632749050538,1175.676765767697,1156.0558411139332,1239.7437674060077,1429.264277868799,1337.953708208013,1466.7099325091397,1274.8890569745995,1400.4873403025588,11198,01/23/2026,Goms,Switzerland
HINCKFUSS Hugo,Hugo Hinckfuss,AUS,True,212,AUSTRALIA I,24,6:13.62,1,1228.9285356220114,1221.0957279992454,1196.0191243739143,1259.816136410904,1280.2682549307972,1265.4744742991631,1293.8410581283183,1183.8612990817182,1252.346010926777,12412,01/23/2026,Goms,Switzerland
VIK Lars Young,Lars Young Vik,AUS,True,227,AUSTRALIA I,24,6:13.62,2,1202.6914807922108,1161.8202131216617,1194.0986165997576,1180.793658943233,1285.061205764457,1221.2375418971246,1335.7651380590466,1177.5015685574404,1234.4696519731283,12386,01/23/2026,Goms,Switzerland
CENEK Jachym,Jachym Cenek,SVK,True,0,SLOVAKIA I,25,6:15.38,1,1205.1455032625468,1222.666821103084,1206.6971638530126,1210.6453997400504,1264.3296702669113,1292.503472374028,1236.9066561698714,1208.4402098954367,1263.217046265718,15531,01/23/2026,Goms,Switzerland
HINDS Peter,Peter Hinds,SVK,True,0,SLOVAKIA I,25,6:15.38,2,1206.0790441718386,1170.1066831620349,1234.6455468327288,1204.1407185053508,1281.661608418072,1274.3533464307031,1293.6276481858713,1240.3692564440537,1210.249827850184,14864,01/23/2026,Goms,Switzerland
BUGARA Robert,Robert Bugara,POL,True,0,POLAND I,26,6:17.84,1,1107.7552871764185,1156.3635237695646,1251.354302580644,1188.0971842054869,1191.2382582517191,1247.2116380243515,1174.4675582447348,1219.0335749177743,1118.7792172361324,12770,01/23/2026,Goms,Switzerland
GAZUREK Lukasz,Lukasz Gazurek,POL,True,0,POLAND I,26,6:17.84,2,1279.4986799896724,1169.4535415042294,1239.051034788334,1219.092242906073,1287.7093249262605,1256.8845116845798,1284.845048183858,1205.176667384656,1278.2120790582262,15521,01/23/2026,Goms,Switzerland
BRYJA Pawel,Pawel Byrja,POL,True,0,POLAND II,28,6:20.29,1,1250.6218116596074,1274.7382157370412,1286.1971433890456,1294.5303183405313,1271.7689623448148,1275.3377215245305,1298.715303244382,1263.019446028714,1292.16075940615,17354,01/23/2026,Goms,Switzerland
LEGIERSKI Przemyslaw,Przemyslaw Legierski,POL,True,0,POLAND II,28,6:20.29,2,1203.911783850339,1225.2111749292696,1247.5149473692663,1272.1711503148397,1275.9496195751983,1275.616149657877,1287.186905403077,1223.004035019264,1261.3534838629714,17356,01/23/2026,Goms,Switzerland
LISOHOR Oleksandr,Oleksandr Lisohor,UKR,True,225,UKRAINE I,29,6:29.38,1,1071.455283533105,1110.8935916860137,1210.2281382792842,1153.6203971756247,1169.8972507030253,1163.3505462567275,1219.301396596914,1125.7663107226197,1120.1494960978664,13173,01/23/2026,Goms,Switzerland
ROMANCHENKO Dmytro,Dmytro Romanchenko,UKR,True,0,UKRAINE I,29,6:29.38,2,1017.183789016906,1062.278120754216,1146.154502259912,1138.9593709296903,1148.4540434902538,1190.4130948943343,1160.115833393952,1101.2675064172668,1083.510304117648,13179,01/23/2026,Goms,Switzerland
