FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Sex,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
DRAHUN Dmytro,Dmytro Drahun,UKR,True,213,UKRAINE I,18,1:02:16.2,3,Mixed Relay,M,1155.9588992141455,1110.7868847426766,1175.6071710280096,1183.4638796846668,1262.7754132946395,1234.5384552655148,1259.126280232928,1156.5985288496538,1192.6276783913083,8058,01/24/25,Engadin,Switzerland
BEXULTAN Yernur,Yernur Bexultan,KAZ,True,0,KAZAKHSTAN I,19,,1,Mixed Relay,M,1218.957840753333,1279.8112484533726,1237.0691809545465,1291.0669425644471,1237.27412787065,1255.4125148886533,1254.3386805545392,1261.3014805397345,1252.3203186478968,13128,01/24/25,Engadin,Switzerland
KASSENOV Didar,Didar Kassenov,KAZ,True,0,KAZAKHSTAN I,19,,3,Mixed Relay,M,1225.1640833827178,1269.3225481621007,1237.0691809545465,1270.0669425644471,1255.6729654738083,1277.8125148886534,1257.195823411682,1278.3014805397345,1229.7055163419022,12419,01/24/25,Engadin,Switzerland
GOLBERG Paal,Pål Golberg,NOR,True,5570,NORWAY I,2,55:04.8,1,Mixed Relay,M,1717.1424175276056,1732.563635084413,1633.5339835827458,1621.2755827461974,1630.8304270439387,1612.827505003388,1580.3139465285417,1654.30270523657,1648.8483846405798,88,01/24/25,Engadin,Switzerland
ANDERSEN Iver Tildheim,Iver Tildheim Andersen,NOR,True,1624,NORWAY I,2,55:04.8,3,Mixed Relay,M,1622.782137616842,1663.5016911508014,1381.5884729119346,1609.3614649560786,1245.1004183799744,1256.4330014370414,1265.3091161130942,1360.5884696939568,1609.0838282304578,8590,01/24/25,Engadin,Switzerland
BAUMANN Jonas,Jonas Baumann,SUI,True,215,SWITZERLAND I,3,55:18.3,1,Mixed Relay,M,1464.1553319442469,1477.8146545011862,1426.5997417111762,1383.2271720958602,1226.2697733472558,1198.7744564172824,1228.3017334989345,1437.1131713320754,1348.886195616042,1534,01/24/25,Engadin,Switzerland
RUEESCH Jason,Jason Rüesch,SUI,True,228,SWITZERLAND I,3,55:18.3,3,Mixed Relay,M,1450.5987772092851,1437.2454610571262,1348.2739852250636,1389.356377346109,1334.838508526252,1228.6781238976073,1360.0882024979662,1359.4922262348684,1413.954776466215,2732,01/24/25,Engadin,Switzerland
MOERK Martin Kirkeberg,Martin Kirkeberg Mørk,NOR,True,218,NORWAY I,4,55:18.8,1,Mixed Relay,M,1427.024565681092,1431.159468820295,1345.1990367610615,1352.1240447437128,1235.4921985793294,1233.6665042972922,1235.5639889927345,1349.238798443828,1360.5381403967317,12331,01/24/25,Engadin,Switzerland
REE Andreas Fjorden,Andreas Fjorden Ree,NOR,True,5501,NORWAY I,4,55:18.8,3,Mixed Relay,M,1640.9366092721375,1660.5201171780357,1510.4910020870989,1500.5437734561708,1268.4392070370116,1274.033001437041,1279.5948303988084,1507.5097312980083,1517.3312068304106,8678,01/24/25,Engadin,Switzerland
NISKANEN Iivo,Iivo Niskanen,FIN,True,6092,FINLAND I,5,55:24.1,1,Mixed Relay,M,1694.0945874145284,1722.521961673496,1678.1670960581423,1531.1949252139452,1403.612444913416,1412.126359898104,1349.9922421504182,1656.4377121581024,1543.342350946854,1470,01/24/25,Engadin,Switzerland
LINDHOLM Remi,Remi Lindholm,FIN,True,368,FINLAND I,5,55:24.1,3,Mixed Relay,M,1469.4536946999826,1485.141548088671,1362.2080835140428,1463.885898214723,1225.3241593099117,1271.5758046874842,1212.9485435077072,1369.9306614504185,1449.145862128115,5702,01/24/25,Engadin,Switzerland
CYR Antoine,Antoine Cyr,CAN,True,896,CANADA I,6,55:30.0,1,Mixed Relay,M,1485.0955238246652,1528.1627303936352,1519.5470409767752,1409.849526437927,1388.7663712785964,1409.3901091149187,1331.8707645219415,1494.151673728957,1395.3358837341536,9225,01/24/25,Engadin,Switzerland
LEVEILLE Olivier,Olivier Leveille,CAN,True,253,CANADA I,6,55:30.0,3,Mixed Relay,M,1445.551785086084,1448.8684366257085,1366.4344582954698,1370.9929133038147,1233.6141352087898,1224.0809817167235,1249.7367620263574,1352.4927515611737,1378.5485913099533,14108,01/24/25,Engadin,Switzerland
FAEHNDRICH Cyril,Cyril Fähndrich,SUI,True,223,SWITZERLAND I,7,55:35.6,1,Mixed Relay,M,1393.7277253234254,1392.5140373676293,1381.6185819298378,1343.0039676453216,1330.363703519963,1269.736411814517,1341.2823447770986,1383.2740542039408,1354.0561030768622,9975,01/24/25,Engadin,Switzerland
GROND Valerio,Valerio Grond,SUI,True,1994,SWITZERLAND I,7,55:35.6,3,Mixed Relay,M,1547.2420294970168,1275.4978642848428,1247.9535422531676,1295.1832375614238,1667.7688961510826,1526.1963897535425,1667.3742129096763,1404.445755465818,1567.1807907409727,12164,01/24/25,Engadin,Switzerland
VERMEULEN Mika,Mika Vermeulen,AUT,True,6638,AUSTRIA I,8,55:57.1,1,Mixed Relay,M,1703.6498402371217,1739.8181383210513,1562.704697222518,1602.0714232084226,1329.5170529762363,1286.6775674848711,1314.5042246147284,1580.2111043677942,1579.3914223047848,12673,01/24/25,Engadin,Switzerland
MOSER Benjamin,Benjamin Moser,AUT,True,304,AUSTRIA I,8,55:57.1,3,Mixed Relay,M,1446.682537225322,1249.4265717648475,1246.80166981634,1261.789934511386,1517.2874791441388,1488.735281672586,1479.874553473191,1394.071615098185,1424.1574561832497,5989,01/24/25,Engadin,Switzerland
BOEGL Lucas,Lucas Bögl,GER,True,236,GERMANY I,9,56:23.7,1,Mixed Relay,M,1341.7296246259698,1352.8235020257898,1344.244057988611,1365.3524561222466,1133.8445403714356,1161.9270327893953,1125.549262605866,1347.4335102617824,1331.409669712301,1540,01/24/25,Engadin,Switzerland
STOELBEN Jan,Jan Stoelben,GER,True,251,GERMANY I,9,56:23.7,3,Mixed Relay,M,1394.011787147084,1258.989061773612,1286.6530651237297,1240.0448539426234,1455.0136054518605,1387.5534394938863,1417.1996117495164,1348.9417423395491,1352.3589535218298,14033,01/24/25,Engadin,Switzerland
