FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
MCKEEVER Xavier,Xavier McKeever,CAN,True,220,CANADA I,5,,1,Relay,1480.3502034451765,1451.4336452359132,1380.565481728353,1296.327117199796,1401.8131423345137,1351.4221522874257,1420.6012489943655,1380.5503113094524,1435.4744643769377,12676,02/15/2026,Milano Cortina,Italy
CYR Antoine,Antoine Cyr,CAN,True,937,CANADA I,5,,2,Relay,1545.952332092494,1576.2817076964698,1508.4539330547211,1467.1929600860958,1415.5838744283492,1416.1857414532235,1302.861647261526,1482.4462633941273,1480.883244323957,9225,02/15/2026,Milano Cortina,Italy
DROLET Remi,Remi Drolet,CAN,True,233,CANADA I,5,,3,Relay,1352.5117758537936,1354.923626639847,1276.8902650939474,1332.795954100921,1246.6787825789943,1244.8995975452322,1212.8475994416362,1257.9095884676055,1348.7792266406,8051,02/15/2026,Milano Cortina,Italy
STEPHEN Thomas,Thomas Stephen,CAN,True,222,CANADA I,5,,4,Relay,1428.8291314184887,1406.248098303562,1345.6769519798604,1346.4633973532846,1320.557736828449,1305.793222019675,1329.392091977772,1341.480416890145,1396.785181146492,12678,02/15/2026,Milano Cortina,Italy
GRAZ Davide,Davide Graz,ITA,True,855,ITALY I,6,,1,Relay,1547.181488661446,1511.39713855161,1401.269617671899,1469.983295697959,1530.6077760466712,1359.748549846253,1580.0921460414113,1423.8153423690785,1535.3463648673064,12165,02/15/2026,Milano Cortina,Italy
BARP Elia,Elia Barp,ITA,True,4586,ITALY I,6,,2,Relay,1642.3208475715398,1675.9878272871958,1548.3850513219277,1531.002097299313,1432.659786586211,1414.3517524206002,1357.8931846804542,1553.895459721119,1508.4295633411102,14042,02/15/2026,Milano Cortina,Italy
CAROLLO Martino,Martino Carollo,ITA,True,792,ITALY I,6,,3,Relay,1549.8683555824086,1509.4705293816958,1326.417338499947,1492.4545755828594,1493.3483044599109,1317.693774354953,1556.4855360402182,1334.2188740004617,1595.9348475633428,19980,02/15/2026,Milano Cortina,Italy
PELLEGRINO Federico,Federico Pellegrino,ITA,True,11210,ITALY I,6,,4,Relay,1767.2589891834352,1688.0337112214509,1607.3703203766215,1525.433714124474,1732.642576697673,1578.264454271037,1775.468268961051,1644.678055936073,1692.4059838617727,44,02/15/2026,Milano Cortina,Italy
OGDEN Ben,Ben Ogden,USA,True,4225,UNITED STATES OF AMERICA I,7,,1,Relay,1654.437751742951,1514.9170530773554,1440.6858592004403,1450.681207383176,1727.510152071819,1605.8190945275524,1696.9801856300055,1571.9442605959532,1601.0651901212984,9179,02/15/2026,Milano Cortina,Italy
SCHUMACHER Gus,Gus Schumacher,USA,True,6574,UNITED STATES OF AMERICA I,7,,2,Relay,1652.0785035355211,1633.746118213776,1552.163812276674,1545.4174089662467,1599.2327267004418,1464.7305642511296,1613.1373432232526,1566.03145137908,1618.7833353770436,9172,02/15/2026,Milano Cortina,Italy
