FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
LUNDGREN Moa,Moa Lundgren,SWE,True,614,SWEDEN II,10,56:28.8,15-2,F,Mixed Relay,1465.40877334796,1354.1734439770855,1330.9690931895616,1316.8942089006107,1529.0501246919243,1469.6680641516068,1498.3429984246218,1431.4742860291913,1421.4279683780308,3211.0,3/15/25,Engadin,Switzerland
DAHLQVIST Maja,Maja Dahlqvist,SWE,True,4535,SWEDEN II,10,56:28.8,15-4,F,Mixed Relay,1617.0074708107693,1405.671253592679,1327.793913797913,1411.0569422480005,1705.259949851451,1589.2694415893798,1688.8149418836483,1504.947395743942,1623.671338104568,1673.0,3/15/25,Engadin,Switzerland
MACKIE Alison,Alison Mackie,CAN,True,228,CANADA II,11,56:29.2,18-2,F,Mixed Relay,1288.4379324633155,1262.2391219350382,1290.3914708406394,1268.4999387913774,1324.6459824387912,1293.2785361586114,1339.8267862628409,1287.0487924956303,1299.7071397054174,10185.0,3/15/25,Engadin,Switzerland
SCHMIDT Sonjaa,Sonjaa Schmidt,CAN,True,216,CANADA II,11,56:29.2,18-4,F,Mixed Relay,1288.4397690436867,1254.89260045766,1260.002143578561,1294.197191697006,1331.705701814525,1255.345138997408,1376.4588023409858,1235.3913126970913,1346.6574863820615,7874.0,3/15/25,Engadin,Switzerland
JANATOVA Katerina,Katerina Janatova,CZE,True,2152,CZECH REPUBLIC I,12,56:29.8,10-2,F,Mixed Relay,1554.202441700925,1504.916658053511,1383.448294320698,1464.4730105265098,1519.3920658156865,1364.3893507128157,1587.6816272802778,1406.197682939899,1580.4267892963098,3198.0,3/15/25,Engadin,Switzerland
HAVLICKOVA Barbora,Barbora Havlickova,CZE,True,220,CZECH REPUBLIC I,12,56:29.8,10-4,F,Mixed Relay,1197.2092079103536,1201.9245360424195,1249.5760675151423,1205.2128932978949,1247.5697419680646,1262.105581587998,1259.9136332016046,1238.2497123882924,1183.978004417962,3216.0,3/15/25,Engadin,Switzerland
DI CENTA Martina,Martina di Centa,ITA,True,223,ITALY I,13,56:44.5,6-2,F,Mixed Relay,1308.3687132257685,1302.78009819022,1277.3934455872648,1267.93749809746,1219.2775844735836,1249.6991248782165,1211.4088920490524,1277.4525077569465,1265.8999217973455,9084.0,3/15/25,Engadin,Switzerland
GISMONDI Maria,Maria Gismondi,ITA,True,212,ITALY I,13,56:44.5,6-4,F,Mixed Relay,1296.4363858234342,1292.2338085349816,1300.4395080374095,1279.289000792997,1242.7706014247135,1242.5695877224869,1240.0891012979132,1301.4454624696966,1280.0717000888658,10867.0,3/15/25,Engadin,Switzerland
KERN Julia,Julia Kern,USA,True,1361,UNITED STATES OF AMERICA I,14,57:10.6,5-2,F,Mixed Relay,1532.1804116125363,1419.8387347447276,1281.1247770720192,1403.1745855929366,1566.159311858501,1465.4273990583183,1574.0429304841346,1389.7532406487398,1539.2584832583425,1846.0,3/15/25,Engadin,Switzerland
LAUKLI Sophia,Sophia Laukli,USA,True,2152,UNITED STATES OF AMERICA I,14,57:10.6,5-4,F,Mixed Relay,1465.6795456675395,1492.5340061956404,1339.2811296842929,1496.1244847064634,1171.6195232371788,1225.0510004400803,1176.3217206843233,1319.4695234119215,1469.2620252542667,7369.0,3/15/25,Engadin,Switzerland
