FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
GISMONDI Maria,Maria Gismondi,ITA,True,0,ITALY I,13,56:44.5,4,F,Mixed Relay,1312.28260768507,1313.403634300886,1288.1301051336354,1308.0690046038642,1297.2076781939795,1242.574866305937,1296.592126930247,1289.367564071648,1309.5982382196714,10867,06/04/2025,Engadin,Switzerland
MCMULLEN Zanden,Zanden McMullen,USA,True,0,UNITED STATES OF AMERICA I,14,57:10.6,1,M,Mixed Relay,1367.65402488717,1410.9620144544613,1346.092905172036,1404.432372780121,1357.410922766975,1353.316052192176,1324.4318104743104,1350.159335874379,1383.5165120538195,12698,06/04/2025,Engadin,Switzerland
KERN Julia,Julia Kern,USA,True,0,UNITED STATES OF AMERICA I,14,57:10.6,2,F,Mixed Relay,1536.5313663164534,1416.3729039648829,1269.8954977145545,1402.981994562508,1583.0970491520593,1465.4273990583183,1582.9504952019,1375.863499139031,1550.7653912195462,1846,06/04/2025,Engadin,Switzerland
OGDEN Ben,Ben Ogden,USA,True,0,UNITED STATES OF AMERICA I,14,57:10.6,3,M,Mixed Relay,1588.4903885777176,1501.0678467682008,1436.4035373940735,1411.6853883288954,1687.437748227932,1559.6387236817898,1671.871669431538,1494.85204866011,1601.936236741904,9179,06/04/2025,Engadin,Switzerland
LAUKLI Sophia,Sophia Laukli,USA,True,0,UNITED STATES OF AMERICA I,14,57:10.6,4,F,Mixed Relay,1466.3237654364923,1495.1138334622106,1331.7181170197596,1493.388369257389,1177.2940136949046,1225.0510004400803,1184.9154325981765,1316.596094768416,1464.2654714039156,7369,06/04/2025,Engadin,Switzerland
STERN Nejc,Nejc Stern,SLO,True,0,SLOVENIA I,15,57:54.1,1,M,Mixed Relay,1327.219821177276,1233.2756134738768,1276.6206717601149,1274.4140737098,1387.0631255904657,1387.5490787333574,1358.7482231493543,1341.1044384168183,1318.4885710796989,18932,06/04/2025,Engadin,Switzerland
MANDELJC Anja,Anja Mandeljc,SLO,True,0,SLOVENIA I,15,57:54.1,2,F,Mixed Relay,1305.917774961805,1329.416969411452,1261.8633941243518,1305.1843131091457,1174.2050763892546,1221.8731060057376,1164.6370111118026,1249.3226674302878,1271.7238521052925,1868,06/04/2025,Engadin,Switzerland
LICEF Miha,Miha Licef,SLO,True,0,SLOVENIA I,15,57:54.1,3,M,Mixed Relay,1242.8578097940067,1246.886394814958,1249.2008886621345,1241.2514642558922,1189.8152873427273,1221.3472684765495,1187.889083213705,1237.6973918570832,1219.8063829231044,5911,06/04/2025,Engadin,Switzerland
UREVC Eva,Eva Urevc,SLO,True,0,SLOVENIA I,15,57:54.1,4,F,Mixed Relay,1304.0653018603846,1287.3264196674904,1268.687768069533,1284.361545349557,1347.6444642726617,1290.4373704252014,1385.823595460393,1262.8683329529356,1347.3734046432364,3192,06/04/2025,Engadin,Switzerland
JAGER Luke,Luke Jager,USA,True,0,UNITED STATES OF AMERICA II,16,58:39.0,1,M,Mixed Relay,1204.556318954522,1197.6854094834214,1247.375264740111,1198.180415190415,1291.5033791782698,1295.7339961823145,1256.9695743144507,1243.8469601845966,1189.9435546438842,9176,06/04/2025,Engadin,Switzerland
KRAMER Kendall,Kendall Kramer,USA,True,0,UNITED STATES OF AMERICA II,16,58:39.0,2,F,Mixed Relay,1305.7828886781244,1306.0487446408576,1293.6789559726308,1305.7362411365411,1276.5504216361633,1242.574866305937,1277.069218797434,1295.739887092462,1304.6319159445834,6650,06/04/2025,Engadin,Switzerland
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,0,UNITED STATES OF AMERICA II,16,58:39.0,3,M,Mixed Relay,1457.124273573035,1231.9965705394188,1244.7749208971932,1241.84909713119,1625.1079492353133,1543.4578589567473,1599.7232921535085,1409.2829201885772,1474.091367941365,9201,06/04/2025,Engadin,Switzerland
SMITH Sammy,Samantha Smith,USA,True,0,UNITED STATES OF AMERICA II,16,58:39.0,4,F,Mixed Relay,1299.4176429964914,1236.0448018902612,1245.8061299438305,1267.8609551971333,1334.9722034735787,1276.9820264850937,1360.851068710285,1245.1673110043748,1330.2579792261167,10228,06/04/2025,Engadin,Switzerland
HINCKFUSS Hugo,Hugo Hinckfuss,AUS,True,0,AUSTRALIA I,17,1:00:22.2,1,M,Mixed Relay,1195.4598332561577,1207.0825100805496,1189.4647345831795,1270.1625667061107,1250.7175293462544,1264.5736193538924,1258.120417182638,1176.4001516334677,1240.0658187797667,12412,06/04/2025,Engadin,Switzerland
BYGRAVE Tuva,Tuva Bygrave,AUS,True,0,AUSTRALIA I,17,1:00:22.2,2,F,Mixed Relay,1125.2407407477262,1144.3563767912974,1246.6229989093224,1194.5232571528672,1216.232718884434,1228.1968073578057,1238.7124979363848,1203.9556714502708,1168.0911896892462,6448,06/04/2025,Engadin,Switzerland
DE CAMPO Seve,Seve De Campo,AUS,True,0,AUSTRALIA I,17,1:00:22.2,3,M,Mixed Relay,1082.0832808141836,1089.7578364115388,1125.3959481370132,1116.9238428467072,1104.2638162562992,1188.1954907939655,1099.885081275521,1108.3956924295733,1077.306230437936,8036,06/04/2025,Engadin,Switzerland
FORDHAM Rosie,Rosie Fordham,AUS,True,0,AUSTRALIA I,17,1:00:22.2,4,F,Mixed Relay,1227.6234119233254,1225.1094548656197,1232.6835951665416,1256.5058035283237,1273.4865869492578,1242.574866305937,1269.2325555906796,1233.775450612089,1248.3880408288546,6450,06/04/2025,Engadin,Switzerland
LISOHOR Oleksandr,Oleksandr Lisohor,UKR,True,0,UKRAINE I,18,1:02:16.2,1,M,Mixed Relay,1139.12006376081,1188.6513537881797,1267.038023956039,1215.7702635762516,1178.3825642345712,1189.612131425816,1195.506024111436,1182.1718601279697,1164.744329192926,13173,06/04/2025,Engadin,Switzerland
NIKON Anastasiia,Anastasiia Nikon,UKR,True,0,UKRAINE I,18,1:02:16.2,2,F,Mixed Relay,1070.9690703173435,1154.2989086045204,1209.4264254610391,1221.2943537367378,1144.6483439700958,1200.0863654703826,1168.899627241614,1154.3691279252366,1130.1593141868111,6954,06/04/2025,Engadin,Switzerland
DRAHUN Dmytro,Dmytro Drahun,UKR,True,0,UKRAINE I,18,1:02:16.2,3,M,Mixed Relay,1155.9588992141455,1110.7868847426766,1175.6071710280096,1183.4638796846668,1262.7754132946395,1234.5384552655148,1259.126280232928,1156.5985288496538,1192.6276783913083,8058,06/04/2025,Engadin,Switzerland
OLEKH Viktoriia,Viktoriya Olekh,UKR,True,0,UKRAINE I,18,1:02:16.2,4,F,Mixed Relay,1045.536140194562,1072.9591214019051,1155.569540807636,1153.1460461375311,1155.341857336801,1209.780968170401,1146.7111942804845,1129.9483115412452,1087.2439736031824,540,06/04/2025,Engadin,Switzerland
BEXULTAN Yernur,Yernur Bexultan,KAZ,True,0,KAZAKHSTAN I,19,,1,M,Mixed Relay,1218.957840753333,1279.8112484533726,1237.0691809545465,1291.0669425644471,1237.27412787065,1255.4125148886533,1254.3386805545392,1261.3014805397345,1252.3203186478968,13128,06/04/2025,Engadin,Switzerland
