FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
BURMAN Jens,Jens Burman,SWE,True,1038,SWEDEN I,1,54:45.3,2-1,M,Mixed Relay,1505.1737148254704,1540.527029735093,1551.964281301101,1486.9418599765788,1187.1622953648196,1254.9207598051585,1167.88321239402,1522.4443509587848,1453.1372833797832,2811,3/15/25,Engadin,Switzerland
ANGER Edvin,Edvin Anger,SWE,True,6032,SWEDEN I,1,54:45.3,2-3,M,Mixed Relay,1728.4542580302368,1633.3425141489924,1554.1819861744648,1479.3638100261358,1722.453397604851,1592.4352154865765,1703.8606563684127,1641.7636493831749,1667.638815108595,14039,3/15/25,Engadin,Switzerland
GOLBERG Paal,Pål Golberg,NOR,True,7065,NORWAY I,2,55:04.8,1-1,M,Mixed Relay,1688.8785968850082,1702.1482520153656,1611.94841171035,1616.750181414386,1631.0725429755737,1613.092253399701,1580.4119008770742,1632.5873841283858,1647.107500473861,88,3/15/25,Engadin,Switzerland
ANDERSEN Iver Tildheim,Iver Tildheim Andersen,NOR,True,1685,NORWAY I,2,55:04.8,1-3,M,Mixed Relay,1599.3777485988874,1641.3470769586645,1399.5103714568074,1603.8217798107632,1234.9099766028075,1256.4463059319814,1251.7829891145184,1367.009753811388,1604.9642180067203,8590,3/15/25,Engadin,Switzerland
BAUMANN Jonas,Jonas Baumann,SUI,True,233,SWITZERLAND I,3,55:18.3,7-1,M,Mixed Relay,1456.732045257731,1469.1290608546922,1427.1865250505894,1383.6105198570913,1224.254672436483,1198.7744564172824,1222.6611128644154,1434.1410402782676,1350.7242278310823,1534,3/15/25,Engadin,Switzerland
RUEESCH Jason,Jason Rüesch,SUI,True,227,SWITZERLAND I,3,55:18.3,7-3,M,Mixed Relay,1479.583882076331,1460.8362552006267,1354.4218514784,1407.1566245066956,1335.534243039583,1228.6781238976073,1359.3404744912204,1361.55567759732,1441.173936337857,2732,3/15/25,Engadin,Switzerland
MOERK Martin Kirkeberg,Martin Kirkeberg Mørk,NOR,True,214,NORWAY II,4,55:18.8,17-1,M,Mixed Relay,1426.3503745191797,1426.4287065372723,1345.1990367610615,1356.3434885116435,1234.9004211784359,1233.6484290050726,1234.8857995167873,1349.259153722244,1370.0827850993765,12331,3/15/25,Engadin,Switzerland
REE Andreas Fjorden,Andreas Fjorden Ree,NOR,True,5598,NORWAY II,4,55:18.8,17-3,M,Mixed Relay,1592.1073571190736,1615.9953656360676,1499.8197239334586,1489.4441310342013,1262.6550062497492,1274.0463059319816,1271.7829891145184,1472.3778775056926,1513.1739975767237,8678,3/15/25,Engadin,Switzerland
NISKANEN Iivo,Iivo Niskanen,FIN,True,6556,FINLAND I,5,55:24.1,3-1,M,Mixed Relay,1684.1237781825412,1708.646729563516,1687.2563867467877,1537.9132101596872,1400.2686445271386,1412.2031505555376,1350.0183701516592,1652.080583216585,1557.8342700207386,1470,3/15/25,Engadin,Switzerland
LINDHOLM Remi,Remi Lindholm,FIN,True,418,FINLAND I,5,55:24.1,3-3,M,Mixed Relay,1472.4198981117572,1483.5432161946587,1361.9866623610912,1467.8230128926111,1225.3719845354349,1271.5758046874842,1212.9830222104993,1369.875354496313,1461.9510220762925,5702,3/15/25,Engadin,Switzerland
CYR Antoine,Antoine Cyr,CAN,True,1034,CANADA I,6,55:30.0,9-1,M,Mixed Relay,1481.1291362696006,1521.0574227474888,1532.641851105682,1410.4056811962396,1378.0642937599346,1409.6991743780231,1317.476000179185,1494.6445039786763,1393.8746242604968,9225,3/15/25,Engadin,Switzerland
LEVEILLE Olivier,Olivier Leveille,CAN,True,232,CANADA I,6,55:30.0,9-3,M,Mixed Relay,1395.9171288772031,1401.5790760340117,1332.6722999177723,1354.812852259695,1230.568172382278,1223.6852090458603,1250.9764696146349,1306.9620024069773,1364.9959538687017,14108,3/15/25,Engadin,Switzerland
FAEHNDRICH Cyril,Cyril Fähndrich,SUI,True,233,SWITZERLAND II,7,55:35.6,19-1,M,Mixed Relay,1427.261221428764,1424.2879669292774,1455.173660750455,1323.7618279728108,1331.6643621049964,1269.827805502201,1342.2926341957004,1456.847933019898,1329.5735742537788,9975,3/15/25,Engadin,Switzerland
GROND Valerio,Valerio Grond,SUI,True,1162,SWITZERLAND II,7,55:35.6,19-3,M,Mixed Relay,1547.6383152745643,1275.123961067346,1238.1975378278603,1296.9575747635645,1693.743859190606,1526.454050864292,1714.9220419788376,1403.7697105053974,1581.4752635509865,12164,3/15/25,Engadin,Switzerland
VERMEULEN Mika,Mika Vermeulen,AUT,True,8038,AUSTRIA I,8,55:57.1,8-1,M,Mixed Relay,1701.5138322453092,1729.6092666430986,1591.1891432710229,1611.0480023341452,1333.4528672259332,1286.6897497441005,1312.7824136419968,1597.2622181065,1596.1887093977434,12673,3/15/25,Engadin,Switzerland
MOSER Benjamin,Benjamin Moser,AUT,True,323,AUSTRIA I,8,55:57.1,8-3,M,Mixed Relay,1462.3081848154006,1255.0639759538053,1245.4929938086132,1265.622985913573,1545.1631323734564,1489.0639692705872,1514.232883005743,1402.353125765134,1442.6867304264952,5989,3/15/25,Engadin,Switzerland
BOEGL Lucas,Lucas Bögl,GER,True,279,GERMANY I,9,56:23.7,4-1,M,Mixed Relay,1337.529376385988,1347.9608334282395,1339.18116978761,1364.0752007164374,1133.8826112211614,1161.9270327893953,1125.5813700909812,1343.967148400147,1333.3372959767253,1540,3/15/25,Engadin,Switzerland
STOELBEN Jan,Jan Stoelben,GER,True,231,GERMANY I,9,56:23.7,4-3,M,Mixed Relay,1421.2891613422166,1245.4778110257746,1265.8341211195232,1240.500513122522,1535.2075951151105,1422.3764414110185,1548.9864189128664,1364.8357608103956,1417.3366631532408,14033,3/15/25,Engadin,Switzerland
HALFVARSSON Calle,Calle Halfvarsson,SWE,True,1555,SWEDEN II,10,56:28.8,15-1,M,Mixed Relay,1581.1195548037588,1580.5120371459643,1542.8323217844936,1488.3135317993683,1528.1966362652122,1585.6742264080135,1457.4623977490296,1574.8243746345506,1502.6664510582357,73,3/15/25,Engadin,Switzerland
BERGLUND Gustaf,Gustaf Berglund,SWE,True,225,SWEDEN II,10,56:28.8,15-3,M,Mixed Relay,1452.016283186285,1435.673663219669,1319.5042606905638,1423.5969982213312,1345.1076107156478,1300.0695837436303,1350.48702650919,1335.9500808046655,1457.91585409302,12178,3/15/25,Engadin,Switzerland
DROLET Remi,Remi Drolet,CAN,True,232,CANADA II,11,56:29.2,18-1,M,Mixed Relay,1260.7835480366398,1288.2244450806727,1290.65047064905,1267.1437412473924,1220.7918336878845,1236.4024800265809,1224.212195890969,1251.7056530786822,1246.3808803709112,8051,3/15/25,Engadin,Switzerland
