"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Sex"
"Tom Rochat","Tom Rochat",1987,"France",999,999,"False","False",NA,1236.90272148294,1218.18935862964,1300,1280.66159505752,1289.28701495849,1280.66159505752,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.214285714285714,"M"
"Manuel Senoner","Manuel Senoner",2065,"Italy",999,999,"False","False",NA,1234.52370642398,1252.93926196899,1300,1278.20980771919,1268.17056156517,1278.20980771919,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.125,"M"
"Stefano Radovan","Stefano Radovan",1914,"Italy",999,999,"False","False",NA,1242.96795016257,1266.14966366491,1300,1277.87501093598,1270.16996875875,1277.87501093598,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0769230769230769,"M"
"Even Leinan Lund","Even Leinan Lund",2404,"Norway",999,999,"False","False",NA,1237.11492364715,1248.12125297119,1300,1277.27141832338,1283.76970777033,1277.27141832338,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.133333333333333,"M"
"Valtteri Holopainen","Valtteri Holopainen",2397,"Finland",999,999,"False","False",NA,1156.03431107727,1169.94626110036,1300,1277.20980771919,1197.40063082591,1277.20980771919,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.181818181818182,"M"
"Eemeli Kurttila","Eemeli Kurttila",2455,"Finland",999,999,"False","False",NA,1189.84802779481,1220.70886066021,1264.85459604425,1276.20980771919,1193.48998596846,1276.20980771919,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.25,"M"
"Marcus Kaariainen","Marcus Kaariainen",2517,"Finland",999,999,"False","False",NA,1226.30974291807,1221.19244890224,1264.85459604425,1275.31349867055,1284.7551633909,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Oleksandr Kostreiuk","Oleksandr Kostreiuk",2542,"Ukraine",999,999,"False","False",NA,1238.59319822333,1248.57348073077,1264.85459604425,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Arthur Tirone","Arthur Tirone",2474,"USA",999,999,"False","False",NA,1210.83047202429,1160.92011488423,1264.85459604425,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Bryan Venturini","Bryan Venturini",2072,"Italy",999,999,"False","False",NA,1182.17159551823,1192.14964395811,1300,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Taiki Chiba","Taiki Chiba",2541,"Japan",999,999,"False","False",NA,1263.19685166094,1234.28671439043,1264.85459604425,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Aapeli Karislahti","Aapeli Karislahti",2527,"Finland",999,999,"False","False",NA,1223.24264749784,1226.09884830419,1264.85459604425,1275.31349867055,1220.32742504557,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.25,"M"
"Sverre Kumar Lundeby","Sverre Kumar Lundeby",2470,"Norway",999,999,"False","False",NA,1280.93460777966,1266.20800435059,1300,1275.31349867055,1297.42351435992,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Matias Aarna","Matias Aarna",2540,"Estonia",999,999,"False","False",NA,1202.32936101507,1194.4249162387,1264.85459604425,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Markus Maaninka","Markus Maaninka",2516,"Finland",999,999,"False","False",NA,1207.2232514632,1202.03852315971,1264.85459604425,1275.31349867055,1284.7551633909,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Henrik Elias Wikstrøm Hilmarsen","Henrik Elias Wikstrøm Hilmarsen",2406,"Norway",999,999,"False","False",NA,1286.29270084489,1318.29576178969,1264.85459604425,1275.31349867055,1278.70353371836,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Wancheng Cai","Wancheng Cai",2316,"China",999,999,"False","False",NA,1150.94178530304,1121.73549647389,1264.85459604425,1275.31349867055,1257.05623968494,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Jialei Wang","Jialei Wang",2515,"China",999,999,"False","False",NA,1262.87876565547,1262.70496948706,1264.85459604425,1275.31349867055,1279.8141771714,1275.31349867055,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0909090909090909,"M"
"Lukas Mühlbacher","Lukas Mühlbacher",2429,"Austria",999,999,"True","False",NA,1279.89161262836,1290.18667812994,1300,1274.71932168893,1257.05623968494,1274.71932168893,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Peter Raisanen","Peter Raisanen",2398,"Finland",999,999,"False","False",NA,1241.58871936877,1258.66685072062,1300,1274.20980771919,1279.63467206988,1274.20980771919,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0625,"M"
"Atsushi Narita","Atsushi Narita",2388,"Japan",999,999,"False","False",NA,1272.94327483533,1298.34854919224,1264.85459604425,1274.17210878529,1283.39648818646,1274.17210878529,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.666666666666667,"M"
"Pawel Szyndlar","Pawel Szyndlar",2384,"Poland",999,999,"False","False",NA,1253.81733963953,1270.46365714922,1300,1272.6925814527,1265.07061406985,1272.6925814527,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0714285714285714,"M"
"Lukas Dolezal","Lukas Dolezal",2060,"Czechia",999,999,"False","False",NA,1227.57806194048,1256.28952377355,1300,1272.40027600478,1237.09268989978,1272.40027600478,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.5,"M"
"Fred Gustavson","Fred Gustavson",2479,"Estonia",999,999,"False","False",NA,1196.3696311851,1232.26713025363,1264.85459604425,1269.2224665754,1227.25485206194,1269.2224665754,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"Gunnar Gilbertson","Gunnar Gilbertson",1709,"USA",999,999,"False","False",NA,1035.7502365149,1028.71861302115,1300,1268.05582398455,1217.51918920904,1268.05582398455,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Ruubert Teder","Ruubert Teder",2526,"Estonia",999,999,"False","False",NA,1194.55497344149,1235.68504070139,1264.85459604425,1267.9008291485,1223.97557278266,1267.9008291485,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"Karel Pastarus","Karel Pastarus",2475,"Estonia",999,999,"False","False",NA,1185.50881467344,1225.43130935811,1264.85459604425,1266.5791917216,1220.69629350338,1266.5791917216,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"Matic Garbajs","Matic Garbajs",1996,"Slovenia",999,999,"False","False",NA,1130.95418540882,1099.17140487591,1264.85459604425,1265.49825075419,1243.74214360344,1265.49825075419,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.243243243243243,"M"
"Simen Tiller","Simen Tiller",370,"Norway",999,999,"False","False",NA,1329.06783175808,1372.50830332224,1264.85459604425,1263.06976839606,1280.9488585198,1263.06976839606,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.6,"M"
"Kyotaro Yamazaki","Kyotaro Yamazaki",2418,"Japan",999,999,"False","False",NA,1198.42588087555,1205.2138930525,1264.85459604425,1262.18012693802,1254.88511884702,1262.18012693802,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.1875,"M"
"Christian Deuschl","Christian Deuschl",1319,"Austria",999,999,"True","False",NA,1217.71805645228,1228.361712015,1300,1254.6975603818,1252.73737161171,1254.6975603818,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.075,"M"
"Jonas Fischbauer","Jonas Fischbauer",2342,"Austria",999,999,"True","False",NA,1261.71989263199,1215.53812240545,1300,1250.22537807415,1275.24129555466,1250.22537807415,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Gael Blondeau","Gael Blondeau",1485,"France",999,999,"False","False",NA,1231.50093163074,1173.47549669432,1300,1243.11824480242,1322.21635397934,1243.11824480242,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.6,"M"
"Oleksandr Shumbarets","Oleksandr Shumbarets",1478,"Ukraine",999,999,"False","False",NA,1044.35174159177,1050.03119469128,1300,1226.0968414691,1158.97775496653,1226.0968414691,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.184210526315789,"M"
"Iacopo Bortolas","Iacopo Bortolas",1768,"Italy",999,999,"False","False",NA,1102.76721857952,1085.93026915267,1264.85459604425,1225.0518610563,1153.33011033209,1225.0518610563,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.426666666666667,"M"
"Otto Niittykoski","Otto Niittykoski",1347,"Finland",999,999,"False","False",NA,1214.83605195157,1240.5598823155,1300,1224.28809713405,1233.41098838582,1224.28809713405,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.575,"M"
"Carter Brubaker","Carter Brubaker",1788,"USA",999,999,"False","False",NA,1090.42735974658,1101.07033495985,1300,1221.40872429514,1216.08546955479,1221.40872429514,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"Erazem Stanonik","Erazem Stanonik",1994,"Slovenia",999,999,"False","False",NA,1134.82377296884,1147.75821046776,1264.85459604425,1219.91203389321,1219.62030991357,1219.91203389321,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.2,"M"
"Yuya Yamamoto","Yuya Yamamoto",2308,"Japan",999,999,"False","False",NA,1099.00191681577,1092.38736983317,1264.85459604425,1217.89551902454,1177.69838698008,1217.89551902454,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.590909090909091,"M"
"Stephen Schumann","Stephen Schumann",1237,"USA",999,999,"False","False",NA,1222.67985382045,1180.44607739764,1264.85459604425,1216.8159397634,1294.59920268429,1216.8159397634,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.5375,"M"
"Lukáš Daněk","Lukáš Daněk",1142,"Czechia",999,999,"False","False",NA,1140.03607168266,1163.70985659735,1264.85459604425,1198.2539835299,1240.37196917906,1198.2539835299,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.225,"M"
"Domenico Mariotti","Domenico Mariotti",1471,"Italy",999,999,"False","False",NA,1030.45186225627,1006.69598281872,1300,1186.62827333641,1160.84311579034,1186.62827333641,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.325,"M"
"Chingiz Rakparov","Chingiz Rakparov",1170,"Kazakhstan",999,999,"False","False",NA,1067.05615937423,1069.14254318864,1300,1179.93183468232,1195.07740294927,1179.93183468232,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.275,"M"
