Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,4,L,25,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",11,27,19.50718685831622,1
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",4,20,19.58384668035592,2
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,25,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",15,25,19.586584531143053,3
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",12,23,19.693360711841205,4
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,19,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",16,21,19.737166324435318,5
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,16,L,21,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",18,21,19.73990417522245,6
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",14,18,20.462696783025326,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,13,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",11,21,20.465434633812457,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,20,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",19,25,20.501026694045173,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",16,19,20.503764544832308,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,12,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",14,13,20.55852156057495,5
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,15,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",12,22,20.56125941136208,6
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,21,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",21,18,20.56399726214921,7
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,22,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",23,19,20.580424366872005,8
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,23,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",23,24,20.583162217659137,9
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,19,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",19,18,20.61601642710472,10
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,19,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",21,18,20.618754277891856,11
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,17,Trine Göpfert,Germany,107,2005-06-19T00:00:00.000000,0,"",22,18,20.621492128678987,12
