"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"HRADILOVA Jolana","Jolana Hradilova",87,"CZE",NA,3,"False","True",2004,1134.49382490292,1201.70716359726,1300,1223.82996696275,1253.39756439216,1201.70716359726,1,"Oslo","Norway","Individual","03/15/2026","L"
"MIDTSUNDSTAD Hanna","Hanna Midtsundstad",3,"NOR",NA,9,"False","True",1999,1161.92224404563,1162.37282935698,1300,1222.4312840657,1270.81708472594,1162.37282935698,1,"Oslo","Norway","Individual","03/15/2026","L"
"HIRNER Lisa","HIRNER Lisa",101144,"AUT",NA,19,"False","True",2003,NA,NA,NA,NA,NA,0,1,"Oslo","Norway","Individual","03/15/2026","L"
"Lisa-Marie Hirner","Lisa-Marie Hirner",52,"Austria",999,999,"False","False",NA,1486.35258559641,1469.82110372826,1300,1338.56331617144,1370.29600215024,1469.82110372826,0,"Oslo","Norway","Individual","03/15/2026","L"
"Haruka Kasai","Haruka Kasai",88,"Japan",999,999,"False","False",NA,1489.57556936916,1443.5375902596,1300,1371.1343821551,1372.25906307085,1443.5375902596,0,"Oslo","Norway","Individual","03/15/2026","L"
"Maria Gerboth","Maria Gerboth",66,"Germany",999,999,"False","False",NA,1324.9191736074,1330.96658481537,1300,1315.58436672069,1290.36933740575,1330.96658481537,0,"Oslo","Norway","Individual","03/15/2026","L"
"Masa Likozar Brankovic","Masa Likozar Brankovic",243,"Slovenia",999,999,"False","False",NA,1296.48502296268,1297.06590351032,1300,1293.40157843878,1305.00871340386,1297.06590351032,0,"Oslo","Norway","Individual","03/15/2026","L"
"Caroline Chor","Caroline Chor",259,"Singapore",999,999,"False","False",NA,1295.80939150425,1294.78447954233,1300,1289.47377296761,1274.61025667549,1294.78447954233,0,"Oslo","Norway","Individual","03/15/2026","L"
"Loa Jeantet","Loa Jeantet",250,"France",999,999,"False","False",NA,1290.88914524215,1290.01472361723,1300,1295.43523849302,1274.61025667549,1290.01472361723,0,"Oslo","Norway","Individual","03/15/2026","L"
"Svea Lobsiger","Svea Lobsiger",256,"Switzerland",999,999,"False","False",NA,1292.39959768982,1289.52544339775,1300,1289.47377296761,1274.61025667549,1289.52544339775,0,"Oslo","Norway","Individual","03/15/2026","L"
"Clara Mentil","Clara Mentil",99,"Austria",999,999,"False","False",NA,1274.82710570022,1288.42439917476,1300,1290.87462027297,1275.52,1288.42439917476,0,"Oslo","Norway","Individual","03/15/2026","L"
"Laly Pingat","Laly Pingat",253,"France",999,999,"False","False",NA,1288.17201256458,1287.81608419156,1300,1289.47377296761,1292.77690056875,1287.81608419156,0,"Oslo","Norway","Individual","03/15/2026","L"
"Riona Noro","Riona Noro",255,"Japan",999,999,"False","False",NA,1285.64672633741,1287.27897964349,1300,1293.40750064313,1274.61025667549,1287.27897964349,0,"Oslo","Norway","Individual","03/15/2026","L"
"Hannah Christina Brobeck","Hannah Christina Brobeck",254,"Norway",999,999,"True","False",NA,1290.12640181353,1286.01941930136,1300,1289.47377296761,1274.61025667549,1286.01941930136,0,"Oslo","Norway","Individual","03/15/2026","L"
"Sadie McCrank","Sadie McCrank",257,"USA",999,999,"False","False",NA,1290.12640181353,1286.01941930136,1300,1289.47377296761,1274.61025667549,1286.01941930136,0,"Oslo","Norway","Individual","03/15/2026","L"
"Marion Droz Vincent","Marion Droz Vincent",229,"France",999,999,"False","False",NA,1253.14138624189,1282.24185406001,1300,1275.14705868107,1274.31033267123,1282.24185406001,0,"Oslo","Norway","Individual","03/15/2026","L"
"Yuzuka Fujiwara","Yuzuka Fujiwara",235,"Japan",999,999,"False","False",NA,1281.81960868739,1279.67967310297,1300,1295.40750064313,1274.61025667549,1279.67967310297,0,"Oslo","Norway","Individual","03/15/2026","L"
"Haley Brabec","Haley Brabec",240,"USA",999,999,"False","False",NA,1288.35847285348,1279.18518061876,1300,1290.40750064313,1274.61025667549,1279.18518061876,0,"Oslo","Norway","Individual","03/15/2026","L"
"Rosa Kikuchi","Rosa Kikuchi",249,"Japan",999,999,"False","False",NA,1278.037428531,1274.41053312318,1300,1294.40750064313,1274.61025667549,1274.41053312318,0,"Oslo","Norway","Individual","03/15/2026","L"
"Laura Pletz","Laura Pletz",95,"Austria",999,999,"False","False",NA,1260.73831610493,1273.30299740347,1300,1299.25157798229,1270.47302735805,1273.30299740347,0,"Oslo","Norway","Individual","03/15/2026","L"
"Karina Kozlova","Karina Kozlova",246,"Ukraine",999,999,"False","False",NA,1258.50223830963,1270.08371052116,1300,1274.0464635072,1292.77690056875,1270.08371052116,0,"Oslo","Norway","Individual","03/15/2026","L"
"Anna Brandner","Anna Brandner",252,"Austria",999,999,"False","False",NA,1268.82980099229,1268.15912558143,1300,1289.47377296761,1291.09269004243,1268.15912558143,0,"Oslo","Norway","Individual","03/15/2026","L"
"Anna-Sophie Gredler","Anna-Sophie Gredler",223,"Austria",999,999,"False","False",NA,1236.67159278882,1267.71345975208,1300,1267.29360302838,1283.33087372936,1267.71345975208,0,"Oslo","Norway","Individual","03/15/2026","L"
"Annamarija Oinas","Annamarija Oinas",62,"Finland",999,999,"False","False",NA,1239.83216702337,1262.58283419458,1300,1285.27954545455,1291.09269004243,1262.58283419458,0,"Oslo","Norway","Individual","03/15/2026","L"
"Pia Loh","Pia Loh",244,"Germany",999,999,"False","False",NA,1260.31516104187,1260.54198213678,1300,1294.87811677337,1292.77690056875,1260.54198213678,0,"Oslo","Norway","Individual","03/15/2026","L"
"Anna Senoner","Anna Senoner",208,"Italy",999,999,"False","False",NA,1256.68357120718,1260.05526926194,1300,1285.47231945111,1286.92882331376,1260.05526926194,0,"Oslo","Norway","Individual","03/15/2026","L"
"Finja Eichel","Finja Eichel",226,"Germany",999,999,"False","False",NA,1262.89502878128,1256.14867479362,1300,1294.87811677337,1297.8295321477,1256.14867479362,0,"Oslo","Norway","Individual","03/15/2026","L"
"Eva-Maria Holzer","Eva-Maria Holzer",227,"Austria",999,999,"False","False",NA,1258.53102707864,1255.87036066782,1300,1289.47377296761,1291.2695271382,1255.87036066782,0,"Oslo","Norway","Individual","03/15/2026","L"
"Fabienne Klumpf","Fabienne Klumpf",220,"Germany",999,999,"False","False",NA,1259.40921932925,1252.79864163892,1300,1299.5203576356,1291.35484635141,1252.79864163892,0,"Oslo","Norway","Individual","03/15/2026","L"
"Ludovica Del Bianco","Ludovica Del Bianco",224,"Italy",999,999,"False","False",NA,1256.02082281205,1250.33798751826,1300,1294.87811677337,1291.2695271382,1250.33798751826,0,"Oslo","Norway","Individual","03/15/2026","L"
"Sofia Eggensberger","Sofia Eggensberger",213,"Germany",999,999,"False","False",NA,1242.24893060029,1248.30951611655,1300,1289.25921205084,1275.02047638202,1248.30951611655,0,"Oslo","Norway","Individual","03/15/2026","L"
"Maja Loh","Maja Loh",215,"Germany",999,999,"False","False",NA,1238.98269885614,1240.02617925032,1300,1288.25921205084,1280.07310796097,1240.02617925032,0,"Oslo","Norway","Individual","03/15/2026","L"
"Marie Nähring","Marie Nähring",33,"Germany",999,999,"False","False",NA,1250.89401681377,1239.50330301391,1300,1300.35592580837,1309.94519838006,1239.50330301391,0,"Oslo","Norway","Individual","03/15/2026","L"
"Amelie Steiner","Amelie Steiner",197,"Germany",999,999,"False","False",NA,1244.96117833832,1238.94259110784,1300,1294.87811677337,1291.2695271382,1238.94259110784,0,"Oslo","Norway","Individual","03/15/2026","L"
"Giada Delugan","Giada Delugan",184,"Italy",999,999,"False","False",NA,1239.34428743678,1232.50035570681,1300,1289.47377296761,1302.88216372664,1232.50035570681,0,"Oslo","Norway","Individual","03/15/2026","L"
"Julia Schmidt","Julia Schmidt",214,"Austria",999,999,"False","False",NA,1230.01932767718,1229.10796713399,1300,1298.1472301562,1289.7437652651,1229.10796713399,0,"Oslo","Norway","Individual","03/15/2026","L"
"Jonna Kil","Jonna Kil",68,"Poland",999,999,"False","False",NA,1213.41083071352,1227.84388686329,1300,1232.92188953996,1278.07164004503,1227.84388686329,0,"Oslo","Norway","Individual","03/15/2026","L"
"Veronica Gianmoena","Veronica Gianmoena",29,"Italy",999,999,"False","False",NA,1221.87982537075,1225.86523602435,1300,1264.28317800918,1268.64211571691,1225.86523602435,0,"Oslo","Norway","Individual","03/15/2026","L"
"Aino Kanervala","Aino Kanervala",251,"Finland",999,999,"False","False",NA,1246.26792188618,1225.32939467679,1300,1289.47377296761,1296.14532162138,1225.32939467679,0,"Oslo","Norway","Individual","03/15/2026","L"
"Anaelle Paris","Anaelle Paris",217,"France",999,999,"False","False",NA,1232.14447128018,1223.13938966133,1300,1290.11745571792,1293.14241845284,1223.13938966133,0,"Oslo","Norway","Individual","03/15/2026","L"
"Giulia Belz","Giulia Belz",228,"Switzerland",999,999,"False","False",NA,1237.76665796096,1219.4838557507,1300,1294.87811677337,1304.56637425296,1219.4838557507,0,"Oslo","Norway","Individual","03/15/2026","L"
"Daniela Dejori","Daniela Dejori",37,"Italy",999,999,"False","False",NA,1207.72562636448,1218.62399602848,1300,1249.48332920147,1273.9341803572,1218.62399602848,0,"Oslo","Norway","Individual","03/15/2026","L"
"Greta Pinzani","Greta Pinzani",96,"Italy",999,999,"False","False",NA,1166.49535580866,1193.84863408063,1300,1252.79098790946,1241.10325372453,1193.84863408063,0,"Oslo","Norway","Individual","03/15/2026","L"
"Silva Verbič","Silva Verbič",40,"Slovenia",999,999,"False","False",NA,1139.25033858371,1166.49180484308,1300,1257.14378391723,1238.9825297922,1166.49180484308,0,"Oslo","Norway","Individual","03/15/2026","L"
"Tereza Koldovska","Tereza Koldovska",89,"Czechia",999,999,"False","False",NA,1056.34566238492,1100.23971606672,1300,1228.11990385421,1191.35515293578,1100.23971606672,0,"Oslo","Norway","Individual","03/15/2026","L"
