Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,1,Stefan Rettenegger,Austria,1775,2026,1,2002-02-03T00:00:00.000000,23.561943874058862,1,0,1300.0,1322.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,2,Vinzenz Geiger,Germany,1182,2026,1,1997-07-24T00:00:00.000000,28.093086926762492,1,0,1300.0,1321.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,3,Thomas Rettenegger,Austria,1467,2026,1,2000-02-05T00:00:00.000000,25.557837097878163,1,0,1300.0,1320.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,4,Wendelin Thannheimer,Germany,1461,2026,1,1999-11-25T00:00:00.000000,25.754962354551676,1,0,1300.0,1319.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,5,Laurent Muhlethaler,France,1146,2026,1,1997-09-27T00:00:00.000000,27.915126625598905,1,0,1300.0,1318.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,6,Johannes Lamparter,Austria,1469,2026,1,2001-11-08T00:00:00.000000,23.800136892539356,1,0,1300.0,1317.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,7,Johannes Rydzek,Germany,14,2026,1,1991-12-09T00:00:00.000000,33.71663244353183,1,0,1300.0,1316.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,8,Martin Fritz,Austria,1090,2026,1,1994-10-24T00:00:00.000000,30.84188911704312,1,0,1300.0,1315.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,9,David Mach,Germany,1468,2026,1,2000-05-14T00:00:00.000000,25.286789869952088,1,0,1300.0,1314.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,10,Julian Schmid,Germany,1348,2026,1,1999-09-01T00:00:00.000000,25.987679671457904,1,0,1300.0,1313.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,11,Marco Heinis,France,1903,2026,1,2003-04-14T00:00:00.000000,22.3709787816564,1,0,1300.0,1312.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,12,Terence Weber,Germany,1137,2026,1,1996-09-24T00:00:00.000000,28.922655715263517,1,0,1300.0,1311.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,13,Samuel Costa,Italy,84,2026,1,1992-11-30T00:00:00.000000,32.73921971252567,1,0,1300.0,1310.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,14,Florian Kolb,Austria,1982,2026,1,2001-11-24T00:00:00.000000,23.756331279945243,1,0,1300.0,1309.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,15,Fabio Obermeyr,Austria,1777,2026,1,2000-08-08T00:00:00.000000,25.05133470225873,1,0,1300.0,1308.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,16,Paul Walcher,Austria,1988,2026,1,2005-04-30T00:00:00.000000,20.32580424366872,1,0,1300.0,1307.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,17,Richard Stenzel,Germany,2351,2026,1,2005-10-26T00:00:00.000000,19.835728952772072,1,0,1300.0,1306.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,18,Jiri Konvalinka,Czechia,2037,2026,1,2004-11-27T00:00:00.000000,20.747433264887064,1,0,1300.0,1305.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,19,Mael Tyrode,France,1318,2026,1,2000-07-31T00:00:00.000000,25.073237508555785,1,0,1300.0,1304.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,20,Herman Happonen,Finland,2346,2026,1,2004-02-10T00:00:00.000000,21.544147843942504,1,0,1300.0,1303.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,21,Matteo Baud,France,1765,2026,1,2002-06-26T00:00:00.000000,23.170431211498972,1,0,1300.0,1302.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,22,Alessandro Pittin,Italy,8,2026,1,1990-02-11T00:00:00.000000,35.540041067761805,1,0,1300.0,1301.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,23,Raffaele Buzzi,Italy,1103,2026,1,1995-07-17T00:00:00.000000,30.11362080766598,1,0,1300.0,1300.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,24,Edgar Vallet,France,1317,2026,1,2000-06-26T00:00:00.000000,25.169062286105408,1,0,1300.0,1299.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,25,Vid Vrhovnik,Slovenia,1196,2026,1,1999-07-12T00:00:00.000000,26.12731006160164,1,0,1300.0,1298.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,26,Jan Vytrval,Czechia,1239,2026,1,1998-05-08T00:00:00.000000,27.304585900068446,1,0,1300.0,1297.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,27,Gael Blondeau,France,1485,2026,1,2000-12-28T00:00:00.000000,24.66255989048597,1,0,1300.0,1296.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,28,Simon Mach,Germany,1981,2026,1,2002-10-20T00:00:00.000000,22.85284052019165,1,0,1300.0,1295.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,29,Aaron Kostner,Italy,1193,2026,1,1999-07-08T00:00:00.000000,26.13826146475017,1,0,1300.0,1294.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,30,Lukas Dolezal,Czechia,2060,2026,1,2006-02-21T00:00:00.000000,19.512662559890487,1,0,1300.0,1293.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,31,Christian Deuschl,Austria,1319,2026,1,1997-04-20T00:00:00.000000,28.35318275154004,1,0,1300.0,1292.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,32,Benedikt Grabert,Germany,2318,2026,1,2005-02-02T00:00:00.000000,20.56399726214921,1,0,1300.0,1291.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,33,Gašper Brecl,Slovenia,1295,2026,1,1999-11-18T00:00:00.000000,25.7741273100616,1,0,1300.0,1290.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,34,Erik Lynch,USA,372,2026,1,1994-06-09T00:00:00.000000,31.21697467488022,1,0,1300.0,1289.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,35,Pascal Müller,Switzerland,1475,2026,1,2001-07-17T00:00:00.000000,24.112251882272417,1,0,1300.0,1288.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,36,Erazem Stanonik,Slovenia,1994,2026,1,2002-01-23T00:00:00.000000,23.592060232717316,1,0,1300.0,1287.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,37,Matic Garbajs,Slovenia,1996,2026,1,2003-10-21T00:00:00.000000,21.8507871321013,1,0,1300.0,1286.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,38,Jonathan Gräbert,Germany,2421,2026,1,2007-02-25T00:00:00.000000,18.50239561943874,1,0,1300.0,1285.0
2025-08-27,Oberstdorf,Germany,M,7.5,Individual Compact,0,Wednesday 27.Aug 2025,39,Dmytro Mazurchuk,Ukraine,1197,2026,1,1999-01-19T00:00:00.000000,26.60369609856263,1,0,1300.0,1284.0
