"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_Pursuit_Elo","Avg_MassStart_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_Pursuit_Pelo","Avg_MassStart_Pelo","MassStart","Sex"
2015-11-29,"Östersund","Sweden","Bulgaria","Single Mixed Relay",2016,1,"World Cup",366,18,23,1222.30282019239,1310.07143480045,1199.8367896632,1208.61522212605,1303.5717435023,1222.74382742107,1271.75744687781,1193.80769486366,1206.86722949261,1300,0,"Mixed"
2015-11-29,"Östersund","Sweden","Canada","Single Mixed Relay",2016,1,"World Cup",366,2,75,1537.71529859151,1399.30522010284,1526.77558789087,1398.59096929459,1291.28555300168,1534.31721725276,1514.8757886632,1513.71707316089,1389.68904644971,1292.96425718429,0,"Mixed"
2015-11-29,"Östersund","Sweden","Czechia","Single Mixed Relay",2016,1,"World Cup",366,13,28,1416.1935072611,1420.14254964821,1370.8700876619,1286.27708090758,1294.9907347951,1417.14765513377,1313.79804006648,1361.34169613063,1273.28951161853,1294.10674681776,0,"Mixed"
2015-11-29,"Östersund","Sweden","Estonia","Single Mixed Relay",2016,1,"World Cup",366,25,16,1312.29982748379,1398.60725853581,1310.16972217224,1260.9401046009,NA,1318.2476224716,1286.69056417026,1305.79155047368,1281.3449247003,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Finland","Single Mixed Relay",2016,1,"World Cup",366,6,45,1488.8502998021,1554.47303070368,1466.8779547994,1415.13951458206,1396.37817534054,1486.54381354242,1543.00943682708,1453.70810105993,1403.67391512803,1413.38608863593,0,"Mixed"
2015-11-29,"Östersund","Sweden","France","Single Mixed Relay",2016,1,"World Cup",366,21,20,1659.01726553132,1677.08681234234,1598.52404337679,1502.62883360052,1355.38617756005,1667.87968588698,1633.17226496404,1588.82936134551,1495.12415798085,1365.16020889418,0,"Mixed"
2015-11-29,"Östersund","Sweden","Germany","Single Mixed Relay",2016,1,"World Cup",366,3,65,1488.00976256698,1476.42263585652,1457.19524058303,1354.70624607345,1287.04963724109,1484.17504099579,1482.20979244603,1451.56683262408,1340.68689628379,1284.76427910716,0,"Mixed"
2015-11-29,"Östersund","Sweden","Great Britain","Single Mixed Relay",2016,1,"World Cup",366,24,17,1106.06597268988,1107.11663619804,1102.1106210513,1245.6786546564,NA,1108.22988004293,1099.18297912277,1097.16495881947,1263.36887868242,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Italy","Single Mixed Relay",2016,1,"World Cup",366,9,34,1395.81680680101,1590.60419944185,1346.28463593532,1279.4679749241,1257.74001925374,1394.13668742299,1468.89756471506,1331.15622924448,1274.75812136188,1250.28237559264,0,"Mixed"
2015-11-29,"Östersund","Sweden","Japan","Single Mixed Relay",2016,1,"World Cup",366,10,31,1297.68818725606,1266.94667127642,1320.59130343573,1239.91703015767,1290.5255743541,1294.97529355025,1291.22510071278,1310.45833651979,1222.87283176367,1288.85361688718,0,"Mixed"
2015-11-29,"Östersund","Sweden","Kazakhstan","Single Mixed Relay",2016,1,"World Cup",366,16,25,1243.34201085863,1322.59075756736,1237.89709322689,1240.54097223542,NA,1243.02065355266,1255.38667093456,1238.64115837367,1266.34114728098,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Latvia","Single Mixed Relay",2016,1,"World Cup",366,8,37,1325.65039072977,1262.67117686658,1356.27991905979,1391.59313649252,1308.96068115253,1322.16115707397,1314.5301456855,1328.50469024831,1367.18781940601,1310.54197782651,0,"Mixed"
2015-11-29,"Östersund","Sweden","Lithuania","Single Mixed Relay",2016,1,"World Cup",366,22,19,1214.48303142122,1239.78339248601,1245.54459343841,1221.39483804226,1277.17678176815,1217.05174537297,1247.5102357319,1235.9348158099,1240.90840324882,1282.14254544419,0,"Mixed"
2015-11-29,"Östersund","Sweden","Norway","Single Mixed Relay",2016,1,"World Cup",366,1,90,1379.79229520961,1364.20590900542,1361.15564124326,1299.3148266017,1307.29363629041,1373.26729207854,1303.8302762194,1369.07010456838,1309.50013355387,1300,0,"Mixed"
2015-11-29,"Östersund","Sweden","Poland","Single Mixed Relay",2016,1,"World Cup",366,14,27,1371.16883749011,1589.87206538774,1376.49725809512,1375.58838059407,1265.56697161018,1371.87435114373,1538.24050722616,1394.96707690162,1379.45034872251,1259.49055483551,0,"Mixed"
2015-11-29,"Östersund","Sweden","Romania","Single Mixed Relay",2016,1,"World Cup",366,12,29,1189.09549753777,1164.14481150083,1199.77104027958,1185.01408585077,NA,1185.60435399571,1178.90945415334,1206.8197434793,1164.72245394208,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Russia","Single Mixed Relay",2016,1,"World Cup",366,5,50,1614.85040170521,1531.50145550195,1567.65560754072,1470.96531309213,1322.57516797774,1613.962714398,1485.98059754269,1561.41757266129,1469.0213128315,1324.8030819363,0,"Mixed"
2015-11-29,"Östersund","Sweden","Slovakia","Single Mixed Relay",2016,1,"World Cup",366,17,24,1260.57806214112,1241.35813753703,1241.48519071713,1224.94819975554,NA,1261.09442346583,1200.03023587509,1239.19663168138,1219.31411472491,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Slovenia","Single Mixed Relay",2016,1,"World Cup",366,20,21,1173.22969582812,1139.78157395384,1186.44255707949,1218.19032461703,NA,1174.02543831379,1232.37729949239,1166.40300832881,1242.44449105085,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","South Korea","Single Mixed Relay",2016,1,"World Cup",366,26,15,1112.12861951058,1098.84818782767,1118.07224210701,1234.63070365225,NA,1115.40226836865,1089.67186769869,1107.6319481737,1255.40388877628,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Sweden","Single Mixed Relay",2016,1,"World Cup",366,4,55,1298.8997089814,1386.29446242118,1286.91159599355,1258.56497837499,NA,1292.70929402303,1470.85302113171,1293.23145651276,1262.95110389553,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Switzerland","Single Mixed Relay",2016,1,"World Cup",366,23,18,1319.66522301477,1232.6671863859,1332.23961974823,1232.71270860647,1293.9707347951,1324.6012803561,1238.61285568927,1310.02764257914,1221.01472789426,1292.90674681776,0,"Mixed"
2015-11-29,"Östersund","Sweden","USA","Single Mixed Relay",2016,1,"World Cup",366,15,26,1274.7506435571,1308.56842505759,1255.21628206981,1272.08325682621,NA,1274.37195438942,1239.83282882251,1231.77119382975,1291.5325867046,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Ukraine","Single Mixed Relay",2016,1,"World Cup",366,7,41,1549.47157144096,1696.75109276612,1493.20651988441,1390.67150854485,1276.21222513013,1549.09680648799,1716.13458368893,1488.898308367,1376.8777198303,1272.01438250604,0,"Mixed"
2016-02-07,"Canmore","Canada","Austria","Single Mixed Relay",2016,23,"World Cup",1427,2,75,1607.67258523171,1606.78845941045,1542.70249425785,1411.90838714969,1311.46413324109,1605.15389084502,1604.05721884412,1557.37054876472,1406.31965817233,1309.70622005571,0,"Mixed"
2016-02-07,"Canmore","Canada","Belarus","Single Mixed Relay",2016,23,"World Cup",1427,19,22,1303.83593468143,1222.94801697091,1319.51454167938,1278.0193894626,NA,1306.47052872289,1184.42572657204,1292.38178188753,1274.14045819129,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Canada","Single Mixed Relay",2016,23,"World Cup",1427,12,29,1456.67543261749,1332.50457305027,1452.85542038812,1333.58604032528,1291.51797231375,1457.95474105128,1399.90788535119,1440.67753632509,1336.40635665194,1291.12622708515,0,"Mixed"
2016-02-07,"Canmore","Canada","Czechia","Single Mixed Relay",2016,23,"World Cup",1427,13,28,1444.19148826868,1342.04560162226,1406.6308024718,1291.35236141793,1281.80245690746,1445.88097159322,1290.14788308635,1410.30187683671,1289.82689002566,1293.43977156614,0,"Mixed"
2016-02-07,"Canmore","Canada","Finland","Single Mixed Relay",2016,23,"World Cup",1427,20,21,1151.75237489035,1214.86100909955,1160.22446632742,1253.08064279992,NA,1153.30051467405,1226.70442077024,1178.20643804078,1271.34660761926,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","France","Single Mixed Relay",2016,23,"World Cup",1427,1,90,1811.17239106889,1714.00224665058,1695.27954606087,1588.77565972525,1424.61850818843,1810.0249270798,1650.37610311644,1695.87372144969,1592.03267052242,1416.12515159234,0,"Mixed"
2016-02-07,"Canmore","Canada","Germany","Single Mixed Relay",2016,23,"World Cup",1427,7,41,1540.12511626607,1559.04591981869,1484.66372150382,1358.74985375362,1283.09721084953,1539.7236191872,1514.8472457836,1461.63609148508,1367.75557422825,1289.92782078964,0,"Mixed"
2016-02-07,"Canmore","Canada","Italy","Single Mixed Relay",2016,23,"World Cup",1427,5,50,1373.45297943973,1327.47013249867,1340.36968158965,1260.70931989626,NA,1369.64635566431,1276.67479812582,1314.96947177048,1265.90378782906,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Japan","Single Mixed Relay",2016,23,"World Cup",1427,10,31,1291.25892885229,1258.90756121955,1299.68211079624,1273.34252591389,1291.05204029922,1289.22397027181,1287.99628908874,1281.41355808144,1275.4745372367,1297.1350424151,0,"Mixed"
2016-02-07,"Canmore","Canada","Kazakhstan","Single Mixed Relay",2016,23,"World Cup",1427,11,30,1288.75974142407,1489.03666304329,1249.81909743559,1220.43771022919,1285.83524775041,1287.07307208355,1425.19468710796,1248.53193124602,1236.02860296713,1300,0,"Mixed"
2016-02-07,"Canmore","Canada","Latvia","Single Mixed Relay",2016,23,"World Cup",1427,8,37,1420.48990635759,1297.93377991804,1402.31998811542,1333.0405006041,1311.09080202016,1418.92801493451,1248.85524358272,1365.78569919471,1335.3546129579,1308.68105207095,0,"Mixed"
2016-02-07,"Canmore","Canada","Lithuania","Single Mixed Relay",2016,23,"World Cup",1427,23,18,1120.8236859933,1205.43152507754,1141.62129117383,NA,NA,1123.65770362163,1245.07424248429,1153.06961457759,NA,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Norway","Single Mixed Relay",2016,23,"World Cup",1427,3,65,1441.23267337789,1401.04746380724,1369.02747788261,1329.90576142139,1303.52770763737,1437.23324024862,1434.97096864919,1376.42505730439,1310.36039613994,1300,0,"Mixed"
2016-02-07,"Canmore","Canada","Poland","Single Mixed Relay",2016,23,"World Cup",1427,14,27,1388.10384716953,1450.26992588734,1351.04351195065,1331.33002496248,1273.78273950912,1389.54940920125,1401.43245707611,1330.39016005252,1334.71124842589,1282.72939382256,0,"Mixed"
2016-02-07,"Canmore","Canada","Romania","Single Mixed Relay",2016,23,"World Cup",1427,17,24,1167.65896279731,1169.6490011225,1183.5037045641,1229.16409700318,NA,1167.68305804672,1132.77344025385,1186.80370076171,1242.50704292538,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Russia","Single Mixed Relay",2016,23,"World Cup",1427,4,55,1596.2790340978,1594.64611727979,1492.06304912122,1406.37269341927,1299.23937548619,1594.88995389808,1566.11993062915,1486.63250712019,1391.14011167237,1305.22869568679,0,"Mixed"
2016-02-07,"Canmore","Canada","Slovakia","Single Mixed Relay",2016,23,"World Cup",1427,21,20,1206.30583002931,1278.40819963745,1206.48475989514,1255.53156688809,NA,1209.0951317581,1257.64280651775,1219.65855269484,1247.68419633893,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Slovenia","Single Mixed Relay",2016,23,"World Cup",1427,18,23,1414.61585429083,1491.97432446757,1424.79914536898,1341.57720057985,1284.56952935131,1418.74474319444,1495.75160647904,1455.02654330759,1346.01449226651,1294.48059641144,0,"Mixed"
2016-02-07,"Canmore","Canada","South Korea","Single Mixed Relay",2016,23,"World Cup",1427,22,19,1069.55861301737,1054.67689961621,1117.48545467174,1234.63070365225,NA,1071.27874480248,1096.13510582738,1129.77549238921,1255.40388877628,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","Sweden","Single Mixed Relay",2016,23,"World Cup",1427,9,34,1308.9438457342,1423.52974538706,1254.29276503857,1284.58437295658,1295.61073895899,1306.42193604635,1257.65776794996,1255.12580886013,1291.97520804384,1300,0,"Mixed"
2016-02-07,"Canmore","Canada","Switzerland","Single Mixed Relay",2016,23,"World Cup",1427,15,26,1268.32279972818,1187.63935719605,1289.9735616161,1265.88787087264,NA,1268.59758455422,1250.58438473052,1283.65674959404,1259.86808337958,NA,0,"Mixed"
2016-02-07,"Canmore","Canada","USA","Single Mixed Relay",2016,23,"World Cup",1427,16,25,1313.52409442813,1241.2272468919,1329.23631555939,1203.40839049185,1291.14109440016,1315.00703762487,1198.42449416763,1315.79668607318,1221.76972456979,1289.57775811783,0,"Mixed"
2016-02-07,"Canmore","Canada","Ukraine","Single Mixed Relay",2016,23,"World Cup",1427,6,45,1447.84183507094,1523.84850439135,1404.03201836869,1336.53649230878,1300.80469567834,1448.19801352327,1486.60433343339,1422.07225976927,1321.76616249124,1291.79017427601,0,"Mixed"
2016-11-27,"Östersund","Sweden","Austria","Single Mixed Relay",2017,2,"World Cup",366,2,75,1597.53917403626,1668.37089518829,1556.65047893188,1422.72847197014,1310.77142764534,1595.04662956517,1606.78845941045,1558.10869788346,1444.38643761193,1311.46413324109,0,"Mixed"
2016-11-27,"Östersund","Sweden","Belarus","Single Mixed Relay",2017,2,"World Cup",366,10,31,1290.1890484503,1273.56571592965,1285.60970402363,1273.68892374836,1287.03524775041,1287.48577538576,1353.31885302926,1306.20543853027,1278.56063868547,1300,0,"Mixed"
2016-11-27,"Östersund","Sweden","Bulgaria","Single Mixed Relay",2017,2,"World Cup",366,16,25,1362.7061315676,1454.11905204323,1373.97251728681,1264.42938110403,1227.98978467626,1364.40622675446,1415.29182701182,1376.22333222864,1266.54285081325,1235.94213918471,0,"Mixed"
2016-11-27,"Östersund","Sweden","Canada","Single Mixed Relay",2017,2,"World Cup",366,7,41,1466.8768942626,1522.14060048515,1461.28635494089,1377.4925188259,1289.25787023427,1465.39160377609,1497.55518574416,1477.27127190726,1370.67761087071,1288.10645524974,0,"Mixed"
2016-11-27,"Östersund","Sweden","Czechia","Single Mixed Relay",2017,2,"World Cup",366,14,27,1495.84646847897,1501.73376506584,1459.97886930968,1332.49344456816,1287.99808417124,1498.72139382324,1456.53347753628,1457.31998255096,1340.86413320434,1288.87118740475,0,"Mixed"
2016-11-27,"Östersund","Sweden","Estonia","Single Mixed Relay",2017,2,"World Cup",366,15,26,1200.93998232741,1265.2280642431,1195.06990615314,1251.80963697989,NA,1199.49309716095,1348.3628988784,1181.78780028673,1258.3664509143,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","Finland","Single Mixed Relay",2017,2,"World Cup",366,20,21,1215.29524759961,1107.06641026983,1137.97001304332,NA,NA,1216.8698697096,1115.13551257784,1155.31230499764,NA,NA,0,"Mixed"
2016-11-27,"Östersund","Sweden","France","Single Mixed Relay",2017,2,"World Cup",366,1,90,1766.76056139362,1770.12383534768,1676.81161006502,1598.05521510585,1435.82455347934,1765.39985537127,1714.00224665058,1707.45467637233,1612.83015977548,1424.61850818843,0,"Mixed"
2016-11-27,"Östersund","Sweden","Germany","Single Mixed Relay",2017,2,"World Cup",366,3,65,1660.06761803987,1627.85067973939,1602.05534894288,1458.35129810423,1317.95506786919,1658.87926004405,1574.69516553051,1582.13095080419,1486.2956448285,1312.76943299444,0,"Mixed"
