"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Is_Present","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_Pursuit_Elo","Avg_Pursuit_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Member_1","Member_1_ID","Member_1_Sex","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_Pursuit_Elo","Member_1_MassStart_Elo","Member_2","Member_2_ID","Member_2_Sex","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_Pursuit_Elo","Member_2_MassStart_Elo","Race1_Prob"
"NORWAY","NOR",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3695.47659916439,1847.73829958219,3203.47320784034,1601.73660392017,3513.88371054875,1756.94185527438,3129.185057152,1564.592528576,2878.63702573486,1439.31851286743,"Sturla Holm Lægreid",2753,"M",2007.3640116468,1666.59611796153,1862.95339129645,1686.03358849768,1496.7000838974,"Karoline Offigstad Knotten",1275,FALSE,1688.11258751758,1536.87708987882,1650.9303192523,1443.15146865433,1381.93694183745,1
"FRANCE","FRA",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3690.27859990788,1845.13929995394,3169.35585446379,1584.6779272319,3440.63506101457,1720.31753050729,3192.70346714657,1596.35173357328,2880.65228107489,1440.32614053744,"Emilien Jacquelin",1333,"M",1879.42032729003,1586.48908845424,1722.9936828951,1642.61254223353,1449.2539603391,"Camille Bened",2166,FALSE,1810.85827261785,1582.86676600955,1717.64137811947,1550.09092491304,1431.39832073579,1
"FINLAND","FIN",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3665.45931761825,1832.72965880912,3004.74879795872,1502.37439897936,3473.34118603644,1736.67059301822,3052.55695168182,1526.27847584091,2605.48561200815,1302.74280600407,"Tero Seppälä",1427,"M",1795.22786238412,1460.94582487865,1717.87500759175,1446.42304400765,1332.9782647134,"Suvi Minkkinen",1233,FALSE,1870.23145523413,1543.80297308008,1755.46617844469,1606.13390767417,1272.50734729475,1
"SWEDEN","SWE",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3925.12155110314,1962.56077555157,3231.48431951626,1615.74215975813,3611.35705577083,1805.67852788542,3333.50024792584,1666.75012396292,2799.12872900072,1399.56436450036,"Sebastian Samuelsson",1345,"M",2031.00533962534,1622.0116372094,1866.37331461063,1699.46305142604,1382.88877593129,"Hanna Öberg",1384,FALSE,1894.11621147781,1609.47268230686,1744.9837411602,1634.0371964998,1416.23995306943,1
"SWITZERLAND","SUI",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3322.45533645228,1661.22766822614,2982.82854605777,1491.41427302888,3197.83476704638,1598.91738352319,2788.39361838331,1394.19680919166,2609.13171415009,1304.56585707504,"Niklas Hartweg",3521,"M",1727.30558734746,1585.12859972562,1669.70542508615,1437.97470142782,1311.32356855811,"Lea Meier",2505,FALSE,1595.14974910483,1397.69994633214,1528.12934196023,1350.41891695549,1297.80814559198,1
"AUSTRIA","AUT",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3248.90941726504,1624.45470863252,2995.8660365325,1497.93301826625,3199.0186914386,1599.5093457193,2870.42254887738,1435.21127443869,2702.50348429785,1351.25174214892,"Simon Eder",11,"M",1628.14314559586,1548.80743647421,1588.70981666089,1395.36607904445,1329.52714304808,"Lisa Theresa Hauser",1006,FALSE,1620.76627166918,1447.0586000583,1610.30887477771,1475.05646983293,1372.97634124977,1
"UKRAINE","UKR",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",2945.88602830473,1472.94301415237,2744.8073042559,1372.40365212795,2990.20132930077,1495.10066465038,2476.04082513627,1238.02041256813,2702.62063363081,1351.3103168154,"Bohdan Borkovskyi",5061,"M",1516.82036178351,1405.93104322946,1519.33079152182,1186.75952442732,1370.23381987945,"Anastasiya Merkushyna",1289,FALSE,1429.06566652123,1338.87626102644,1470.87053777895,1289.28130070895,1332.38681375136,1
"POLAND","POL",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3004.77307042416,1502.38653521208,2749.68322382489,1374.84161191245,2913.83774369253,1456.91887184626,2512.58705600985,1256.29352800493,2637.80266357844,1318.90133178922,"Jan Gunka",4559,"M",1552.68071458856,1232.07335262537,1495.11493787847,1323.91510945685,1333.61097391189,"Anna Maka",941,FALSE,1452.09235583559,1517.60987119952,1418.72280581406,1188.671946553,1304.19168966655,1
"CZECHIA","CZE",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",3372.35920611015,1686.17960305507,3019.48644306075,1509.74322153037,3233.17957645157,1616.58978822579,2877.77035972886,1438.88517986443,2683.8715233435,1341.93576167175,"Vitezslav Hornig",1786,"M",1802.98493375564,1531.86593975643,1685.39801412452,1485.7811106754,1341.78298499708,"Tereza Vobornikova",2442,FALSE,1569.37427235451,1487.62050330432,1547.78156232705,1391.98924905347,1342.08853834642,1
"ESTONIA","EST",NA,"03/15/2026","Otepää","Estonia","Single Mixed Relay","True",2725.71281457955,1362.85640728978,2677.81215105522,1338.90607552761,2653.79829267477,1326.89914633738,2468.2314252537,1234.11571262685,2545.02601116016,1272.51300558008,"Mark-Markos Kehva",4856,"M",1463.88214114487,1412.66788922716,1366.38485749117,1276.078417556,1280.50484553104,"Johanna Talihärm",894,FALSE,1261.83067343469,1265.14426182806,1287.4134351836,1192.15300769771,1264.52116562911,1
