"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"PASCHKE Pius","Pius Paschke",1556,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1427.55772215547,1298.0875,1296.24673698786,1420.83088413567,1423.86569053471,1354.45521323356,1427.55772215547,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"ORTNER Maximilian","Maximilian Ortner",2556,"AUT",NA,NA,"False","True",NA,NA,NA,NA,137,1395.94677438919,1298.0875,1296.24673698786,1375.80030495408,1413.53372877703,1299.11813520593,1395.94677438919,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"WASEK Pawel","Pawel Wasek",2189,"POL",NA,NA,"False","True",NA,NA,NA,NA,137,1387.43931635698,1298.0875,1296.24673698786,1375.82767669022,1380.21799629711,1328.15835500263,1387.43931635698,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"ZYLA Piotr","Piotr Zyla",98,"POL",NA,NA,"False","True",NA,NA,NA,NA,137,1387.01359584927,1298.0875,1296.24673698786,1311.19433081569,1378.29152637973,1388.43860423036,1387.01359584927,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"AALTO Antti","Antti Aalto",924,"FIN",NA,NA,"False","True",NA,NA,NA,NA,137,1384.59629721634,1298.0875,1296.24673698786,1368.2937793261,1360.28243005443,1276.0862482823,1384.59629721634,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"AIGRO Artti","Artti Aigro",1871,"EST",NA,NA,"False","True",NA,NA,NA,NA,137,1378.18321770963,1298.0875,1296.24673698786,1301.95573415779,1370.85704674843,1279.9967441139,1378.18321770963,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"DESCHWANDEN Gregor","Gregor Deschwanden",273,"SUI",NA,NA,"False","True",NA,NA,NA,NA,137,1358.45370303961,1298.0875,1296.24673698786,1428.78237523757,1371.50564644653,1347.53670353152,1358.45370303961,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KYTOSAHO Niko","Niko Kytösaho",1830,"FIN",NA,NA,"False","True",NA,NA,NA,NA,137,1351.97265574095,1298.0875,1296.24673698786,1220.47464013198,1340.8938850299,1248.78129126479,1351.97265574095,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"COLBY Jason","Jason Colby",2679,"USA",NA,NA,"False","True",NA,NA,NA,NA,137,1336.09670252292,1298.0875,1296.24673698786,1264.80700335053,1334.75976766913,1286.01702683459,1336.09670252292,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"PEDERSEN Robin","Robin Pedersen",1933,"NOR",NA,NA,"False","True",NA,NA,NA,NA,137,1322.83615706965,1298.0875,1296.24673698786,1324.58165207507,1317.63460625955,1272.93729728887,1322.83615706965,1,"Oberstdorf","Germany","Large","12/28/2025","M"
