Date,Race_Date,Final_Date,Startlist,Sex,City,Country,HillSize,RaceType,Period,Elevation,Championship,Race
03/01/2026,03/01/2026,03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7554,M,Kulm,Austria,235,Flying,5,835,0,19
03/01/2026,03/01/2026,03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7548,L,Hinzenbach,Austria,90,Normal,5,346,0,17
03/06/2026,03/06/2026,03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7560,L,Lahti,Finland,130,Large,5,86,0,18
03/06/2026,03/07/2026,03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7558,M,Lahti,Finland,130,Large,5,86,0,20
03/08/2026,03/08/2026,03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7563,M,Lahti,Finland,130,Team Large,5,86,0,21
03/15/2026,03/15/2026,03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7569,M,Oslo,Norway,134,Large,5,340,0,22
03/15/2026,03/15/2026,03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7568,L,Oslo,Norway,134,Large,5,340,0,19
03/21/2026,03/21/2026,03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7583,L,Vikersund,Norway,240,Flying,5,237,0,20
03/21/2026,03/22/2026,03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7575,M,Vikersund,Norway,240,Flying,5,237,0,23
03/26/2026,03/26/2026,03/29/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7578,M,Planica,Slovenia,240,Flying,5,972,0,24
03/26/2026,03/28/2026,03/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7581,L,Planica,Slovenia,240,Flying,5,972,0,21
03/28/2026,03/28/2026,03/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7580,M,Planica,Slovenia,240,Team Large,5,972,0,25
