FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Elo,Race_Type,Race1_Prob,Recent_Competitor,City,Country,Distance,Technique,Race_Date
WEBER Anja,Anja Weber,6338,Switzerland,True,1169,1584.7182743863218,1477.8638126414155,1400.9239775255337,1380.1707482933,1586.446824890544,1468.823083663951,1580.709863470756,1494.948759777527,1530.202211418704,1380.1707482933,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
LUNDGREN Moa,Moa Lundgren,3211,Sweden,True,2138,1609.0656139101527,1503.8804156700944,1428.5879519999976,1376.4713092436589,1577.4780603856889,1473.2719838823766,1590.0894138789345,1495.4088189727822,1545.0570272059151,1376.4713092436589,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
DEL RIO Gina,Gina del Rio,10313,Andorra,True,431,1430.2740742456494,1381.4163651756214,1320.085205062262,1368.3354787169824,1426.2115682112394,1309.2894235920762,1468.0179451588826,1321.2746392517345,1458.5699912152554,1368.3354787169824,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KAHARA Jasmin,Jasmin Kähärä,3528,Finland,True,448,1538.4624700884897,1394.6032278175774,1319.916975686668,1366.8067573383948,1555.0541728267815,1450.207291843999,1555.8089683174887,1440.9681300419836,1519.7185483736305,1366.8067573383948,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
GAGNON Liliane,Liliane Gagnon,7427,Canada,True,221,1409.1309116079635,1371.7276535659005,1258.4087740518858,1359.455362765979,1355.9691719925745,1252.2669080476169,1411.6570293860543,1245.4898773934829,1432.4522200419024,1359.455362765979,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
JOENSUU Jasmi,Jasmi Joensuu,1675,Finland,True,5828,1651.471767586626,1531.963104186066,1523.431506494936,1352.435213911397,1654.5131601192606,1580.2090222706315,1604.0813130112642,1629.4177313602925,1527.6261170693083,1352.435213911397,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
MYHRE Julie,Julie Myhre,1841,Norway,True,383,1540.445074541414,1316.8961186634267,1288.766643057734,1318.5316212947514,1556.4338980064158,1456.1153064697924,1562.5548512727132,1415.598369347507,1524.5226694960456,1318.5316212947514,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
MARCISZ Izabela,Izabela Marcisz,6327,Poland,True,225,1309.0740129322423,1282.9549358329557,1256.999008123384,1314.0519115065524,1323.1321812311585,1311.5467525157208,1283.5461655470344,1293.967897662345,1320.3381239268394,1314.0519115065524,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
NIEMELA Hilla,Hilla Niemelä,6296,Finland,True,219,1333.7603190807254,1270.1027535596,1266.2376575354465,1303.0221618521205,1368.915529514121,1344.5226505721596,1340.0937374152663,1314.588903411039,1333.2866027060186,1303.0221618521205,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KAASIKU Keidy,Keidy Kaasiku,4942,Estonia,True,225,1277.0668539965368,1307.970336663334,1274.8451037186842,1302.0974191046714,1197.3146324705888,1206.2782656884658,1218.5556288602909,1228.5275814490426,1293.4899124754324,1302.0974191046714,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
HAAPALEHTO Ella Noora,Ella Noora Haapalehto,10819,Finland,True,219,1282.8940229561892,1276.59303538438,1278.8926958927082,1300.0,1283.3738074375578,1276.279447154799,1256.166293583588,1277.685156429077,1271.3301374600403,1300.0,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
