Skier,ID,Nation,Ranking,Points
Jessie Diggins,131,USA,1,2071
Victoria Carl,1489,Germany,2,1641
Astrid Øyre Slind,115,Norway,3,1515
Kerttu Niskanen,37,Finland,4,1510
Therese Johaug,4,Norway,5,1245
Heidi Weng,60,Norway,6,1240
Ebba Andersson,1789,Sweden,7,1188
Katerina Janatova,3198,Czechia,8,1179
Teresa Stadlober,529,Austria,9,1069
Jasmi Joensuu,1675,Finland,10,1036
Moa Ilar,1866,Sweden,11,978
Krista Pärmäkoski,13,Finland,12,964
Kristin Austgulen Fosnæs,4268,Norway,13,958
Pia Fink,4004,Germany,14,951
Jonna Sundling,1486,Sweden,15,930
Nora Sanness,6324,Norway,16,908
Nadine Fähndrich,1590,Switzerland,17,907
Katharina Hennig,1618,Germany,18,799
Lotta Udnes Weng,1671,Norway,19,775
Laura Gimmler,1495,Germany,20,735
Julia Kern,1846,USA,21,716
Silje Theodorsen,1623,Norway,22,697
Maja Dahlqvist,1673,Sweden,23,690
Anja Weber,6338,Switzerland,24,640
Sophia Laukli,7369,USA,25,639
Caterina Ganz,1721,Italy,26,631
Linn Svahn,3190,Sweden,27,626
Flora Dolci,2483,France,28,615
Kathrine Stewart-Jones,1676,Canada,29,582
Helen Hoffmann,6691,Germany,30,562
Emma Ribom,1844,Sweden,31,549
Jasmin Kähärä,3528,Finland,32,501
Coletta Rydzek,3254,Germany,33,464
Rosie Brennan,627,USA,34,457
Frida Karlsson,3998,Sweden,35,433
Sofie Krehl,1695,Germany,36,424
Julie Myhre,1841,Norway,37,411
Helene Marie Fossesholm,6407,Norway,38,408
Liliane Gagnon,7427,Canada,38,408
Johanna Hagström,3212,Sweden,40,393
Ane Appelkvist Stenseth,1829,Norway,41,379
Anna Comarella,1724,Italy,42,372
Märta Rosenberg,6689,Sweden,43,368
Johanna Matintalo,1761,Finland,44,363
Hedda Østberg Amundsen,2364,Norway,45,362
Anja Mandeljc,1868,Slovenia,45,362
Katherine Sauerbrey,1727,Germany,47,337
Kristine Stavås Skistad,3207,Norway,48,326
Elena Rise Johnsen,4267,Norway,49,310
Lena Quintin,3252,France,50,296
Katri Lylynperä,1494,Finland,51,284
Moa Lundgren,3211,Sweden,52,272
Anne Kjersti Kalvå,1498,Norway,53,259
Nadja Kälin,6639,Switzerland,54,253
Barbora Havlickova,3216,Czechia,55,245
Mathilde Myhrvold,2298,Norway,56,240
Melissa Gal,4034,France,57,238
Alayna Sonnesyn,1872,USA,58,237
Karoline Simpson-Larsen,2300,Norway,59,231
Julie Pierrel,7444,France,60,226
Anne Kyllönen,45,Finland,61,219
Vilma Ryytty,6607,Finland,62,216
Nicole Monsorno,6631,Italy,63,201
Federica Cassol,9082,Italy,64,185
Amanda Saari,7905,Finland,65,184
Marina Kälin,7433,Switzerland,66,180
Juliette Ducordeau,3218,France,67,179
Sonjaa Schmidt,7874,Canada,68,178
Barbora Antosova,6633,Czechia,69,175
Kaidy Kaasiku,4943,Estonia,70,170
Keidy Kaasiku,4942,Estonia,71,165
Hedda Bakkemo,6437,Norway,72,164
Kate Oldham,6453,USA,72,164
Alison Mackie,10185,Canada,74,140
Elina Rönnlund,1674,Sweden,75,135
Johanne Hauge Harviken,2345,Norway,76,132
Eva Urevc,3192,Slovenia,76,132
Katharina Brudermann,5040,Austria,78,131
Olivia Bouffard-Nesbitt,1685,Canada,79,130
Anna-Maria Dietze,3214,Germany,80,127
Alina Meier,1680,Switzerland,81,125
Maria Gismondi,10867,Italy,82,122
Emma Kirkeberg Mørk,6796,Norway,83,119
Martina di Centa,9084,Italy,84,110
Moa Hansson,6653,Sweden,85,108
Delphine Claudel,1694,France,86,104
Giuliana Werro,3230,Switzerland,86,104
Ingrid Bergene Aabrekk,6828,Norway,88,103
Lea Fischer,2284,Switzerland,89,97
Lisa Lohmann,4813,Germany,90,96
Elin Henriksson,10866,Sweden,91,94
Vilma Nissinen,3034,Finland,92,92
Evelina Crusell,10880,Sweden,93,91
Sydney Palmer-Leger,6635,USA,93,91
Masae Tsuchiya,3498,Japan,95,88
Magdalena Scherz,6707,Austria,96,85
Leonie Perry,10413,France,97,82
Sofia Henriksson,505,Sweden,98,75
Tereza Beranova,3618,Czechia,99,74
Tiril Udnes Weng,1668,Norway,99,74
Rosie Fordham,6450,Australia,101,73
Katherine Weaver,4251,Canada,101,73
Maren Wangensteen,1767,Norway,103,71
Luci Anderson,4706,USA,104,67
Hilla Niemela,6296,Finland,104,67
Izabela Marcisz,6327,Poland,106,66
Kendall Kramer,6650,USA,107,61
Verena Veit,9317,Germany,108,60
Lena Keck,4825,Germany,109,59
Cloe Pagnier,10319,France,110,58
Mali Eidnes Bakken,10343,Norway,111,56
Samantha Smith,10228,USA,112,55
Lauren Jortberg,3997,USA,113,53
Lisa Eriksson,9318,Sweden,114,50
Mariel Merlii Pulles,1969,Estonia,114,50
Ella Olsson,7891,Sweden,116,45
Nadine Laurent,9319,Italy,117,43
Eva Ingebrigtsen,10145,Norway,118,42
Erin Bianco,10281,USA,119,41
Tiia Olkkonen,3044,Finland,120,39
Desiree Steiner,3220,Switzerland,120,39
Francesca Franchi,4009,Italy,122,38
Eveliina Piippo,3042,Finland,123,35
Martina Bellini,3257,Italy,124,34
Chika Kobayashi,3524,Japan,125,33
Berit Mogstad,1738,Norway,126,32
Cristina Pittin,3605,Italy,126,32
Leonie Besson,10863,France,128,30
Justine Gaillard,11576,France,128,30
Haley Brewster,7969,USA,130,26
Liv Coupat,9321,France,130,26
Amalie Håkonsen Ous,1667,Norway,130,26
Nora Kytäjä,6993,Finland,133,24
Clemence Didierlaurent,10690,France,134,23
Lisa Ingesson,9341,Sweden,135,21
Maria Hartz Melling,6790,Norway,136,18
Phoebe Cridland,5184,Australia,137,17
Kim Hager,4840,Germany,137,17
Kamila Makhmutova,6339,Kazakhstan,137,17
Ebba Stenman,5115,Sweden,137,17
Tuva Bygrave,6448,Australia,141,16
Marte Skaanes,1823,Norway,141,16
Andzelika Szyszka,8097,Poland,141,16
