FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
RUCKA-MICHALEK Eliza,Eliza RUCKA-MICHALEK,,POL,True,False,False,220,,,,,,,,,,2,False,2,1.0,,,,,
DI CENTA Martina,Martina di Centa,9084.0,Italy,True,False,False,219,1305.1849778810636,1299.4021918875153,1265.8527233726518,1270.9894349076412,1219.2777193794902,1249.6991248782165,1211.4090342738964,1268.0870017537238,1269.487076696896,6,True,11,1.0,,,,,
DUCORDEAU Juliette,Juliette Ducordeau,3218.0,France,True,False,False,219,1301.2964000997176,1302.308802088511,1288.537100955955,1295.6965165138622,1248.5668538170453,1280.0426026387263,1242.8215135251,1289.4831852425975,1294.2195172738384,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
FRANCHI Francesca,Francesca Franchi,4009.0,Italy,True,False,False,219,1294.1806019906344,1307.8212567746357,1260.807224912668,1323.1421658746094,1245.6865872902656,1254.7173490058576,1251.6317791336648,1257.893133462848,1308.6874380060694,6,True,11,1.0,,,,,
MONSORNO Nicole,Nicole Monsorno,6631.0,Italy,True,False,False,216,1358.3407046069672,1186.17601315583,1251.941675552957,1214.2410075904004,1464.4463257464597,1428.2653355268092,1421.1055761289824,1414.1753466642422,1327.20876669963,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
PRYCE Anna,Anna Pryce,6640.0,Great Britain,True,False,False,216,1243.1997664751118,1214.760026942978,1245.2228212819164,1252.1834750199218,1314.6733404812169,1257.0782071246706,1345.1603099451504,1242.2026264666074,1272.0111087087844,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
SKINDER Monika,Monika Skinder,6335.0,Poland,True,False,False,216,1240.721473050728,1183.429745058706,1294.258839155587,1187.6401638221507,1371.8682525997676,1339.055706850462,1311.964428642007,1341.9763654870956,1189.6844935125926,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
KAASIKU Kaidy,Kaidy Kaasiku,4943.0,Estonia,True,False,False,215,1217.5161948507302,1322.5246631817192,1312.2476500643802,1280.838875219798,1198.4109421625265,1186.552897976269,1280.6716090178925,1173.3287165106372,1298.4165534015535,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
COMARELLA Anna,Anna Comarella,1724.0,Italy,True,False,False,214,1353.7199768068706,1349.307161969959,1379.775740291216,1301.506703381269,1203.3984707225318,1229.358270570637,1203.6434631305335,1372.8704209263058,1319.651811204739,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
MACKIE Alison,Alison Mackie,10185.0,Canada,True,False,False,214,1280.0007293939746,1275.8245829362618,1297.540019554468,1268.9931687714457,1297.917300637481,1293.2785361586114,1298.5095489985576,1294.9336283194257,1273.3421270993736,5,False,5,1.0,,,,,
BOUFFARD-NESBITT Olivia,Olivia Bouffard-Nesbitt,1685.0,Canada,True,False,False,213,1233.0298517038889,1201.2165047332508,1227.94338572854,1227.7590630733232,1287.6790421173396,1286.9784026566904,1268.9563961626102,1260.651648243186,1218.245039317061,5,False,5,1.0,,,,,
LAURENT Nadine,Nadine Laurent,9319.0,Italy,True,False,False,213,1187.8549708908783,1179.3617783481154,1239.9496087769749,1234.992550958348,1285.0529604424096,1269.6852026351498,1328.888945531921,1227.1025311771373,1225.4039103447074,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
ANDERSON Lucinda,Luci Anderson,4706.0,USA,True,False,False,212,1372.35676363345,1375.3121663839604,1245.2228212819164,1346.4478161926097,1318.2093310076625,1239.0261308575673,1324.5059567198598,1233.698673495549,1377.617964023786,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
GAL Melissa,Melissa Gal,4034.0,France,True,False,False,212,1295.2993891399144,1229.1759404208815,1254.940140165653,1246.7464464092518,1401.6417819373316,1296.0191301311563,1409.146582962995,1272.1464685445064,1291.2175042776892,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KOLODZIEJ Aleksandra,Aleksandra Kolodziej,8064.0,Poland,True,False,False,212,1148.3622394417137,1197.981530165207,1249.918800641817,1250.2452882048842,1204.415676157784,1211.080202932888,1240.6467109771702,1165.9204996117942,1183.3152986316366,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
BRUDERMANN Katharina,Katharina Brudermann,5040.0,Austria,True,False,False,211,1301.0474208036524,1305.45631986229,1226.3412261266908,1323.1036695996877,1269.6512511043652,1273.401766712921,1282.5081353142489,1220.6924903667395,1343.3884350780918,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
WILLIAMS Tabitha,Tabitha Williams,7360.0,Great Britain,True,False,False,0,1195.743909612425,1194.250844442402,1245.2228212819164,1234.4367751282318,1241.1176710362263,1239.0261308575673,1240.3067141883955,1233.698673495549,1217.9719719597904,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
KARALIOVA Hanna,Hanna Karaliova,3225.0,Belarus,True,False,False,0,1181.6611744477923,1214.0279190158956,1245.3975963968994,1252.6881020300102,1241.0211131510437,1239.0261308575673,1226.2698259340234,1253.6777533662175,1194.242188625163,2,False,2,1.0,,,,,
MACHAKHINA Hanna,Hanna Machakhina,7439.0,Belarus,True,False,False,0,1177.790334619143,1172.7128734830526,1245.2228212819164,1213.5786215382177,1241.1176710362263,1239.0261308575673,1240.3067141883955,1233.698673495549,1172.7723125087816,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
