Russian_ID,FIS_ID
105359,10848
109411,13188
106609,9568
105275,8125
103519,5207
106679,13282
108655,17480
109169,17055
106173,12451
109848,18861
101834,820
105382,10480
107707,10554
103139,9666
103937,17379
100877,17711
109407,17260
103740,9561
102576,1472
104318,9610
109720,18922
103471,8055
102321,259
100478,11072
100112,17689
103469,9612
101042,17393
109742,17062
109073,17283
111348,17729
104287,9586
104871,9636
109706,17691
109026,17398
108451,17720
109100,17710
109763,18867
104763,9620
106975,12226
108137,17254
110590,17318
110387,17693
107182,8122
103997,9566
101511,11947
103440,9639
101198,5784
110383,17297
110274,17312
112497,17437
113115,11619
114632,6419
113550,17678
114096,11104
115078,12201
115011,1724
111258,17309
103276,9661
110999,12594
114294,10361
113843,11547
113095,17731
112888,11055
110457,2080
110425,17291
115161,10743
113781,2825
113673,17680
113140,17665
112257,12493
110053,17716
114376,10376
115221,2831
114574,17071
113362,11814
114970,10421
115076,11151
114505,17392
113701,17670
113634,12526
112844,17699
110561,9026
112431,11813
113206,10906
114159,11102
112554,17385
112446,17684
114344,11163
113035,13262
113905,11937
114708,11815
113315,10923
114439,9599
114320,12609
113319,18896
112945,13251
112869,4614
112154,12221
111406,11632
111657,-111657
113349,-113349
111642,-111642
112890,-112890
112807,-112807
113200,-113200
113730,-113730
112853,-112853
112411,-112411
112889,-112889
113113,-113113
112418,-112418
112650,-112650
112958,-112958
113970,-113970
113416,-113416
113138,-113138
113158,-113158
113930,-113930
113760,-113760
113167,-113167
112219,-112219
113618,-113618
113198,-113198
111643,-111643
112651,-112651
113629,-113629
112476,-112476
113197,-113197
113148,-113148
113111,-113111
113941,-113941
114016,-114016
113658,-113658
112458,-112458
112416,-112416
114036,-114036
112447,-112447
113185,-113185
114035,-114035
112835,-112835
113994,-113994
113873,-113873
112932,-112932
113432,-113432
112908,-112908
113452,-113452
113183,-113183
113149,-113149
113872,-113872
113864,-113864
114324,-114324
113871,-113871
113182,-113182
113008,-113008
113057,-113057
113061,-113061
114064,-114064
113928,-113928
113015,-113015
114695,-114695
113142,-113142
114723,-114723
114087,-114087
112711,-112711
113964,-113964
112821,-112821
113965,-113965
114725,-114725
114694,-114694
113982,-113982
114198,-114198
113942,-113942
113687,-113687
113996,-113996
113863,-113863
114221,-114221
114203,-114203
114052,-114052
113683,-113683
114631,-114631
113940,-113940
113682,-113682
114726,-114726
114089,-114089
114542,-114542
114031,-114031
113939,-113939
113659,-113659
114650,-114650
113935,-113935
114728,-114728
113995,-113995
114074,-114074
113836,-113836
114060,-114060
114630,-114630
113489,-113489
113906,-113906
114408,-114408
114651,-114651
114696,-114696
114066,-114066
113943,-113943
113666,-113666
113912,-113912
114731,-114731
113968,-113968
114648,-114648
114644,-114644
114692,-114692
114063,-114063
114730,-114730
113908,-113908
114502,-114502
113971,-113971
113951,-113951
114647,-114647
114724,-114724
113921,-113921
113979,-113979
114636,-114636
114734,-114734
113345,-113345
113980,-113980
114693,-114693
114642,-114642
113953,-113953
113202,-113202
114641,-114641
113926,-113926
114614,-114614
114697,-114697
114677,-114677
114732,-114732
114613,-114613
114646,-114646
114503,-114503
114729,-114729
114462,-114462
113981,-113981
114640,-114640
114721,-114721
114637,-114637
114658,-114658
114733,-114733
114638,-114638
112515,-112515
114310,-114310
114451,-114451
113841,-113841
114190,-114190
113322,-113322
113698,-113698
114789,-114789
114455,-114455
113639,-113639
114579,-114579
113809,-113809
113782,-113782
114359,-114359
114361,-114361
114006,-114006
113880,-113880
115168,-115168
114482,-114482
113786,-113786
114142,-114142
115210,-115210
114557,-114557
114291,-114291
113767,-113767
114260,-114260
114155,-114155
115187,-115187
114012,-114012
115211,-115211
114662,-114662
115232,-115232
113527,-113527
114093,-114093
113878,-113878
114367,-114367
114489,-114489
114483,-114483
113879,-113879
114145,-114145
114745,-114745
114362,-114362
114226,-114226
115159,-115159
114067,-114067
113791,-113791
114296,-114296
114147,-114147
114458,-114458
115144,-115144
115223,-115223
113729,-113729
115125,-115125
114327,-114327
115213,-115213
113771,-113771
114317,-114317
114554,-114554
114543,-114543
114453,-114453
114150,-114150
113724,-113724
115224,-115224
114237,-114237
114353,-114353
114532,-114532
114445,-114445
113779,-113779
114830,-114830
113988,-113988
113889,-113889
113787,-113787
114160,-114160
114492,-114492
114992,-114992
113881,-113881
113900,-113900
114346,-114346
114797,-114797
113490,-113490
114438,-114438
