FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
Karen Amalie Nordseth,Karen Amalie Nordseth,4307,Norway,False,True,False,0,1164.8205711031903,1171.9219458928585,1221.1321366122986,1236.1810861910708,1252.9161148283654,1260.9308014452558,1279.8249452143473,1210.1095846980488,1219.462868763624,6,False,6,,0.0
Marthe Johanne Hjelmeset,Marthe Johanne Hjelmeset,10949,Norway,False,True,False,0,1164.8133559849807,1168.5870548208036,1227.9113588207524,1236.1357624303946,1253.4161168046248,1279.4260296832651,1270.2206109435356,1209.2677024017703,1221.5127805455224,6,False,6,,0.0
Yuka Yamazaki,Yuka Yamazaki,7095,Japan,False,False,False,0,1164.77521985041,1184.270114638947,1232.9484884340677,1246.0188669222969,1248.2825880748885,1265.2337129952832,1284.241908171401,1206.7990777594196,1237.3586071706347,3,False,3,0.0,0.0
Olesya Lyashenko,Olesya Lyashenko,8699,Russia,False,False,False,0,1162.253834772778,1220.6572516887966,1246.7432640507334,1268.872281718494,1198.252310833353,1245.9336327228475,1223.744791996075,1207.3018858695118,1218.4651618597538,2,False,2,0.0,0.0
Mathea Eriksson,Mathea Eriksson,11126,Sweden,False,True,False,0,1162.1393113771164,1197.6889083952294,1245.016334001005,1256.498235236735,1251.4221554763944,1255.3426233512666,1290.723503244773,1210.0203384805852,1237.5225476256996,6,False,6,,0.0
Marja-Terttu Repo,Marja-Terttu Repo,1890,Finland,False,True,False,0,1161.8628717334104,1190.9822130221542,1220.4718207414562,1232.0849454041872,1206.3917898296509,1265.7816355789948,1214.830288862228,1202.1096455782388,1160.298753163864,6,False,6,,0.0
Ida Ramstad,Ida Ramstad,6413,Norway,False,True,False,0,1161.0412546314076,1102.656814681177,1186.9583142057954,1167.2111717782243,1239.3362802985948,1237.8284212166272,1276.7188866769611,1171.4463134643495,1191.245581719258,6,False,6,,0.0
Siri Lindbergsengen Nesheim,Siri Lindbergsengen Nesheim,10966,Norway,False,True,False,0,1160.2205363605058,1184.1225838319367,1229.752036750521,1255.3114759786336,1238.27804760983,1248.3811941446393,1276.7187533873855,1195.531539270181,1239.233043865027,6,False,6,,0.0
Pipar Maja Gruvris,Pipar Maja Gruvris,12277,Sweden,False,True,False,0,1159.8506377263095,1185.9581133789102,1248.4296440228195,1244.5495785513626,1269.6885116789797,1271.7413332649762,1274.1692803829565,1221.3115994287318,1225.3288017272353,6,False,6,,0.0
Nefeli Tita,Nefeli Tita,5219,Greece,False,False,False,0,1159.1984181347054,1177.3427426249168,1242.2070030091943,1224.614169378809,1220.3751783942969,1257.064408396669,1233.3926499572517,1213.0095216537104,1190.2969202653287,2,False,2,0.0,0.0
Anastassiya Rotova,Anastassiya Rotova,6924,Kazakhstan,False,False,False,0,1158.9734164506756,1190.3518940709046,1249.2045676646446,1250.795370892706,1253.2629597597063,1273.6848052747705,1271.430133288028,1224.4802974988809,1220.6584651771684,4,False,4,0.0,0.0
Synnøve Austerå,Synnøve Austerå,6804,Norway,False,True,False,0,1158.539241671178,1134.8969118807609,1202.4651355524388,1200.2159304592644,1265.3017844152112,1288.2167289167362,1269.9389501520163,1204.536089789652,1198.591597277232,6,False,6,,0.0
Ida Nilsson,Ida Nilsson,10627,Sweden,False,True,False,0,1157.6403031494062,1180.2262283480566,1244.629574460887,1239.7074023462735,1260.6775028963425,1272.9163794538265,1279.1100846500362,1226.1065466377,1213.3869596045472,6,False,6,,0.0
Tereza Hujerova,Tereza Hujerova,4860,Czechia,False,False,False,0,1157.5186295974231,1155.583067949739,1191.4050269558363,1252.5514942138611,1246.9780850840084,1287.8369940674777,1232.9681323724055,1199.3082150457951,1198.37322499302,5,False,5,0.0,0.0
Wilma Nilsson,Wilma Nilsson,11109,Sweden,False,True,False,0,1157.2314410474442,1172.2219043140813,1232.2949656382875,1236.9484188514612,1258.3193512894304,1272.5405465838685,1271.7790553814932,1214.969653822606,1214.7331615940047,6,False,6,,0.0
Lina Lantto,Lina Lantto,11124,Sweden,False,True,False,0,1156.8253024723842,1186.869873049812,1241.6248493288024,1243.2008061231836,1249.7061276091565,1272.6840669666726,1266.414400876702,1219.167556421628,1216.2627261352834,6,False,6,,0.0
Isabelle Johnselius,Isabelle Johnselius,11130,Sweden,False,True,False,0,1156.6791508654967,1189.1488753978297,1240.0980877127904,1252.0201768353186,1254.5467240826465,1253.0011599366323,1274.1692803829565,1202.4610201869189,1239.7963925191211,6,False,6,,0.0
Helene Hafredal Haugan,Helene Hafredal Haugan,10478,Norway,False,True,False,0,1155.062016037885,1153.932551106897,1206.6943661535272,1238.076674033979,1293.337573727937,1290.799129200163,1274.1692803829565,1197.1458598837,1233.3336038609727,6,False,6,,0.0
Ragnhild Aarekol,Ragnhild Aarekol,6833,Norway,False,True,False,0,1154.7568934363417,1109.3684330945543,1181.8940818885994,1184.936317451962,1235.7064948983866,1243.9203095318082,1245.209377266607,1185.2949261402853,1169.5873164762663,6,False,6,,0.0
