Date,Startlist,Sex,City,Country,Distance,Technique,MS,Period,Pursuit,Stage,Elevation
1/19/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46801,L,Morez,France,20,C,1,3,0,0,1127
1/19/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46802,M,Morez,France,20,C,1,3,0,0,1127
11/29/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46734,M,Ruka,Finland,10,C,0,1,0,0,337
11/29/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46733,L,Ruka,Finland,10,C,0,1,0,0,337
11/30/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46736,M,Ruka,Finland,Sprint,C,0,1,0,0,337
11/30/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46735,L,Ruka,Finland,Sprint,C,0,1,0,0,337
12/06/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46742,M,Lillehammer,Norway,10,F,0,1,0,0,487
12/06/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46741,L,Lillehammer,Norway,10,F,0,1,0,0,487
12/1/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46740,M,Ruka,Finland,20,F,1,1,0,0,337
12/1/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46739,L,Ruka,Finland,20,F,1,1,0,0,337
12/13/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46758,M,Davos,Switzerland,Ts,F,0,1,0,0,1538
12/13/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46757,L,Davos,Switzerland,Ts,F,0,1,0,0,1538
12/14/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46762,M,Davos,Switzerland,Sprint,F,0,1,0,0,1538
12/14/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46761,L,Davos,Switzerland,Sprint,F,0,1,0,0,1538
12/15/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46766,M,Davos,Switzerland,20,C,0,1,0,0,1538
12/15/24,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46765,L,Davos,Switzerland,20,C,0,1,0,0,1538
