Skier,Nation,Price,ID,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob
Ingrid Bergene Aabrekk,Norway,0.0,6828,1353.814251775107,1205.1444269648623,1227.2634270286535,1259.9034269732754,1477.9931914699198,1376.9643369013193,1506.2247716831191,1302.7416026720075,1381.3831755729389,0.0,0.0,0.0,0.0
Milla Grosberghaugen Andreassen,Norway,0.0,10424,1374.5585046481388,1292.116601912667,1359.0513450602937,1291.2120939138736,1395.8382965655126,1357.715961320327,1379.644847628926,1351.2312553953886,1349.6499226332994,0.0,0.0,0.0,0.0
Julie Bjervig Drivenes,Norway,0.0,3357,1618.7156364925734,1580.7413822894096,1440.2572376887426,1454.009670552741,1387.3675647085845,1338.5969656227282,1393.6473360442965,1460.1213913180138,1515.8191061112864,0.0,0.0,0.0,0.0
Kristin Austgulen Fosnæs,Norway,0.0,4268,1623.2406295766136,1619.5327252332993,1476.3870869318594,1538.9729287349476,1389.230813733603,1308.1932852249329,1421.6151088758902,1481.042864409408,1582.7334895904933,0.0,0.0,0.0,0.0
Karoline Simpson-Larsen,Norway,0.0,2300,1558.4514651319805,1642.832603971622,1427.0429978277853,1543.6244254306175,1220.345236057645,1268.5239729219982,1197.0028430146513,1385.253356278046,1507.1790991094497,0.0,0.0,0.0,0.0
Kristine Stavås Skistad,Norway,0.0,3207,1450.1618800287365,1175.7170599795777,1218.3576516079156,1230.528184787434,1698.3935557657508,1586.7943245101308,1664.6428263535636,1420.1224886004277,1493.1329655222444,0.0,0.0,0.0,0.0
Astrid Øyre Slind,Norway,0.0,115,1735.8795322053777,1765.3952839627846,1596.4076534018654,1612.9885201215016,1370.0643628547928,1326.3660044387236,1386.324066662548,1604.194792793755,1631.0448224075196,0.0,0.0,0.0,0.0
Heidi Weng,Norway,0.0,60,1721.8372285265382,1795.502705372474,1647.4007662022066,1649.4615524671894,1374.608127318221,1410.0006059401894,1325.8803519202918,1638.5129358787246,1597.4226189323629,0.0,0.0,0.0,0.0
Aleksandra Kolodziej,Poland,0.0,8064,1107.8286820569708,1118.3274042867151,1201.2955497528103,1195.419311943244,1204.2343085053624,1229.68134823887,1229.181407848065,1172.1748065582012,1153.419787680558,0.0,0.0,0.0,0.0
Izabela Marcisz,Poland,0.0,6327,1310.500772158288,1269.9599136745635,1256.4472124946085,1292.250205864902,1330.6285526823071,1306.829262692802,1305.698136787949,1283.969584392681,1319.6114802765,0.0,0.0,0.0,0.0
Eliza Rucka-Michalek,Poland,0.0,6328,1386.732535587021,1413.0893167690326,1312.5318081711384,1395.7546402890212,1239.0348984108964,1275.5312721920711,1220.1641333372318,1296.7457622513714,1394.9869678986506,0.0,0.0,0.0,0.0
Monika Skinder,Poland,0.0,6335,1355.543441375437,1252.7593166464071,1258.9247176942365,1219.1187311229155,1380.6042423338724,1334.4895925338403,1348.0700859988383,1320.957542133715,1290.314538260583,0.0,0.0,0.0,0.0
Delia Ioana Reit,Romania,0.0,9362,1261.6384497123686,1162.453358141416,1242.6408963748422,1226.0683708461818,1264.2723599757014,1254.6669045099477,1257.8351596528084,1199.702861121587,1260.313447692012,0.0,0.0,0.0,0.0
Dariya Nepryaeva,Russia,0.0,6555,1513.3566736641233,1513.397034502142,1370.3785809897024,1430.267903454421,1321.140332908553,1282.5385714621443,1371.9064470370613,1350.468786451032,1495.7873445008158,0.0,0.0,0.0,0.0
Anja Ilic,Serbia,0.0,1873,1151.895376982924,1206.0389239467395,1286.4660560303175,1205.376167344344,1184.9205254728934,1216.2781000087236,1172.7765230434363,1223.6031868922776,1149.029613642142,0.0,0.0,0.0,0.0
Maria Danielova,Slovakia,0.0,6491,1296.984984365834,1160.2194206365675,1235.2553920091025,1235.8477360830643,1300.0516933090348,1276.727732059671,1300.9876849053337,1219.759806109393,1298.1744221014608,0.0,0.0,0.0,0.0
Tia Janezic,Slovenia,0.0,10321,1220.3281574155656,1234.3733795984383,1273.6789280188698,1267.8876550892876,1269.872940141137,1280.256358394303,1274.70681470885,1256.9646155426403,1244.55898686302,0.0,0.0,0.0,0.0
Anja Mandeljc,Slovenia,0.0,1868,1277.8147911217131,1293.1450771333389,1278.4800893435097,1285.429163102332,1185.3970965269366,1214.4609877592775,1192.7755685107468,1262.543476656107,1255.2409573433986,0.0,0.0,0.0,0.0
Lucija Medja,Slovenia,0.0,9083,1280.831979792223,1278.61793604821,1234.197746257935,1250.2771279241324,1241.3562728593963,1271.609386116736,1256.9942398749267,1213.762272737618,1213.2289449997825,0.0,0.0,0.0,0.0
Neza Zerjav,Slovenia,0.0,4035,1211.6842047364946,1204.941328156465,1265.277828890936,1243.867820960443,1192.2840235192932,1259.7072648173298,1198.5890118088705,1266.091565986289,1243.4931952455513,0.0,0.0,0.0,0.0
Da-Som Han,South Korea,0.0,1519,1061.6602586488157,1096.22734419827,1204.9028214076477,1145.7414070173418,1167.5708022736328,1182.3714458853285,1208.7020894588527,1149.6780438741057,1100.3674310216388,0.0,0.0,0.0,0.0
