Date,Race_Date,Startlist,Sex,City,Country,Distance,Technique,MS,Period,Pursuit,Stage,Final_Climb,Elevation,Race,Championship
12/12/2025,12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49480,L,Davos,Switzerland,Ts,F,0,1,0,0,0,1538,1,0
12/12/2025,12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49481,M,Davos,Switzerland,Ts,F,0,1,0,0,0,1538,1,0
12/13/2025,12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49484,L,Davos,Switzerland,Sprint,F,0,1,0,0,0,1538,2,0
12/13/2025,12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49485,M,Davos,Switzerland,Sprint,F,0,1,0,0,0,1538,2,0
12/13/2025,12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49489,M,Davos,Switzerland,10,F,0,1,0,0,0,1538,3,0
12/13/2025,12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49488,L,Davos,Switzerland,10,F,0,1,0,0,0,1538,3,0
01/17/2026,01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49490,L,Oberhof,Germany,Sprint,F,0,3,0,0,0,823,4,0
01/17/2026,01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49491,M,Oberhof,Germany,Sprint,F,0,3,0,0,0,823,4,0
01/17/2026,01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49495,M,Oberhof,Germany,10,C,0,3,0,0,0,823,5,0
01/17/2026,01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49494,L,Oberhof,Germany,10,C,0,3,0,0,0,823,5,0
02/07/2026,02/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49722,L,Milano Cortina,Italy,20,P,1,4,0,0,0,903,6,1
02/07/2026,02/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49723,M,Milano Cortina,Italy,20,P,1,4,0,0,0,903,6,1
02/10/2026,02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49724,L,Milano Cortina,Italy,Sprint,C,0,4,0,0,0,903,7,1
02/10/2026,02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49725,M,Milano Cortina,Italy,Sprint,C,0,4,0,0,0,903,7,1
02/12/2026,02/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49728,L,Milano Cortina,Italy,10,F,0,4,0,0,0,903,8,1
02/12/2026,02/13/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49729,M,Milano Cortina,Italy,10,F,0,4,0,0,0,903,8,1
02/14/2026,02/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49730,L,Milano Cortina,Italy,Rel,,0,4,0,0,0,903,9,1
02/14/2026,02/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49731,M,Milano Cortina,Italy,Rel,,0,4,0,0,0,903,9,1
02/18/2026,02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49732,L,Milano Cortina,Italy,Ts,F,0,4,0,0,0,903,10,1
02/18/2026,02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49733,M,Milano Cortina,Italy,Ts,F,0,4,0,0,0,903,10,1
02/21/2026,02/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49736,M,Milano Cortina,Italy,50,C,1,4,0,0,0,903,11,1
02/21/2026,02/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49737,L,Milano Cortina,Italy,50,C,1,4,0,0,0,903,11,1
03/12/2026,03/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49519,M,Drammen,Norway,Sprint,C,0,5,0,0,0,11,12,0
03/12/2026,03/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49518,L,Drammen,Norway,Sprint,C,0,5,0,0,0,11,12,0
03/14/2026,03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49522,M,Oslo,Norway,50,F,1,5,0,0,0,335,13,0
03/14/2026,03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49523,L,Oslo,Norway,50,F,1,5,0,0,0,335,13,0
03/20/2026,03/20/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49524,L,Lake Placid,USA,10,C,0,5,0,0,0,618,14,0
03/20/2026,03/20/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49525,M,Lake Placid,USA,10,C,0,5,0,0,0,618,14,0
03/20/2026,03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49527,M,Lake Placid,USA,Sprint,F,0,5,0,0,0,618,15,0
03/20/2026,03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49526,L,Lake Placid,USA,Sprint,F,0,5,0,0,0,618,15,0
03/20/2026,03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49531,M,Lake Placid,USA,20,F,1,5,0,0,0,618,16,0
03/20/2026,03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49530,L,Lake Placid,USA,20,F,1,5,0,0,0,618,16,0
