Date,Race_Date,Startlist,Sex,City,Country,Distance,Period,Championship,Race
11/27/2025,11/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127440,M,"Copper Mountain, CO",USA,Super G,1,0,1
11/27/2025,11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127441,M,"Copper Mountain, CO",USA,Giant Slalom,1,0,2
11/27/2025,11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127442,L,"Copper Mountain, CO",USA,Giant Slalom,1,0,1
11/27/2025,11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127443,L,"Copper Mountain, CO",USA,Slalom,1,0,2
12/06/2025,12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127343,L,Tremblant,Canada,Giant Slalom,1,0,3
12/06/2025,12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127344,L,Tremblant,Canada,Giant Slalom,1,0,4
12/12/2025,12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127347,L,St. Moritz,Switzerland,Downhill,1,0,5
12/12/2025,12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127348,L,St. Moritz,Switzerland,Downhill,1,0,6
12/12/2025,12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127349,L,St. Moritz,Switzerland,Super G,2,0,7
12/13/2025,12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127350,M,Val d'Isere,France,Giant Slalom,1,0,3
12/13/2025,12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127351,M,Val d'Isere,France,Slalom,2,0,4
12/16/2025,12/16/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127352,L,Courchevel,France,Slalom,2,0,8
12/27/2025,12/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127364,M,Livigno,Italy,Super G,2,0,5
12/27/2025,12/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127365,L,Semmering,Austria,Giant Slalom,2,0,9
12/27/2025,12/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127366,L,Semmering,Austria,Slalom,2,0,10
01/03/2026,01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127367,L,Kranjska Gora,Slovenia,Giant Slalom,2,0,11
01/03/2026,01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127368,L,Kranjska Gora,Slovenia,Slalom,2,0,12
01/07/2026,01/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127369,M,Madonna di Campiglio,Italy,Slalom,2,0,6
01/10/2026,01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127372,L,Zauchensee,Austria,Downhill,3,0,13
01/10/2026,01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127374,M,Adelboden,Switzerland,Giant Slalom,3,0,7
01/10/2026,01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127375,M,Adelboden,Switzerland,Slalom,3,0,8
03/06/2026,03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127400,L,Val di Fassa,Italy,Downhill,3,0,14
03/06/2026,03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127417,L,Val di Fassa,Italy,Downhill,3,0,15
03/06/2026,03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127418,L,Val di Fassa,Italy,Super G,3,0,16
03/14/2026,03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127426,L,Are,Sweden,Giant Slalom,3,0,17
03/14/2026,03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127427,L,Are,Sweden,Slalom,3,0,18
