"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"ROGENTIN Stefan","Stefan Rogentin",3505,"SUI",NA,12,"False","True",1994,NA,NA,NA,NA,"Downhill",1534.10914572383,1463.04686740926,1527.22967643476,1278.03866267755,1280.41773062903,1297.88676987577,1280.26590798955,1538.61948827717,1463.04686740926,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.975,0.02,0,"M"
"MUZATON Maxence","Maxence Muzaton",1990,"FRA",NA,4,"False","True",1990,NA,NA,NA,NA,"Downhill",1413.3209813993,1450.76406681461,1225.56033258238,1284.91807129865,1298.6380273364,1202.98528813402,1282.55119049658,1420.81620230602,1450.76406681461,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.15,0,0,"M"
"SEJERSTED Adrian Smiseth","Adrian Smiseth Sejersted",2386,"NOR",NA,20,"False","True",1994,NA,NA,NA,NA,"Downhill",1487.95203417386,1438.82009165903,1459.09222492908,1262.85031128373,1300,1295.44172113123,1261.20889435277,1490.4165669517,1438.82009165903,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.7,0,0,"M"
"Fredrik Møller","Fredrik Møller",5758,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1375.2225804925,1279.27732170546,1432.03324705181,1243.52049471744,1267.66052631572,1289.22828769153,1247.6041123217,1400.65408011964,1432.03324705181,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.652173913043478,0.413793103448276,0,"M"
"Stefan Babinsky","Stefan Babinsky",3039,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1407.6119615547,1355.43270022488,1427.40911380427,1287.26854559706,1277.54675735995,1239.41211305946,1287.77009963056,1404.04544762342,1427.40911380427,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.925,0.02,0,"M"
"Alexis Pinturault","Alexis Pinturault",232,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1490.28021534233,1318.7385703576,1424.87990722135,1509.63265928333,1455.65792431927,1466.96234742924,1507.12912044339,1423.32628321518,1424.87990722135,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.45,0.72,0.350877192982456,"M"
"James Crawford","James Crawford",2720,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1409.75029059861,1397.34325258221,1402.94880785659,1303.08734139736,1291.38827348305,1377.2867468009,1306.18411254919,1406.02018098256,1402.94880785659,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.825,0.12,0,"M"
"Lukas Feurstein","Lukas Feurstein",5336,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1366.66351350607,1264.66717850912,1387.83676430582,1317.2365052265,1261.64405044595,1297.91382625938,1321.47896924601,1379.65757576996,1387.83676430582,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.525,0.44,0,"M"
"Lenz Hächler","Lenz Hächler",6883,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1312.35259902245,1339.69918119027,1374.95200865012,1309.88330893717,1269.4044381872,1297.91382625938,1311.47829135584,1413.18291493072,1374.95200865012,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.5,0,"M"
"Guglielmo Bosca","Guglielmo Bosca",2413,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1387.19407271425,1330.13527458292,1367.97913527123,1249.39536170389,1291.94858882971,1255.4553759162,1247.83193689315,1382.83745782145,1367.97913527123,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.625,0,0,"M"
"Loic Meillard","Loic Meillard",2565,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1662.36239588182,1287.15088185567,1367.30833361193,1657.00324919261,1605.95131704268,1392.27113856999,1692.00692865881,1388.89830370152,1367.30833361193,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.65,0.92,0.912280701754386,"M"
"Simon Jocher","Simon Jocher",4305,"Germany",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1346.95583787485,1302.5059018854,1366.87223366096,1281.92805442361,1287.58083088909,1325.23483347895,1269.16327163167,1342.32423404423,1366.87223366096,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.475,0,0,"M"
"Stefan Eichberger","Stefan Eichberger",5604,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1438.85836709294,1410.0380456125,1362.86370373137,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1452.01749161819,1362.86370373137,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.4,0,0,"M"
"INNERHOFER Christof","Christof Innerhofer",13,"ITA",NA,18,"False","True",1984,NA,NA,NA,NA,"Downhill",1408.63970274516,1362.16369557982,1378.92643044518,1234.65181695425,1271.44469832515,1331.75875985247,1238.32889386195,1413.21810617036,1362.16369557982,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.825,0,0,"M"
"Jan Zabystran","Jan Zabystran",2719,"Czechia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1303.14107518231,1203.62524771392,1360.94358071156,1296.90561431655,1278.77521806852,1283.19050654136,1283.32573568081,1295.74493583763,1360.94358071156,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.575,0.02,0,"M"
"ALLIOD Benjamin Jacques","Benjamin Jacques Alliod",5631,"ITA",NA,5,"False","True",2000,NA,NA,NA,NA,"Downhill",1332.9143317971,1352.87053232256,1239.0449552144,1292.79051519495,1292.38110882449,1298.09537931418,1284.79105509903,1342.33300622786,1352.87053232256,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.391304347826087,0,0,"M"
"HAASER Raphael","Raphael Haaser",4221,"AUT",NA,22,"False","True",1997,NA,NA,NA,NA,"Downhill",1525.41409208374,1352.55778780792,1538.47153763082,1475.05507559756,1262.65265939332,1373.08297147151,1480.3492065345,1505.31381084141,1352.55778780792,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.8,0.8,0,"M"
"Atle Lie McGrath","Atle Lie McGrath",4711,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1588.21810897219,1271.18124356705,1347.44239571927,1559.34630886895,1525.41240773021,1345.88384787679,1583.2566581309,1354.26056493439,1347.44239571927,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.05,0.78,0.736842105263158,"M"
"SCHWARZ Marco","Marco Schwarz",2561,"AUT",NA,21,"False","True",1995,NA,NA,NA,NA,"Downhill",1512.24459741654,1346.31589205177,1414.41255491767,1578.61914375301,1439.22848910341,1454.3324783465,1541.17191565566,1431.73210020317,1346.31589205177,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.35,0.76,0.701754385964912,"M"
