"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"Jan Hecht","Jan Hecht",8629,"Germany",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1293.96836203819,1252.06881002526,1296.79220366266,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1296.58302809981,1296.79220366266,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Kieran Hildreth","Kieran Hildreth",8626,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1275.25657983552,1252.06881002526,1296.79220366266,1288.85903994611,1295.96275013311,1289.22828769153,1282.07400910148,1296.58302809981,1296.79220366266,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Charles Lemerond","Charles Lemerond",8627,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1295.02724281678,1252.06881002526,1296.79220366266,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1296.58302809981,1296.79220366266,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Benedict Lanoue","Benedict Lanoue",8073,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1276.1360374522,1252.06881002526,1296.79220366266,1290.24258870477,1294.87372408591,1289.22828769153,1285.16596015861,1296.58302809981,1296.79220366266,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Aaron Freemantle","Aaron Freemantle",8620,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1284.42816914611,1293.86001148558,1296.79220366266,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1288.29680858684,1296.79220366266,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Calder Bain","Calder Bain",6692,"New Zealand",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1222.9854042356,1252.06881002526,1296.70632227557,1254.39687707063,1272.52210428006,1297.91382625938,1229.23458911857,1296.59221136417,1296.70632227557,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Livio Hiltbrand","Livio Hiltbrand",7095,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1256.6678215509,1241.93705763935,1296.51497451441,1284.79197015537,1277.54675735995,1289.22828769153,1285.85644917266,1250.73271569845,1296.51497451441,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.0416666666666667,0,0,"M"
"Felix Hacker","Felix Hacker",5306,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1298.09961342663,1295.70856105672,1296.26424642255,1264.65357712101,1257.27920423324,1289.32992393329,1232.76109274364,1298.92499399683,1296.26424642255,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.0909090909090909,0,0,"M"
"Gauti Gudmundsson","Gauti Gudmundsson",5443,"Iceland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1272.74684289732,1300,1296.26193741398,1291.96933754028,1277.80256392601,1297.91382625938,1272.46762450058,1295.56342832347,1296.26193741398,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.0294117647058824,0.027027027027027,"M"
"Seigo Kato","Seigo Kato",2734,"Japan",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1221.05983689516,1252.06881002526,1296.07308201085,1229.31212206186,1236.74203160027,1300.69058072431,1218.85170331477,1295.23506427168,1296.07308201085,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.4,0.140350877192982,"M"
"Emir Lokmic","Emir Lokmic",2620,"Bosnia&Herzegovina",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1271.12075551308,1252.06881002526,1296.03167534968,1257.59588593451,1296.00899100572,1298.79929270427,1269.50180698432,1295.7988030695,1296.03167534968,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.02,0.0350877192982456,"M"
"Owen Lancaster","Owen Lancaster",8520,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1296.24448676953,1252.06881002526,1296.01038448186,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1295.66881566161,1296.01038448186,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Luca Aerni","Luca Aerni",2392,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1435.16341273928,1274.56819745968,1296.0024045269,1460.46177683321,1324.62092121473,1276.55807674297,1433.77370007853,1284.79089464819,1296.0024045269,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.36,0.736842105263158,"M"
"Matic Krasovec","Matic Krasovec",8415,"Slovenia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1279.53066611273,1285.78809463258,1295.70579270688,1300.9007148348,1277.54675735995,1289.22828769153,1299.77858420298,1277.99488926071,1295.70579270688,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Flavio Vitale","Flavio Vitale",7093,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1312.2781597538,1252.06881002526,1295.56575897668,1308.74379534274,1248.68465714582,1289.22828769153,1309.99190400301,1294.4553895478,1295.56575897668,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.448275862068966,0,"M"
"Gianluca Böhm","Gianluca Böhm",7097,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1252.04590489379,1252.06881002526,1295.54265146237,1272.87927215725,1280.76585205735,1296.13757690327,1254.79633772484,1295.12049361326,1295.54265146237,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Luka Buchheister","Luka Buchheister",8687,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1283.74920284047,1291.33385153461,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1285.57824517969,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"William Puloski","William Puloski",8132,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1281.64639780662,1252.06881002526,1295.53580100473,1290.84319232744,1299.58826315645,1289.22828769153,1288.75411259487,1295.11187843808,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Caiyu Demaggio","Caiyu Demaggio",8271,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1260.54388789956,1295.25061791011,1295.53580100473,1282.795680501,1296.14504304863,1289.22828769153,1274.68771621984,1289.61585610612,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Henry McBride","Henry McBride",8693,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1289.64365237052,1296.03769360915,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1291.01594796867,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Davide Otto Maraini","Davide Otto Maraini",8486,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1234.74606480379,1258.80399885985,1295.53580100473,1291.7101577566,1292.68188745653,1289.22828769153,1278.99643548898,1253.42503662434,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Koda Kiser","Koda Kiser",8690,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1283.74920284047,1291.33385153461,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1285.57824517969,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Henry Roberts","Henry Roberts",8691,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1283.74920284047,1291.33385153461,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1285.57824517969,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Tucker Reimund","Tucker Reimund",8689,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1283.74920284047,1291.33385153461,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1285.57824517969,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Oliver Svensrud","Oliver Svensrud",8688,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1287.34030195515,1295.25061791011,1295.53580100473,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1289.61585610612,1295.53580100473,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Loic Chable","Loic Chable",5611,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1240.96663725271,1295.27158260605,1295.46327105702,1250.83523027881,1266.48453094045,1298.76509485053,1226.06524592619,1293.53923392227,1295.46327105702,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Bronson Culver","Bronson Culver",8450,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1291.00649588819,1252.06881002526,1295.33681980652,1296.82327050906,1277.54675735995,1289.22828769153,1296.05661329019,1294.32739646828,1295.33681980652,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Leo Lødemel","Leo Lødemel",7530,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1275.22777024032,1299.27713733567,1295.2805320794,1283.52360006882,1277.54675735995,1289.22828769153,1278.7877361087,1293.86552412166,1295.2805320794,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ernesto Lopez","Ernesto Lopez",8179,"Chile",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1284.91483641858,1252.06881002526,1295.2805320794,1295.05375042781,1277.54675735995,1289.22828769153,1292.90954146409,1292.76436844224,1295.2805320794,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Javier Fernandez Garcia-Mochales","Javier Fernandez Garcia-Mochales",8509,"Spain",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1292.22005489469,1252.06881002526,1295.2805320794,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1292.76436844224,1295.2805320794,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Lucio Maggio","Lucio Maggio",8155,"Argentina",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1288.38631582398,1252.06881002526,1295.2805320794,1297.21235664884,1277.54675735995,1289.22828769153,1296.28371914713,1292.76436844224,1295.2805320794,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Cooper Iacobelli","Cooper Iacobelli",6802,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1206.83288059318,1252.06881002526,1295.25494031117,1247.92274296114,1268.48699006479,1295.43654683829,1215.67477135031,1295.4986131399,1295.25494031117,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Gray Flanagan","Gray Flanagan",6288,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1221.24688689624,1284.67652050441,1294.95325943409,1252.13384105796,1291.57842022588,1295.43654683829,1234.71134963681,1277.34045053876,1294.95325943409,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ryan Herhusky","Ryan Herhusky",6324,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1254.5976143925,1289.06186483729,1294.95078111352,1286.77377727833,1289.90060879217,1295.43654683829,1274.44079989147,1285.35587813678,1294.95078111352,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Balint Ury","Balint Ury",5548,"Hungary",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1311.92197784011,1252.06881002526,1294.63089942242,1312.32240871466,1299.29223994505,1289.22828769153,1311.70195923659,1293.9071235883,1294.63089942242,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.0606060606060606,0.0540540540540541,"M"
"Benjamin Levin","Benjamin Levin",8164,"Chile",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1258.5676481586,1266.76454338337,1294.56070818179,1298.35641667205,1277.54675735995,1289.22828769153,1297.80749898992,1259.64186555393,1294.56070818179,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Tomas Horwitz","Tomas Horwitz",8167,"Chile",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1265.27080432395,1291.86048691413,1294.56070818179,1289.65131875912,1297.11833706479,1289.22828769153,1283.35890258585,1282.50935656924,1294.56070818179,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jack Bowers","Jack Bowers",6306,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1200.08410954646,1252.06881002526,1294.52189542446,1245.75775890598,1257.85075591355,1295.43654683829,1208.95605113239,1294.7052824653,1294.52189542446,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Hemi Meikle","Hemi Meikle",6967,"New Zealand",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1225.06055207881,1252.06881002526,1294.36455841818,1259.20297354392,1277.12838618005,1300,1232.61097015442,1293.50096822143,1294.36455841818,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Armand Marchant","Armand Marchant",2603,"Belgium",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1460.62576475657,1279.62361309508,1294.29962132619,1308.37593027451,1462.05388139013,1304.60779713837,1459.29500953498,1268.09730676148,1294.29962132619,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.754385964912281,"M"
"Federico Toscano","Federico Toscano",6893,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1133.54636426447,1252.06881002526,1294.11494565622,1152.84767694169,1276.4861557866,1294.76509485053,1139.35300382667,1293.64338056186,1294.11494565622,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Matteo Bendotti","Matteo Bendotti",5565,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1228.67329821346,1252.06881002526,1294.03041811391,1205.06173200264,1243.14182766222,1289.22828769153,1229.49809740508,1293.9616802579,1294.03041811391,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jarand Husby Haugen","Jarand Husby Haugen",8615,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1246.25647047054,1286.90072364132,1293.92042270031,1290.73207856119,1272.05840050514,1289.22828769153,1264.80242111226,1278.89864432405,1293.92042270031,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Brodie Seger","Brodie Seger",2711,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1292.07489935383,1265.44394992734,1293.74710107855,1296.91883030826,1296.54555760622,1299.53914450404,1296.76067273772,1288.52154642682,1293.74710107855,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.625,0,0,"M"
"Gunnar Guilbert","Gunnar Guilbert",8040,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1268.23781125601,1252.06881002526,1293.33339355261,1289.74329363538,1290.04168271761,1289.22828769153,1276.55395595089,1291.89940215902,1293.33339355261,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Hugh McAdam","Hugh McAdam",5549,"Australia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1249.53669799126,1252.06881002526,1293.29472757217,1280.86267087361,1261.80936020792,1289.22828769153,1250.89433869788,1292.90528383447,1293.29472757217,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.0294117647058824,0.108108108108108,"M"
"Livio Simonet","Livio Simonet",5413,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1225.77085240061,1252.06881002526,1293.21827586425,1222.73630468091,1235.51212088771,1289.22828769153,1228.06395550241,1289.59288357944,1293.21827586425,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.560975609756098,0,"M"
"Harry Hoffman","Harry Hoffman",6792,"Australia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1254.07308837732,1252.06881002526,1292.82250822378,1272.3258194025,1294.04912064388,1299.69370741039,1261.36302835293,1292.72735980666,1292.82250822378,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Charles Welch","Charles Welch",6312,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1192.27631501392,1280.6532174086,1292.81956980519,1233.67557005852,1277.91421915018,1289.22828769153,1210.66654262807,1269.32715022928,1292.81956980519,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Simon Arsenault","Simon Arsenault",8443,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1277.69964046494,1287.54449216653,1292.81464831725,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1278.97125491042,1292.81464831725,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Eirik Ranheim Kveno","Eirik Ranheim Kveno",6823,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1255.28336710372,1252.06881002526,1292.70931383783,1280.76266664711,1284.96089293442,1289.22828769153,1264.07732393459,1291.57869344045,1292.70931383783,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ian Haupt","Ian Haupt",7579,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1255.10368412722,1252.06881002526,1292.39431290904,1277.43297708315,1291.2294692148,1289.22828769153,1265.99567680889,1291.22415623809,1292.39431290904,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Florian Standteiner","Florian Standteiner",8523,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1263.04225964578,1285.32307686901,1292.36523806306,1294.34251196312,1277.54675735995,1289.22828769153,1293.55687544719,1274.30405113899,1292.36523806306,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Aksel Atkins","Aksel Atkins",8621,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1279.11777962788,1292.98538143614,1292.36523806306,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1283.60679749096,1292.36523806306,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jules Collot","Jules Collot",7540,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1282.57473932217,1252.06881002526,1292.3176898719,1294.56005679122,1299.34357220291,1289.22828769153,1292.92023244623,1291.12289166676,1292.3176898719,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Caman Beauregard","Caman Beauregard",7844,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1275.99348071355,1290.67044259413,1292.29678952434,1273.82863896548,1295.45908913533,1289.22828769153,1294.73986136751,1284.1448014506,1292.29678952434,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Oliver Helland","Oliver Helland",7843,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1274.37466527774,1292.96149575662,1292.29678952434,1294.34251196312,1277.54675735995,1289.22828769153,1293.55687544719,1283.5885361647,1292.29678952434,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ryuji Gaman","Ryuji Gaman",7851,"Japan",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1210.44296623273,1290.67044259413,1292.29678952434,1268.332917872,1270.68047139241,1289.22828769153,1237.88452195441,1284.1448014506,1292.29678952434,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Peter Corbellini","Peter Corbellini",8235,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1248.38448895483,1268.80195711509,1292.23784748986,1273.82863896548,1280.56782784196,1289.22828769153,1280.80698103237,1261.07359804386,1292.23784748986,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jacob Foote","Jacob Foote",7072,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1271.9436129352,1294.79759834214,1292.10751467292,1296.32597318376,1290.27775175288,1289.22828769153,1284.8507217196,1285.35715410466,1292.10751467292,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Zac Bower","Zac Bower",7526,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1269.66449307548,1252.06881002526,1292.10739810984,1286.10354665763,1293.21969514412,1289.22828769153,1275.92687905961,1290.59659945831,1292.10739810984,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Teo Zampa","Teo Zampa",5489,"Slovakia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1301.24959783865,1252.06881002526,1292.07012371621,1301.45886731871,1300,1298.02926289238,1301.21322764805,1290.49996980138,1292.07012371621,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.0588235294117647,0,"M"
"Luca Peterson","Luca Peterson",8295,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1267.13428344627,1283.66644320587,1291.84588783381,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1272.25636879955,1291.84588783381,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Gregorio Bernardi","Gregorio Bernardi",6657,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1243.32600146314,1228.63120705756,1291.76714294889,1273.82863896548,1277.54675735995,1298.22675232047,1267.3201166527,1235.13457823254,1291.76714294889,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.0555555555555556,0,0,"M"
"Vebjørn Lunde","Vebjørn Lunde",8652,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1275.43683599246,1286.90072364132,1291.57868600563,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1275.20897208855,1291.57868600563,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Luke Winters","Luke Winters",4709,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1197.11980574959,1276.87328530727,1291.44196578845,1261.17956670633,1199.26123126205,1273.98099750211,1202.425468096,1269.56389471356,1291.44196578845,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.02,0.56140350877193,"M"
"Jett Seymour","Jett Seymour",4992,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1282.93412868346,1252.06881002526,1291.42210881848,1213.45254218607,1284.38493547648,1289.22828769153,1284.4092178679,1291.64864990013,1291.42210881848,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.631578947368421,"M"
"Dylan Jake O'Neill","Dylan Jake O'Neill",8521,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1291.4013585345,1252.06881002526,1291.39323808301,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1290.05653671659,1291.39323808301,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Gavin Johnson","Gavin Johnson",8124,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1237.44452040351,1295.18582152555,1291.32731744415,1276.94217784823,1282.54138612477,1289.22828769153,1257.04566563369,1285.55501034455,1291.32731744415,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Cole Merrett","Cole Merrett",8131,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1246.54112058402,1283.66644320587,1291.32731744415,1290.84319232744,1288.40530873282,1289.22828769153,1277.92446081421,1271.57589170148,1291.32731744415,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Juan Del Campo","Juan Del Campo",2602,"Spain",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1165.5174358253,1296.25070245036,1291.26519592338,1262.78275553679,1167.12438697086,1298.5874031815,1169.47800852089,1284.46247888111,1291.26519592338,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.614035087719298,"M"
"Felix Sachs","Felix Sachs",8419,"Australia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1235.3312940517,1285.32307686901,1291.12464486466,1276.67862264901,1295.16042972568,1289.22828769153,1267.32289768564,1271.75950639521,1291.12464486466,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Francesco Santacroce","Francesco Santacroce",7115,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1141.54096656662,1252.06881002526,1291.08020302697,1177.64372277011,1266.63831654953,1289.22828769153,1154.04726802762,1289.22989525669,1291.08020302697,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Oliver Florin","Oliver Florin",8306,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1255.11318388528,1252.06881002526,1291.02832588011,1273.88333095136,1277.54675735995,1289.22828769153,1267.76828899939,1288.01343532582,1291.02832588011,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Patrick Feurstein","Patrick Feurstein",5295,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1447.68235487002,1252.06881002526,1291.02687426048,1441.06131336318,1296.93884321159,1289.22828769153,1444.21850279784,1285.97272906436,1291.02687426048,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.9,0.0175438596491228,"M"
"Liam Liljenborg","Liam Liljenborg",7955,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1267.35915270277,1252.06881002526,1290.97335188177,1287.29477400512,1298.64116079275,1300,1281.52236625712,1286.76580934659,1290.97335188177,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Milan Grebenar","Milan Grebenar",6991,"Argentina",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1189.99414515381,1291.39323489648,1290.70348410957,1231.01282424116,1275.84809014678,1289.22828769153,1204.55210935713,1280.37646052882,1290.70348410957,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Max Meucci","Max Meucci",8184,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1256.48639181524,1270.95282449049,1290.69360003988,1295.44718047108,1277.54675735995,1289.22828769153,1296.27629058739,1256.75668260861,1290.69360003988,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Mats Hakon Jogeva","Mats Hakon Jogeva",8653,"Estonia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1274.37795521388,1286.90072364132,1290.40781765829,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1273.96675755567,1290.40781765829,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Andreas Solvoll Laupstad","Andreas Solvoll Laupstad",8649,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1274.37795521388,1286.90072364132,1290.40781765829,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1273.96675755567,1290.40781765829,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jarl Emil Sørensen","Jarl Emil Sørensen",8650,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1274.37795521388,1286.90072364132,1290.40781765829,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1273.96675755567,1290.40781765829,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
