FIS_Name,Skier,ID,Nation,In_FIS_List,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race_Type,Recent_Competitor,City,Country,Discipline,Race_Date
BARUZZI FARRIOL Francesca,Francesca BARUZZI FARRIOL,,ARG,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LAPANJA Lila,Lila LAPANJA,,SLO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TOTH Zita,Zita TOTH,,HUN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
VANREUSEL Kim,Kim VANREUSEL,,BEL,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MOLLIN Axelle,Axelle MOLLIN,,BEL,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BLOK Noa,Noa BLOK,,NED,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SZOLLOS Noa,Noa SZOLLOS,,ISR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
RABOU Noa,Noa RABOU,,NED,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TEN RAA Gwyneth,Gwyneth TEN RAA,,LUX,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SAKKAL Kiana,Kiana SAKKAL,,LBN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ALIZADEH SAVEH Zahra,Zahra ALIZADEH SAVEH,,IRI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KALHOR Marjan,Marjan KALHOR,,IRI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MARKTHALER Lara,Lara MARKTHALER,,RSA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BONDARE Liene,Liene BONDARE,,LAT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DERKS Kiara,Kiara DERKS,,NED,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
WATANABE Eren,Eren WATANABE,,JPN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ANDO Asa,Asa ANDO,,JPN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
PALLA Victoria,Victoria PALLA,,GBR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
PETERLINI Martina,Martina PETERLINI,,ITA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
COLLOMB Giorgia,Giorgia COLLOMB,,ITA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BELL Reece,Reece BELL,,GBR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HURT A J,J HURT A,,USA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BUCIK JOGAN Ana,Ana BUCIK JOGAN,,SLO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ARONSSON ELFMAN Hanna,Hanna ARONSSON ELFMAN,,SWE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DUBOVSKA Martina,Martina DUBOVSKA,,CZE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ROSSETTI Marta,Marta ROSSETTI,,ITA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HUBER Katharina,Katharina HUBER,,AUT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DELLA MEA Lara,Lara DELLA MEA,,ITA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LAMURE Marie,Marie LAMURE,,FRA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
OEHLUND Cornelia,Cornelia OEHLUND,,SWE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CHEVRIER Marion,Marion CHEVRIER,,FRA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LJUTIC Zrinka,Zrinka LJUTIC,,CRO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DUERR Lena,Lena DUERR,,GER,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TRUPPE Katharina,Katharina TRUPPE,,AUT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SLOKAR Andreja,Andreja SLOKAR,,SLO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SHIFFRIN Mikaela,Mikaela Shiffrin,,USA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MOLTZAN Paula,Paula MOLTZAN,,USA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LIENSBERGER Katharina,Katharina LIENSBERGER,,AUT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TSIKLAURI Nino,Nino TSIKLAURI,,GEO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MAJTENYI Hanna,Hanna MAJTENYI,,HUN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
REJEPOVA Sabina,Sabina REJEPOVA,,UZB,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
