Date,Startlist,Sex,City,Country,Distance,Period,Championship,Race
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127392,M,Kitzbuehel,Austria,Downhill,3,0,23
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127394,L,Spindleruv Mlyn,Czechia,Giant Slalom,3,0,24
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127393,M,Kitzbuehel,Austria,Slalom,3,0,24
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127395,L,Spindleruv Mlyn,Czechia,Slalom,3,0,25
01/27/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127396,M,Schladming,Austria,Giant Slalom,3,0,25
01/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127397,M,Schladming,Austria,Slalom,3,0,26
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127400,L,Crans Montana,Switzerland,Downhill,3,0,26
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127402,L,Crans Montana,Switzerland,Super G,3,0,27
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127404,M,Crans Montana,Switzerland,Downhill,3,0,27
02/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127541,M,Milano-Cortina,Italy,Downhill,4,1,28
02/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127535,L,Milano-Cortina,Italy,Downhill,4,1,28
02/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127542,M,Milano-Cortina,Italy,Team Combined,4,1,29
02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127537,L,Milano-Cortina,Italy,Team Combined,4,1,29
02/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127543,M,Milano-Cortina,Italy,Super G,4,1,30
02/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127538,L,Milano-Cortina,Italy,Super G,4,1,30
02/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127544,M,Milano-Cortina,Italy,Giant Slalom,4,1,31
02/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127539,L,Milano-Cortina,Italy,Giant Slalom,4,1,31
02/16/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127545,M,Milano-Cortina,Italy,Slalom,4,1,32
02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127540,L,Milano-Cortina,Italy,Slalom,4,1,32
02/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127412,L,Soldeu,Andorra,Downhill,5,0,33
02/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127407,M,Garmisch Partenkirchen,Germany,Downhill,5,0,33
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127413,L,Soldeu,Andorra,Super G,5,0,34
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127408,M,Garmisch Partenkirchen,Germany,Super G,5,0,34
