FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
LAMURE Marie,Marie Lamure,3993,FRA,,21,False,True,2001,,,,,Slalom,1418.4292373642477,1265.5709253288426,1299.3318487732297,1282.757362594122,1421.689828571734,1300.0,1420.6824546249384,1298.7266721761714,1421.689828571734,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HOLTMANN Mina Fuerst,Mina Fürst Holtmann,480,NOR,,28,False,True,1995,,,,,Slalom,1491.7128085093227,1307.9422579587435,1288.8576444771113,1507.2379478405053,1414.3950673764089,1299.365054590092,1492.7262452923396,1290.56518207492,1414.3950673764089,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
BUCIK JOGAN Ana,Ana Bucik Jogan,180,SLO,,26,False,True,1993,,,,,Slalom,1334.920403066252,1267.369474945708,1281.7132186970496,1293.4137673892194,1408.6099735351029,1294.6060205991478,1333.2633324461085,1262.348530422705,1408.6099735351029,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
CHEVRIER Marion,Marion Chevrier,4203,FRA,,12,False,True,2001,,,,,Slalom,1403.617530065756,1252.155987552217,1266.8936713408616,1221.7554307530029,1406.938840742256,1300.0,1407.8839267208284,1220.9211420854956,1406.938840742256,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
ARONSSON ELFMAN Hanna,Hanna Aronsson Elfman,4063,SWE,,24,False,True,2002,,,,,Slalom,1367.4075655569784,1265.5709253288426,1287.8582348865582,1276.6487503939525,1406.7601888433846,1283.516410615591,1370.0457015055451,1289.762842793299,1406.7601888433846,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MCFARLANE Caitlin,Caitlin McFarlane,4104,FRA,,23,False,True,2002,,,,,Slalom,1326.9923724280272,1265.5709253288426,1286.0223566368757,1184.6497997246577,1388.010972611483,1287.7511047670782,1334.9538945476856,1287.1891610515477,1388.010972611483,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
OEHLUND Cornelia,Cornelia Öhlund,5016,SWE,,11,False,True,2005,,,,,Slalom,1371.6497096767175,1265.5709253288426,1272.5450984839335,1265.9313161263235,1387.7270745713308,1289.5884390520164,1368.4188385678533,1261.9723462816562,1387.7270745713308,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
DUBOVSKA Martina,Martina Dubovska,168,CZE,,36,False,True,1992,,,,,Slalom,1366.720508696642,1265.5709253288426,1294.8641582937037,1220.303129395499,1366.62728547796,1297.0566907017912,1367.9111343035684,1295.412635232681,1366.62728547796,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HURT A J,AJ Hurt,3886,USA,,33,False,True,2000,,,,,Slalom,1470.785243904,1295.7659023158783,1255.7623876880164,1463.3574881427048,1362.6361727850976,1264.90667366081,1470.8336568306647,1264.5064888875374,1362.6361727850976,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
POPOVIC Leona,Leona Popovic,1193,CRO,,31,False,True,1997,,,,,Slalom,1351.0514098242654,1285.63987631826,1242.2325420915347,1202.678282191784,1360.2444251450436,1292.4430927173082,1347.517027617295,1238.180050283328,1360.2444251450436,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
WESTHOFF Bianca Bakke,Bianca Bakke Westhoff,4160,NOR,,56,False,True,2000,,,,,Slalom,1342.692974254668,1265.5709253288426,1272.5450984839335,1283.5759242152649,1357.0114349963844,1289.5884390520164,1345.012679999565,1261.9723462816562,1357.0114349963844,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HOERHAGER Lisa,Lisa Hörhager,4176,AUT,,25,False,True,2001,,,,,Slalom,1269.8007315892874,1265.5709253288426,1301.3573207175225,1178.7718349332065,1340.6614480214046,1289.5884390520164,1274.507901981436,1300.5179782032878,1340.6614480214046,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
DANIOTH Aline,Aline Danioth,1321,SUI,,52,False,True,1998,,,,,Slalom,1331.034619136898,1265.5709253288426,1291.38619989646,1238.5262080848954,1336.8224404233897,1302.1540420670503,1331.1120304797864,1289.723198262352,1336.8224404233897,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
SMART Amelia,Amelia Smart,2983,CAN,,34,False,True,1998,,,,,Slalom,1336.0566449015248,1265.5709253288426,1293.9652172693786,1275.116250986022,1334.4439236251787,1300.0,1335.9528391235349,1293.1894346112338,1334.4439236251787,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
ALPHAND Estelle,Estelle Alphand,197,SWE,,35,False,True,1995,,,,,Slalom,1384.849290447885,1290.20946255875,1224.9453749433796,1387.947068412915,1329.017988322252,1253.1457766740436,1387.0946458425465,1235.925718656778,1329.017988322252,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MORITZ Liv,Liv Moritz,4744,USA,,49,False,True,2004,,,,,Slalom,1300.9784615339674,1265.5709253288426,1295.7015980199951,1270.948491158248,1319.4418682587573,1289.5884390520164,1302.4950342410234,1292.9814659063238,1319.4418682587573,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
ANDO Asa,Asa Ando,427,JPN,,29,False,True,1996,,,,,Slalom,1319.303417669409,1265.5709253288426,1293.464770266921,1257.5900973951952,1319.300134686266,1295.5526479143336,1320.751388417948,1292.9803543608396,1319.300134686266,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
