"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"Koharu Ueno","Koharu Ueno",5845,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1283.54220696266,1264.93731105608,1271.97110499893,1296.75499552081,1292.63461286821,1289.58843905202,1284.01255934609,1261.55820519784,1296.75499552081,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Abbey Evans","Abbey Evans",5972,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1281.52875845662,1264.93731105608,1298.91148868604,1296.69378443344,1292.42901839825,1289.58843905202,1285.27121921385,1298.15763398362,1296.69378443344,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Camilla Vanni","Camilla Vanni",5908,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1223.20861696027,1250.85909244676,1272.28768362238,1296.62619915636,1298.83589160102,1300,1295.87518726598,1218.38049839236,1296.62619915636,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nagisa Watanabe","Nagisa Watanabe",5567,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1282.83662940884,1264.93731105608,1271.97110499893,1296.60985872976,1290.99329573101,1289.58843905202,1283.27886442848,1261.55820519784,1296.60985872976,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emma Aicher","Emma Aicher",4194,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1562.22616221598,1513.06892835895,1452.89291060052,1296.54806293709,1485.97549924219,1309.66199426022,1423.25409904825,1588.58890047314,1296.54806293709,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aada Kanto","Aada Kanto",5444,"Finland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1247.1601104159,1297.45863918435,1286.77885651664,1296.41473184782,1252.6395481611,1289.58843905202,1247.88947342753,1287.22146366506,1296.41473184782,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ludovica Righi","Ludovica Righi",5445,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1224.08117885934,1295.51188561016,1232.96400947872,1296.41473184782,1300,1289.58843905202,1297.62185862239,1222.05722489731,1296.41473184782,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lara Huml","Lara Huml",6133,"Czechia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1267.02306547809,1264.93731105608,1271.97110499893,1296.41473184782,1274.94516321747,1289.58843905202,1267.6316546886,1261.55820519784,1296.41473184782,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ava Anderson","Ava Anderson",6356,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1277.28249208197,1264.93731105608,1271.97110499893,1296.22722043755,1286.81456781081,1289.58843905202,1277.78312106644,1261.55820519784,1296.22722043755,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Riia Pallari","Riia Pallari",4572,"Finland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1268.10520662249,1264.93731105608,1271.97110499893,1296.0627051732,1267.85682775935,1289.58843905202,1268.10214662622,1261.55820519784,1296.0627051732,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Minori Tanaka","Minori Tanaka",5578,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1283.92361362635,1264.93731105608,1271.97110499893,1295.83181762835,1294.92030987208,1289.58843905202,1284.38080966886,1261.55820519784,1295.83181762835,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Leane Francis","Leane Francis",6079,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1287.40393787753,1292.92693150146,1271.97110499893,1295.66053609487,1300.90845345579,1289.58843905202,1297.23388172947,1290.35877957071,1295.66053609487,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Jasmine Flury","Jasmine Flury",201,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1393.16384406702,1398.07943039479,1350.73367351324,1295.43182654361,1274.45809498926,1287.73860454821,1296.84297935092,1377.07166625998,1295.43182654361,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Una Enoksen Normann","Una Enoksen Normann",6398,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1295.59108247658,1264.93731105608,1271.97110499893,1295.36689946695,1274.45809498926,1289.58843905202,1295.69191971279,1261.55820519784,1295.36689946695,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Soneva Scott","Soneva Scott",6395,"Ireland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1295.59108247658,1264.93731105608,1271.97110499893,1295.36689946695,1274.45809498926,1289.58843905202,1295.69191971279,1261.55820519784,1295.36689946695,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Helaina Rivers","Helaina Rivers",6401,"Jamaica",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1295.59108247658,1264.93731105608,1271.97110499893,1295.36689946695,1274.45809498926,1289.58843905202,1295.69191971279,1261.55820519784,1295.36689946695,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sina Fausch","Sina Fausch",5441,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1283.57249628256,1218.62601178773,1267.36357039161,1295.31722625106,1300,1289.58843905202,1310.28530385192,1279.42389906699,1295.31722625106,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Shae Obrien","Shae Obrien",6068,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1213.00981278286,1263.90947057312,1267.56939746302,1295.1738606856,1274.45809498926,1289.58843905202,1294.74075267128,1225.11907949792,1295.1738606856,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emma Amann","Emma Amann",5266,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1255.63298981662,1272.19440383254,1296.55133564413,1295.00673599303,1274.45809498926,1289.58843905202,1294.78300328301,1262.93068056796,1295.00673599303,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Alaska Speedy","Alaska Speedy",6125,"New Zealand",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1262.59674458909,1298.0371097514,1298.95786215455,1294.94565512262,1283.78849203609,1289.58843905202,1272.37035253028,1297.41761394279,1294.94565512262,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Zoe Parr","Zoe Parr",5260,"New Zealand",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.29459608533,1264.93731105608,1296.55133564413,1294.88552725228,1280.18418684035,1289.58843905202,1271.88211026718,1296.90358337205,1294.88552725228,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Yuki Nakamura","Yuki Nakamura",5414,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1279.58460848091,1264.93731105608,1271.97110499893,1294.71876215067,1290.88766232878,1289.58843905202,1280.16642874669,1261.55820519784,1294.71876215067,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sara Buzdugan","Sara Buzdugan",6457,"Romania",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1293.79351209018,1264.93731105608,1271.97110499893,1294.6862603528,1274.45809498926,1289.58843905202,1293.91467604818,1261.55820519784,1294.6862603528,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Keira Hawkins","Keira Hawkins",6240,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1288.7140273362,1264.93731105608,1297.9190345655,1294.6862603528,1274.45809498926,1289.58843905202,1293.91467604818,1297.55139506726,1294.6862603528,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sarah Decary","Sarah Decary",6454,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1292.44366704078,1264.93731105608,1271.97110499893,1294.48915273428,1274.45809498926,1289.58843905202,1292.59422788327,1261.55820519784,1294.48915273428,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Seika Kotsugai","Seika Kotsugai",5410,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1283.00927399359,1264.93731105608,1271.97110499893,1294.24781321451,1287.07958875054,1289.58843905202,1283.31608650229,1261.55820519784,1294.24781321451,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Yelin Choi","Yelin Choi",5848,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1278.58926901777,1264.93731105608,1300,1294.12495366186,1295.68828006471,1300,1279.72911332013,1300,1294.12495366186,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Silja Koskinen","Silja Koskinen",5220,"Finland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1261.23519961969,1264.93731105608,1271.97110499893,1294.08395469402,1264.98443483905,1289.58843905202,1261.74675962998,1261.55820519784,1294.08395469402,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lisa Brunga","Lisa Brunga",6340,"Albania",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1293.07953098645,1264.93731105608,1271.97110499893,1294.02314353957,1274.45809498926,1289.58843905202,1293.21414779924,1261.55820519784,1294.02314353957,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elodie Olsen","Elodie Olsen",6235,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1281.5902737646,1294.78203484862,1297.48095985934,1293.99150940872,1274.45809498926,1289.58843905202,1293.76476137387,1292.03263152749,1293.99150940872,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Eden Demino","Eden Demino",6422,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1283.82928873954,1264.93731105608,1298.51880904906,1293.99150940872,1294.57252017095,1289.58843905202,1287.59394846021,1298.9320107221,1293.99150940872,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Leanne Aubut-Laurin","Leanne Aubut-Laurin",5998,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1258.46805390917,1264.93731105608,1271.97110499893,1293.94148511089,1273.51992159949,1289.58843905202,1259.8664562212,1261.55820519784,1293.94148511089,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cristina Flores","Cristina Flores",5696,"Colombia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1292.75031007878,1264.93731105608,1271.97110499893,1293.86041317327,1298.66601765689,1289.58843905202,1293.04071465357,1261.55820519784,1293.86041317327,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kisara Abe","Kisara Abe",5427,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1259.68251107423,1264.93731105608,1271.97110499893,1293.63949980451,1277.28369138326,1289.58843905202,1260.6141803988,1261.55820519784,1293.63949980451,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Corinne Suter","Corinne Suter",177,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1506.39813458323,1495.47389944102,1441.76396884887,1293.38950402963,1296.19682815462,1286.47171964961,1296.20673541157,1497.37576581941,1293.38950402963,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Barbora Novakova","Barbora Novakova",4000,"Czechia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1191.27951459627,1230.3536899034,1219.24194702524,1293.28274386943,1300,1283.62420821535,1290.84313825532,1179.9541782442,1293.28274386943,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Clarita Crespo","Clarita Crespo",5627,"Chile",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1255.17336887681,1288.94033186505,1286.37669521255,1293.28087191891,1298.66662500734,1298.12143404256,1290.83572328439,1272.1557181003,1293.28087191891,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Holmfridur Dora Fridgeirsdottir","Holmfridur Dora Fridgeirsdottir",2990,"Iceland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1241.12404624494,1259.60593277147,1260.42916726107,1293.27719106585,1294.13649490188,1289.58843905202,1288.95349198849,1234.54090678893,1293.27719106585,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Carole Agnelli","Carole Agnelli",4240,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1321.29874173739,1294.39445585263,1271.97110499893,1293.12263120712,1279.68807159937,1287.75110476708,1319.66766972912,1292.65891169028,1293.12263120712,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Clara-Marie Holmer Vorre","Clara-Marie Holmer Vorre",4211,"Denmark",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1243.6311454944,1264.93731105608,1295.62110221405,1292.9872765214,1251.71439445654,1289.58843905202,1244.49193123869,1295.74347889065,1292.9872765214,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Orla Manning","Orla Manning",6348,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1280.52599561326,1299.02595785571,1297.9002107842,1292.93216893291,1274.45809498926,1289.58843905202,1290.99020031607,1296.34891577938,1292.93216893291,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Yukina Tomii","Yukina Tomii",3908,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1286.15455049864,1264.93731105608,1271.97110499893,1292.83479885982,1282.29659695093,1289.58843905202,1286.48219861336,1261.55820519784,1292.83479885982,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Anna Sato","Anna Sato",6160,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.52808158498,1264.93731105608,1271.97110499893,1292.78404974661,1298.06366844774,1289.58843905202,1284.78271533479,1261.55820519784,1292.78404974661,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Tylee Carr","Tylee Carr",6076,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1275.6292781175,1298.0371097514,1298.95786215455,1292.71788415841,1292.43510999768,1289.58843905202,1280.49687650438,1297.41761394279,1292.71788415841,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mao Suzuguchi","Mao Suzuguchi",6159,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1291.79534061663,1264.93731105608,1271.97110499893,1292.68123949742,1300.93786671958,1289.58843905202,1291.93287917357,1261.55820519784,1292.68123949742,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Gayeon Jang","Gayeon Jang",5619,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1272.34808409071,1264.93731105608,1271.97110499893,1292.55405396336,1291.28933591447,1289.58843905202,1273.19102700815,1261.55820519784,1292.55405396336,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Reece Bell","Reece Bell",4227,"Great Britain",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1260.19985311042,1264.93731105608,1271.97110499893,1292.2641641297,1261.01010890127,1289.58843905202,1260.48318852337,1261.55820519784,1292.2641641297,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Minseo Lee","Minseo Lee",5422,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1263.17565806201,1264.93731105608,1271.97110499893,1292.00089544612,1281.94030724353,1289.58843905202,1264.04549241344,1261.55820519784,1292.00089544612,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Caley Goforth","Caley Goforth",6350,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1252.98165655374,1264.93731105608,1296.42766182314,1291.93828121423,1278.15618229703,1289.58843905202,1262.96580179257,1296.50104440967,1291.93828121423,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lucy Wirth","Lucy Wirth",6431,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1291.71381540333,1264.93731105608,1271.97110499893,1291.90246831283,1274.45809498926,1289.58843905202,1291.87761403845,1261.55820519784,1291.90246831283,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Georgea Fisher-Smith","Georgea Fisher-Smith",6421,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1281.94375425225,1264.93731105608,1298.51880904906,1291.90246831283,1294.57252017095,1289.58843905202,1285.73685694275,1298.9320107221,1291.90246831283,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aerin Alexandra King","Aerin Alexandra King",5865,"Hong Kong",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1261.45636425345,1264.93731105608,1271.97110499893,1291.55469175901,1281.77780002964,1289.58843905202,1262.5897531384,1261.55820519784,1291.55469175901,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lisa Grill","Lisa Grill",3899,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1288.1324234247,1287.81892782166,1294.86849762913,1291.38376669172,1269.44755112579,1278.3300856796,1289.0976371331,1289.42124533997,1291.38376669172,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Zuzanna Czapska","Zuzanna Czapska",3710,"Poland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1293.85234974034,1264.93731105608,1300,1291.30594634069,1281.58851442916,1300,1292.7931905901,1299.27362956295,1291.30594634069,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Seo Jin Choi","Seo Jin Choi",6231,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.38882943718,1264.93731105608,1271.97110499893,1291.04123717891,1294.70677245189,1289.58843905202,1284.6538488537,1261.55820519784,1291.04123717891,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Charlotte Wiggins","Charlotte Wiggins",5621,"New Zealand",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1255.86642975531,1264.93731105608,1300,1290.97544429183,1274.49100561871,1300,1256.16913955175,1300,1290.97544429183,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Laurence St-Germain","Laurence St-Germain",379,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1460.81305415253,1264.93731105608,1271.97110499893,1290.89604546629,1452.79630662546,1289.58843905202,1459.81532489184,1261.55820519784,1290.89604546629,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lena Sprenger","Lena Sprenger",6399,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1291.25357209256,1264.93731105608,1271.97110499893,1290.81678660873,1274.45809498926,1289.58843905202,1291.45271792724,1261.55820519784,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Delfina Schulze","Delfina Schulze",6402,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1291.25357209256,1264.93731105608,1271.97110499893,1290.81678660873,1274.45809498926,1289.58843905202,1291.45271792724,1261.55820519784,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mia Davies Cacault","Mia Davies Cacault",6400,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1288.28583691078,1264.93731105608,1271.97110499893,1290.81678660873,1298.23214079072,1289.58843905202,1288.52620932286,1261.55820519784,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Milagos Fernandez Castro","Milagos Fernandez Castro",6396,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1287.98571027915,1264.93731105608,1271.97110499893,1290.81678660873,1297.12586601801,1289.58843905202,1288.24743474073,1261.55820519784,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Rosario Holscher","Rosario Holscher",6394,"Chile",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1266.84618834914,1289.24511331964,1294.98044378331,1290.81678660873,1297.08047718816,1289.58843905202,1287.21876414833,1279.35893236474,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Luna Berra","Luna Berra",6397,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1288.28583691078,1264.93731105608,1271.97110499893,1290.81678660873,1298.23214079072,1289.58843905202,1288.52620932286,1261.55820519784,1290.81678660873,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nadia Leunig","Nadia Leunig",6426,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.16382610747,1264.93731105608,1271.97110499893,1290.73818188413,1294.57252017095,1289.58843905202,1284.45919561259,1261.55820519784,1290.73818188413,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Josephine Howe","Josephine Howe",6167,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.65044031041,1264.93731105608,1298.51880904906,1290.73818188413,1274.45809498926,1289.58843905202,1290.57925905835,1298.9320107221,1290.73818188413,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emilija Djurovic","Emilija Djurovic",6078,"Serbia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1288.30437973163,1264.93731105608,1271.97110499893,1290.64385728107,1300,1289.58843905202,1288.63154586018,1261.55820519784,1290.64385728107,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Koharu Tanaka","Koharu Tanaka",5413,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1271.00451013005,1264.93731105608,1271.97110499893,1290.55621436537,1289.11240486584,1289.58843905202,1271.66810399187,1261.55820519784,1290.55621436537,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Shizuku Hirota","Shizuku Hirota",5430,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1267.9572499035,1264.93731105608,1271.97110499893,1290.5388546248,1286.14356004419,1289.58843905202,1268.971797819,1261.55820519784,1290.5388546248,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Isabella Pedrazzi","Isabella Pedrazzi",4976,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1167.8217420219,1198.81885614575,1237.42696525532,1290.52731497357,1274.45809498926,1289.58843905202,1285.42760189408,1162.515983386,1290.52731497357,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sophie Mahon","Sophie Mahon",5255,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1208.62480730479,1264.93731105608,1298.57958015261,1290.43626700943,1216.20131703839,1300,1209.46210088892,1298.75547386651,1290.43626700943,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Chunjie Wu","Chunjie Wu",5854,"China",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1278.98252084821,1264.93731105608,1271.97110499893,1290.3067720027,1295.78304731958,1289.58843905202,1279.60785714801,1261.55820519784,1290.3067720027,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Samara Boyer","Samara Boyer",6084,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1284.6525408885,1264.93731105608,1294.98044378331,1289.99784645769,1299.02747097265,1289.58843905202,1290.66607688698,1296.09112798998,1289.99784645769,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Vanessa Nussbaumer","Vanessa Nussbaumer",4177,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1255.07450592707,1242.94730919542,1303.29899386216,1289.99276648799,1274.45809498926,1291.54449897258,1288.92665232273,1250.89239942886,1289.99276648799,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aline Höpli","Aline Höpli",4226,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1261.89936367573,1264.93731105608,1299.33184877323,1289.98722472266,1259.15805368456,1300,1261.8585041796,1298.72667217617,1289.98722472266,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Seoyun Park","Seoyun Park",5527,"South Korea",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1257.75844292039,1264.93731105608,1271.97110499893,1289.43802837026,1280.84964924476,1289.58843905202,1259.18520848212,1261.55820519784,1289.43802837026,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Hina Honda","Hina Honda",5284,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1274.28852181574,1264.93731105608,1298.57958015261,1289.29386526508,1283.54263483743,1300,1274.7684077552,1298.75547386651,1289.29386526508,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Regan Clute","Regan Clute",5927,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1260.93654130997,1264.93731105608,1271.97110499893,1289.27080786223,1278.62717276063,1289.58843905202,1261.64673164858,1261.55820519784,1289.27080786223,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Noemie Brooks","Noemie Brooks",6455,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1286.37434044155,1264.93731105608,1271.97110499893,1289.27080786223,1274.45809498926,1289.58843905202,1286.64150456143,1261.55820519784,1289.27080786223,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kotoha Mori","Kotoha Mori",6171,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1282.96955327963,1264.93731105608,1271.97110499893,1289.1392459736,1296.94029362124,1289.58843905202,1283.26020333459,1261.55820519784,1289.1392459736,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Meixia Wang","Meixia Wang",5870,"China",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1277.89074428042,1299.18135993165,1300.50761412827,1289.06074995758,1294.57284106166,1289.58843905202,1276.68382181173,1299.92359813522,1289.06074995758,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Wenmiao Song","Wenmiao Song",5928,"China",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1280.38154071233,1300.7644218209,1300,1288.7810585391,1294.99011211487,1289.58843905202,1278.70410597428,1300.51820342412,1288.7810585391,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sofia Garciarena","Sofia Garciarena",6405,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1250.28728838794,1291.95520054627,1278.25904617574,1288.76520880379,1274.45809498926,1289.58843905202,1289.59578678653,1268.96643592943,1288.76520880379,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Wen-Yi Lee","Wen-Yi Lee",3982,"Taiwan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1245.82953746109,1264.93731105608,1271.97110499893,1288.53891723506,1256.40567442738,1289.58843905202,1246.51067661561,1261.55820519784,1288.53891723506,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kanna Morikawa","Kanna Morikawa",5620,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1278.76937832146,1264.93731105608,1271.97110499893,1288.53300488725,1296.94833191844,1289.58843905202,1279.24910520238,1261.55820519784,1288.53300488725,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
