Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1931-02-20,Muerren,Switzerland,L,Downhill,WSC,0,N/A,1,Esme MacKinnon,Great Britain,2823,1931,2,1913-01-01T00:00:00.000000,18.135523613963038,2,1300.0,1305.0
1931-02-20,Muerren,Switzerland,L,Downhill,WSC,0,N/A,3,Gräfin Irma von Schmidegg,Austria,2825,1931,2,1901-01-01T00:00:00.000000,30.135523613963038,1,1300.0,1300.0
1931-02-20,Muerren,Switzerland,L,Downhill,WSC,0,N/A,4,Jeanette Kessler,Great Britain,2781,1931,2,1908-01-01T00:00:00.000000,23.137577002053387,2,1300.0,1295.0
1932-02-04,Cortina d'Ampezzo,Italy,L,Downhill,WSC,0,N/A,1,Paula Rosa Wiesinger-Steger,Italy,2789,1932,1,1907-01-01T00:00:00.000000,25.092402464065707,1,1300.0,1310.0
1932-02-04,Cortina d'Ampezzo,Italy,L,Downhill,WSC,0,N/A,2,Inge Wersin-Lantschner,Austria,2817,1932,1,1905-01-01T00:00:00.000000,27.091033538672143,2,1300.0,1305.0
1932-02-04,Cortina d'Ampezzo,Italy,L,Downhill,WSC,0,N/A,3,Hadwig Hadi Lantschner-Pfeifer,Germany,2779,1932,1,1906-01-01T00:00:00.000000,26.091718001368925,1,1300.0,1300.0
1932-02-04,Cortina d'Ampezzo,Italy,L,Downhill,WSC,0,N/A,4,Audrey Sale-Barker,Great Britain,2814,1932,1,1903-01-01T00:00:00.000000,29.092402464065707,2,1300.0,1295.0
1932-02-04,Cortina d'Ampezzo,Italy,L,Downhill,WSC,0,N/A,6,Ella Maillart,Switzerland,2821,1932,1,1903-01-01T00:00:00.000000,29.092402464065707,1,1300.0,1290.0
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,1,Inge Wersin-Lantschner,Austria,2817,1933,1,1905-01-01T00:00:00.000000,28.10403832991102,5,1302.113581368899,1314.5612061461186
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,2,Nini von Arx-Zogg,Switzerland,2772,1933,1,1907-01-01T00:00:00.000000,26.105407255304584,1,1300.0,1307.5388728081682
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,3,Gerda Paumgarten-Hohenschwangau,Austria,2810,1933,1,1907-01-01T00:00:00.000000,26.105407255304584,1,1300.0,1302.5388728081682
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,4,Paula Rosa Wiesinger-Steger,Italy,2789,1933,1,1907-01-01T00:00:00.000000,26.105407255304584,3,1304.2271627377982,1301.5835433603133
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,5,Jeanette Kessler,Great Britain,2781,1933,1,1908-01-01T00:00:00.000000,25.10609171800137,3,1299.0618070017924,1291.641183177553
1933-02-08,Innsbruck,Austria,L,Downhill,WSC,0,N/A,6,Hadwig Hadi Lantschner-Pfeifer,Germany,2779,1933,1,1906-01-01T00:00:00.000000,27.104722792607802,4,1300.0,1287.5388728081682
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,1,Anny Rüegg-Hardmeier,Switzerland,2812,1934,1,1912-01-01T00:00:00.000000,22.12457221081451,1,1300.0,1312.4682950234096
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,2,Christl Cranz-Borchers,Germany,2763,1934,1,1914-01-01T00:00:00.000000,20.123203285420946,1,1300.0,1307.4682950234096
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,3,Lisa Resch,Germany,2764,1934,1,1908-01-01T00:00:00.000000,26.12457221081451,1,1300.0,1302.4682950234096
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,4,Audrey Sale-Barker,Great Britain,2814,1934,1,1903-01-01T00:00:00.000000,31.123887748117728,5,1299.1107035006635,1296.617391966522
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,5,Jeanette Kessler,Great Britain,2781,1934,1,1908-01-01T00:00:00.000000,26.12457221081451,6,1296.482999591036,1289.103131031539
1934-02-15,St.Moritz,Switzerland,L,Downhill,WSC,0,N/A,6,Rosa Rösli Streiff,Switzerland,2813,1934,1,1901-01-01T00:00:00.000000,33.12251882272416,4,1300.0,1287.4682950234096
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,1,Christl Cranz-Borchers,Germany,2763,1935,3,1914-01-01T00:00:00.000000,21.144421629021217,6,1303.1350061564042,1315.5440439239646
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,2,Hadwig Hadi Lantschner-Pfeifer,Germany,2779,1935,3,1906-01-01T00:00:00.000000,29.144421629021217,5,1297.79909208658,1305.4384832931607
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,3,Anny Rüegg-Hardmeier,Switzerland,2812,1935,3,1912-01-01T00:00:00.000000,23.145790554414784,4,1305.2338829057676,1307.552317102416
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,4,Evelyn Amie Evie Pinching-Chance,Great Britain,2782,1935,3,1915-01-01T00:00:00.000000,20.145106091718002,3,1300.0,1297.5443789430701
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,5,Käthe Grasegger-Deuschl,Germany,2771,1935,3,1917-01-01T00:00:00.000000,18.143737166324435,4,1300.0,1292.5443789430701
1935-02-23,Muerren,Switzerland,L,Downhill,WSC,0,N/A,6,Baroness Gratia Schimmelpenninck van der Oye,Netherlands,2787,1935,3,1912-01-01T00:00:00.000000,23.145790554414784,1,1300.0,1287.5443789430701
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,1,Evelyn Amie Evie Pinching-Chance,Great Britain,2782,1936,2,1915-01-01T00:00:00.000000,21.138945927446954,5,1298.9449207894181,1311.4883830939207
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,2,Elvira Osirnig,Switzerland,2777,1936,2,1908-01-01T00:00:00.000000,28.139630390143736,3,1300.0,1307.4979110870265
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,3,Nini von Arx-Zogg,Switzerland,2772,1936,2,1907-01-01T00:00:00.000000,29.138945927446954,3,1300.572103594111,1303.0453150618762
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,4,Frida Clara,Italy,2785,1936,2,1909-01-01T00:00:00.000000,27.137577002053387,2,1300.0,1297.4979110870265
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,5,Gerda Paumgarten-Hohenschwangau,Austria,2810,1936,2,1907-01-01T00:00:00.000000,29.138945927446954,4,1300.1926678291973,1292.68226079585
1936-02-21,Innsbruck,Austria,L,Downhill,WSC,0,N/A,6,Erna Steuri,Switzerland,2773,1936,2,1917-01-01T00:00:00.000000,19.137577002053387,2,1300.0,1287.4979110870265
