Nation,Season,Race,Place,Date,City,Country,Event,HillSize,TeamSize,RaceType,Sex,Total_Elo,Total_Normal_Elo,Total_Large_Elo,Total_Flying_Elo,Total_Pelo,Total_Normal_Pelo,Total_Large_Pelo,Total_Flying_Pelo,Avg_Elo,Avg_Normal_Elo,Avg_Large_Elo,Avg_Flying_Elo,Avg_Pelo,Avg_Normal_Pelo,Avg_Large_Pelo,Avg_Flying_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Japan,2018,9,1,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,6471.95896488835,6225.397451171108,5747.359796064732,5179.294117647059,6459.856074233096,6216.168908642532,5792.4362929681865,5200.0,1617.9897412220876,1556.349362792777,1436.839949016183,1294.8235294117646,1614.964018558274,1554.042227160633,1448.1090732420466,1300.0,"Kaori Iwabuchi,Yuka Seto,Sara Takanashi,Yuki Ito","35,32,3,5",22.655715263518136,24.73100616016427,20.908966461327857,85.25,104,54
Slovenia,2018,9,2,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5899.998804910118,5746.897653066619,5344.924968461458,5179.294117647059,5887.8130921229795,5737.87977654927,5270.369529846232,5200.0,1474.9997012275296,1436.7244132666547,1336.2312421153645,1294.8235294117646,1471.9532730307449,1434.4699441373175,1317.592382461558,1300.0,"Ursa Bogataj,Ema Klinec,Spela Rogelj,Nika Kriznar","20,89,19,266",20.874058863791923,23.200547570157426,17.867214236824093,65.5,105,20
Russia,2018,9,3,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5420.050112643556,5326.643338124632,5232.454046936966,5179.294117647059,5406.739212394994,5317.387325249186,5310.638618405064,5200.0,1355.012528160889,1331.660834531158,1308.1135117342415,1294.8235294117646,1351.6848030987485,1329.3468313122964,1327.659654601266,1300.0,"Sofya Tikhonova,Irina Avvakumova,Alexandra Kustova,Anastasiya Barannikova","27,6,29,38",23.770704996577685,30.1492128678987,19.17864476386037,73.25,100,38
Germany,2018,9,4,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5519.169126296587,5442.925078832386,4862.328025191386,5179.294117647059,5515.346725064963,5440.166088986039,4870.883165270008,5200.0,1379.7922815741467,1360.7312697080965,1215.5820062978464,1294.8235294117646,1378.8366812662407,1360.0415222465097,1217.720791317502,1300.0,"Gianina Ernst,Anna Rupprecht,Ramona Straub,Juliane Seyfarth","28,67,79,63",23.092402464065707,27.917864476386036,19.055441478439423,54.0,78,36
Norway,2018,9,5,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5461.27581457936,5379.966569393318,5185.318713188182,5179.294117647059,5462.90305459344,5381.050722722702,5147.480073343948,5200.0,1365.31895364484,1344.9916423483296,1296.3296782970456,1294.8235294117646,1365.72576364836,1345.2626806806754,1286.870018335987,1300.0,"Anniken Mork,Anna Odine Strøm,Silje Opseth,Maren Lundby","48,44,221,9",22.219028062970565,27.01163586584531,18.732375085557837,41.0,100,18
Austria,2018,9,6,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5576.711613220217,5542.848572764375,5216.748272379542,5179.294117647059,5588.412106062411,5551.141750810806,5290.56376443272,5200.0,1394.1779033050543,1385.7121431910937,1304.1870680948855,1294.8235294117646,1397.1030265156028,1387.7854377027015,1322.64094110818,1300.0,"Chiara Kreuzer,Lisa Eder,Jacqueline Seifriedsberger,Claudia Purker","21,337,18,254",20.741273100616016,27.000684462696782,16.44079397672827,43.75,86,2
USA,2018,9,7,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,5236.426657677277,5258.620322669406,5002.611616576589,5179.294117647059,5249.894107512262,5268.538579168734,5007.603174992877,5200.0,1309.1066644193193,1314.6550806673515,1250.6529041441472,1294.8235294117646,1312.4735268780655,1317.1346447921835,1251.9007937482193,1300.0,"Tara Geraghty-Moats,Sarah Hendrickson,Abby Ringquist,Nita Englund","40,17,80,26",25.610540725530456,28.583162217659137,23.471594798083505,60.25,74,43
Canada,2018,9,8,2018-01-20,Zao,Japan,World Cup,106,4,Team Normal,L,4865.052253214349,4932.9278890205505,5035.7758175929175,5179.294117647059,4879.6789754456695,4943.893722913126,5117.7569652737675,5200.0,1216.2630633035872,1233.2319722551376,1258.9439543982294,1294.8235294117646,1219.9197438614174,1235.9734307282815,1279.4392413184419,1300.0,"Taylor Henrich,Abigail Strate,Atsuko Tanaka,Natasha Bodnarchuk","76,289,94,273",21.18069815195072,25.987679671457904,16.908966461327857,33.5,64,8
Germany,2019,9,1,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,6432.839935861202,6141.05826457467,5747.359685032745,5179.294117647059,6424.47118953246,6132.2491357693825,5652.065518234713,5200.0,1608.2099839653006,1535.2645661436675,1436.8399212581862,1294.8235294117646,1606.117797383115,1533.0622839423456,1413.0163795586782,1300.0,"Carina Vogt,Juliane Seyfarth,Ramona Straub,Katharina Schmid","4,63,79,13",25.965092402464066,28.914442162902123,22.65845311430527,97.5,113,72
Austria,2019,9,2,2019-01-19,Zao,Japan,World Cup,102,4,Team Normal,L,6062.795658122803,5902.949188691291,5641.882471751238,5179.294117647059,6055.373167104483,5895.948907859061,5602.858440604921,5200.0,1515.6989145307007,1475.7372971728228,1410.4706179378095,1294.8235294117646,1513.8432917761209,1473.9872269647653,1400.7146101512303,1300.0,"Jacqueline Seifriedsberger,Chiara Kreuzer,Eva Pinkelnig,Daniela Iraschko-Stolz","18,21,14,7",28.828199863107464,35.162217659137575,21.505817932922657,86.25,104,49
