"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_MassStart_Elo","Avg_IndividualCompact_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_MassStart_Pelo","Avg_IndividualCompact_Pelo","MassStart","Sex"
2011-12-16,"Seefeld","Austria","USA","Team Sprint",2012,7,"World Cup",1203,6,55,1446.94307843496,1442.07653976292,1379.98100747705,1373.69649132596,NA,1446.22491513792,1453.39552654376,1401.96235602843,1350.97097671343,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Austria","Team Sprint",2012,16,"World Cup",1082,8,49,1467.88365503742,1518.94333846713,1396.53512960676,1361.4850644618,NA,1470.48807405126,1518.38212740281,1413.57074071384,1364.88014689704,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Finland","Team Sprint",2012,16,"World Cup",1082,11,40,1334.16763787804,1334.24157531109,1314.17173503691,1371.78082307823,NA,1334.45952400589,1341.87305536658,1318.55015785447,1338.12256504135,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","France","Team Sprint",2012,16,"World Cup",1082,2,90,1554.94660035092,1544.18719579102,1319.82018633672,1342.94788195616,NA,1550.22216420013,1540.97442557445,1323.3178662785,1326.3452058109,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Germany","Team Sprint",2012,16,"World Cup",1082,4,70,1583.04646233056,1575.2579361169,1378.35965480516,1390.6995329023,NA,1583.59651679696,1566.7141171645,1392.18782918254,1346.38480606191,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Italy","Team Sprint",2012,16,"World Cup",1082,16,30,1265.32612633731,1274.35223859956,NA,1258.17644322887,NA,1269.63764652646,1278.46144469807,NA,1300,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Japan","Team Sprint",2012,16,"World Cup",1082,5,60,1431.48565410492,1429.05758746526,1262.98554300394,1300.19044313427,NA,1432.62050412817,1427.80628296935,1260.39693827131,1297.8056286535,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Norway","Team Sprint",2012,16,"World Cup",1082,1,100,1512.36566592738,1500.75179955768,1397.5415422017,1350.72643288398,NA,1508.48609468074,1502.44400044249,1414.75475553141,1355.65394048989,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Russia","Team Sprint",2012,16,"World Cup",1082,17,28,1166.56047069269,1172.2860892742,1282.06593686531,1282.37979784763,NA,1170.16810123172,1178.92199974103,1278.90110219449,1252.89519413597,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Slovenia","Team Sprint",2012,16,"World Cup",1082,12,38,1286.98925104192,1290.03493543175,1250.7180598441,1254.97259072277,NA,1287.22978209772,1285.8911303146,1242.02124687542,1264.40338205935,NA,0,"M"
2012-02-04,"Val Di Fiemme","Italy","Switzerland","Team Sprint",2012,16,"World Cup",1082,14,34,1308.7008156124,1312.89963040315,1290.15458417644,1297.62634937008,NA,1311.67585507736,1310.16858478692,1288.41715785463,1304.4682279907,NA,0,"M"
